CP, 01, 2015071300,   , MIWU,  12, 125N, 1791E,  58,  990, TS,
CP, 01, 2015071306,   , MIWU,  18, 129N, 1781E,  65,  986, TY,
CP, 01, 2015071312,   , MIWU,  24, 134N, 1770E,  76,  980, TY,
CP, 01, 2015071318,   , MIWU,  30, 138N, 1759E,  91,  969, TY,
CP, 01, 2015071400,   , MIWU,  36, 142N, 1748E, 112,  951, TY,
CP, 01, 2015071406,   , MIWU,  42, 146N, 1737E, 139,  922, TY,
CP, 01, 2015071412,   , MIWU,  48, 150N, 1726E, 150,  903, TY,
CP, 01, 2015071418,   , MIWU,  54, 154N, 1715E, 141,  912, TY,
CP, 01, 2015071500,   , MIWU,  60, 159N, 1705E, 130,  925, TY,
CP, 01, 2015071506,   , MIWU,  66, 163N, 1694E, 123,  934, TY,
CP, 01, 2015071512,   , MIWU,  72, 168N, 1684E, 119,  939, TS,
CP, 01, 2015071518,   , MIWU,  78, 173N, 1674E, 120,  938, TS,
CP, 01, 2015071600,   , MIWU,  84, 178N, 1663E, 119,  939, TS,
CP, 01, 2015071606,   , MIWU,  90, 184N, 1653E, 118,  940, TS,
CP, 01, 2015071612,   , MIWU,  96, 187N, 1643E, 115,  944, TS,
CP, 01, 2015071618,   , MIWU,  24, 189N, 1634E, 111,  949, TS,
CP, 01, 2015071700,   , MIWU,  30, 190N, 1623E, 130,  929, TS,
CP, 01, 2015071706,   , MIWU,  36, 191N, 1612E, 146,  910, TS,
CP, 01, 2015071712,   , MIWU,  42, 192N, 1601E, 149,  907, ST,
CP, 01, 2015071718,   , MIWU,  48, 193N, 1589E, 139,  916, ST,
CP, 01, 2015071800,   , MIWU,  54, 195N, 1578E, 126,  930, ST,
CP, 01, 2015071806,   , MIWU,  60, 198N, 1566E, 117,  940, ST,
CP, 01, 2015071812,   , MIWU,  66, 200N, 1555E, 118,  939, ST,
CP, 01, 2015071818,   , MIWU,  72, 203N, 1543E, 125,  932, ST,
CP, 01, 2015071900,   , MIWU,  78, 208N, 1532E, 127,  929, ST,
CP, 01, 2015071906,   , MIWU,  84, 213N, 1521E, 123,  934, TD,
CP, 01, 2015071912,   , MIWU,  90, 217N, 1510E, 121,  937, TD,
CP, 01, 2015071918,   , MIWU,  96, 222N, 1499E, 118,  940, TS,
CP, 01, 2015072000,   , MIWU, 102, 226N, 1490E, 114,  944, TS,
CP, 01, 2015072006,   , MIWU, 108, 230N, 1481E, 108,  950, TS,
CP, 01, 2015072012,   , MIWU, 114, 235N, 1472E, 104,  954, TS,
CP, 01, 2015072018,   , MIWU, 120, 239N, 1463E, 101,  958, TY,
CP, 01, 2015072100,   , MIWU,  12, 243N, 1451E,  97,  982, TY,
CP, 01, 2015072106,   , MIWU,  18, 247N, 1438E,  95,  979, TY,
CP, 01, 2015072112,   , MIWU,  24, 252N, 1425E,  93,  976, TY,
CP, 01, 2015072118,   , MIWU,  30, 255N, 1412E,  92,  974, TY,
CP, 01, 2015072200,   , MIWU,  36, 258N, 1399E,  90,  966, TY,
CP, 01, 2015072206,   , MIWU,  42, 260N, 1387E,  93,  963, TY,
CP, 01, 2015072212,   , MIWU,  36, 261N, 1376E,  93,  963, TY,
CP, 01, 2015072218,   , MIWU,  42, 262N, 1370E,  84,  969, TY,
CP, 01, 2015072300,   , MIWU,  48, 263N, 1363E,  73,  976, TY,
CP, 01, 2015072306,   , MIWU,  54, 264N, 1356E,  67,  979, TY,
CP, 01, 2015072312,   , MIWU,  60, 265N, 1350E,  66,  980, TY,
CP, 01, 2015072318,   , MIWU,  66, 266N, 1344E,  67,  982, TY,
CP, 01, 2015072400,   , MIWU,  72, 267N, 1337E,  68,  982, TY,
CP, 01, 2015072406,   , MIWU,  78, 267N, 1331E,  57,  986, TY,
CP, 01, 2015072412,   , MIWU,  84, 268N, 1323E,  52,  990, TY,
CP, 01, 2015072418,   , MIWU,   6, 270N, 1313E,  52,  991, TY,
CP, 01, 2015072500,   , MIWU,  12, 272N, 1300E,  59,  988, TY,
CP, 01, 2015072506,   , MIWU,  18, 278N, 1290E,  66,  984, TS,
CP, 01, 2015072512,   , MIWU,  24, 285N, 1284E,  69,  983, TS,
CP, 01, 2015072518,   , MIWU,  30, 298N, 1283E,  69,  983, TS,
CP, 01, 2015072600,   , MIWU,  36, 312N, 1284E,  67,  986, TS,
CP, 01, 2015072606,   , MIWU,  42, 329N, 1290E,  66,  987, TS,
CP, 01, 2015072612,   , MIWU,  48, 344N, 1301E,  59,  989, TD,
CP, 01, 2015072618,   , MIWU,  54, 354N, 1317E,  55,  990, TD,
CP, 01, 2015072700,   , CHP6,  60, 364N, 1337E,  53,  991,   ,   0,    ,    0,    0,    0,    0,
CP, 01, 2015072706,   , CHP6,  66, 374N, 1356E,  51,  992, EX,   0,    ,    0,    0,    0,    0,
CP, 01, 2015072712,   , CHP6,  72, 384N, 1375E,  50,  993, EX,   0,    ,    0,    0,    0,    0,

