CP, 03, 2015090112,   , MIWU,   6, 229N, 1800E, 107,  947, HU,
CP, 03, 2015090206,   , MIWU,   6, 236N, 1795E, 101,  953, TY,
CP, 03, 2015090212,   , MIWU,   6, 238N, 1789E,  97,  956, TY,
CP, 03, 2015090218,   , MIWU,   6, 240N, 1781E,  85,  967, TY,
CP, 03, 2015090312,   , MIWU,   6, 239N, 1769E,  85,  967, TY,
CP, 03, 2015090406,   , MIWU,   6, 236N, 1758E, 101,  954, TY,
CP, 03, 2015090418,   , MIWU,   6, 232N, 1749E,  93,  962, TY,
CP, 03, 2015090500,   , MIWU,  12, 230N, 1742E, 112,  945, TY,
CP, 03, 2015090506,   , MIWU,  18, 229N, 1733E, 131,  923, TY,
CP, 03, 2015090512,   , MIWU,  24, 229N, 1723E, 135,  919, TY,
CP, 03, 2015090518,   , MIWU,  30, 229N, 1712E, 136,  919, TY,
CP, 03, 2015090600,   , MIWU,  36, 229N, 1701E, 139,  918, TY,
CP, 03, 2015090606,   , MIWU,  42, 230N, 1689E, 141,  915, TY,
CP, 03, 2015090612,   , MIWU,  48, 231N, 1678E, 137,  917, TY,
CP, 03, 2015090618,   , MIWU,  54, 233N, 1667E, 121,  930, TY,
CP, 03, 2015090700,   , MIWU,  60, 235N, 1656E, 109,  948, TY,
CP, 03, 2015090706,   , MIWU,  24, 239N, 1645E, 115,  945, TY,
CP, 03, 2015090712,   , MIWU,  30, 242N, 1633E, 121,  940, TY,
CP, 03, 2015090718,   , MIWU,  36, 248N, 1618E, 122,  940, TY,
CP, 03, 2015090800,   , MIWU,  42, 253N, 1603E, 119,  944, TY,
CP, 03, 2015090806,   , MIWU,  30, 261N, 1590E, 121,  940, TY,
CP, 03, 2015090812,   , MIWU,  36, 269N, 1577E, 127,  936, TY,
CP, 03, 2015090818,   , MIWU,  42, 277N, 1563E, 131,  931, TY,
CP, 03, 2015090900,   , MIWU,  48, 284N, 1549E, 124,  936, TY,
CP, 03, 2015090906,   , MIWU,  54, 293N, 1538E,  94,  962, TY,
CP, 03, 2015090912,   , MIWU,  60, 301N, 1527E,  68,  980, TY,
CP, 03, 2015090918,   , MIWU,  66, 309N, 1515E,  54,  989, TY,
CP, 03, 2015091000,   , MIWU,  72, 318N, 1505E,  50,  993, TS,
CP, 03, 2015091006,   , MIWU,  78, 328N, 1500E,  48,  993, TS,
CP, 03, 2015091012,   , MIWU,  84, 338N, 1495E,  45,  994, TS,
CP, 03, 2015091018,   , MIWU,  90, 349N, 1490E,  44,  996, TS,
CP, 03, 2015091100,   , MIWU,  96, 360N, 1489E,  43,  996, TS,
CP, 03, 2015091106,   , MIWU, 102, 374N, 1490E,  39,  997, TS,
CP, 03, 2015091112,   , MIWU, 108, 389N, 1494E,  38,  998, TS,
CP, 03, 2015091118,   , MIWU, 114, 404N, 1498E,  38,  998, EX,
CP, 03, 2015091200,   , MIWU, 120, 418N, 1502E,  37,  998, EX,
