WP, 01, 2015011112,   , MIWU, 0,  90N, 1497E,  20, 1009, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Mekkhala,
WP, 01, 2015011118,   , MIWU, 0,  93N, 1483E,  20, 1009, DB,
WP, 01, 2015011200,   , MIWU, 0,  95N, 1471E,  20, 1008, DB,
WP, 01, 2015011206,   , MIWU, 0,  95N, 1460E,  20, 1008, DB,
WP, 01, 2015011212,   , MIWU, 0,  94N, 1449E,  20, 1008, DB,
WP, 01, 2015011218,   , MIWU, 0,  92N, 1439E,  25, 1006, TD,
WP, 01, 2015011300,   , MIWU, 0,  87N, 1429E,  30, 1004, TD,
WP, 01, 2015011306,   , MIWU, 0,  84N, 1424E,  35, 1002, TS,
WP, 01, 2015011312,   , MIWU, 0,  86N, 1416E,  40, 1000, TS,
WP, 01, 2015011318,   , MIWU, 0,  91N, 1408E,  45,  998, TS,
WP, 01, 2015011400,   , MIWU, 0,  99N, 1399E,  45,  997, TS,
WP, 01, 2015011406,   , MIWU, 0, 105N, 1385E,  45,  997, TS,
WP, 01, 2015011412,   , MIWU, 0, 110N, 1370E,  45,  996, TS,
WP, 01, 2015011418,   , MIWU, 0, 114N, 1358E,  45,  996, TS,
WP, 01, 2015011500,   , MIWU, 0, 116N, 1347E,  50,  993, TS,
WP, 01, 2015011506,   , MIWU, 0, 116N, 1336E,  50,  992, TS,
WP, 01, 2015011512,   , MIWU, 0, 115N, 1326E,  50,  992, TS,
WP, 01, 2015011518,   , MIWU,   6, 115N, 1315E,  34, 1000, TS,
WP, 01, 2015011600,   , MIWU,   6, 116N, 1308E,  34, 1000, TS,
WP, 01, 2015011606,   , MIWU,   6, 116N, 1300E,  37,  999, TS,
WP, 01, 2015011612,   , MIWU,   6, 115N, 1286E,  37,  999, TS,
WP, 01, 2015011618,   , MIWU,   6, 114N, 1272E,  43,  997, TY,
WP, 01, 2015011700,   , MIWU,   6, 116N, 1265E,  63,  986, TY,
WP, 01, 2015011706,   , MIWU,   6, 119N, 1256E,  72,  981, TY,
WP, 01, 2015011712,   , MIWU,   6, 124N, 1247E,  70,  982, TS,
WP, 01, 2015011718,   , MIWU,  12, 128N, 1238E,  62,  986, TS,
WP, 01, 2015011800,   , MIWU,  18, 131N, 1230E,  66,  984, TS,
WP, 01, 2015011806,   , MIWU,  24, 135N, 1221E,  68,  983, TS,
WP, 01, 2015011812,   , MIWU,  30, 138N, 1216E,  72,  980, TS,
WP, 01, 2015011818,   , MIWU,  36, 141N, 1210E,  68,  982, TS,
WP, 01, 2015011900,   , MIWU,  42, 145N, 1205E,  52,  990, TS,
WP, 01, 2015011906,   , MIWU,  48, 149N, 1200E,  43,  993, TD,
WP, 01, 2015011912,   , MIWU,  54, 151N, 1197E,  49,  992, TD,
WP, 01, 2015011918,   , MIWU,  60, 154N, 1194E,  56,  989, TD,
WP, 01, 2015012000,   , MIWU,  66, 156N, 1191E,  58,  987, TY,
WP, 01, 2015012006,   , MIWU,  72, 157N, 1188E,  59,  987, TY,
WP, 01, 2015012012,   , MIWU,  84, 154N, 1183E,  47,  982, TY,
WP, 01, 2015012018,   , MIWU,  90, 150N, 1180E,  38,  990, TY,
WP, 01, 2015012100,   , MIWU,  96, 146N, 1174E,  29,  997, TY,
WP, 01, 2015012106,   , MIWU, 102, 142N, 1169E,  22,  998, LO,
WP, 01, 2015012112,   , MIWU, 108, 138N, 1163E,  17,  999, LO,
