WP, 02, 2015020600,   , MIWU, 0,  85N, 1600E,  15, 1012, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Higos,
WP, 02, 2015020606,   , MIWU, 0,  88N, 1590E,  20, 1011, DB,
WP, 02, 2015020612,   , MIWU, 0,  90N, 1584E,  20, 1011, DB,
WP, 02, 2015020618,   , MIWU, 0,  95N, 1582E,  25, 1009, TD,
WP, 02, 2015020700,   , MIWU, 0, 100N, 1580E,  30, 1007, TD,
WP, 02, 2015020706,   , MIWU, 0, 104N, 1579E,  35, 1005, TS,
WP, 02, 2015020712,   , MIWU, 0, 109N, 1579E,  45, 1001, TS,
WP, 02, 2015020718,   , MIWU, 0, 114N, 1578E,  50,  999, TS,
WP, 02, 2015020800,   , MIWU, 0, 118N, 1576E,  60,  995, TS,
WP, 02, 2015020806,   , MIWU,   6, 122N, 1573E,  47,  994, TY,
WP, 02, 2015020812,   , MIWU,   6, 123N, 1569E,  56,  990, TY,
WP, 02, 2015020818,   , MIWU,   6, 124N, 1566E,  62,  986, TY,
WP, 02, 2015020900,   , MIWU,   6, 125N, 1563E,  70,  981, TY,
WP, 02, 2015020906,   , MIWU,   6, 126N, 1559E,  91,  965, TY,
WP, 02, 2015020912,   , MIWU,   6, 127N, 1556E, 108,  948, TY,
WP, 02, 2015020918,   , MIWU,  12, 130N, 1552E, 132,  922, TY,
WP, 02, 2015021000,   , MIWU,  18, 134N, 1548E, 138,  913, TY,
WP, 02, 2015021006,   , MIWU,  24, 138N, 1543E, 137,  915, ST,
WP, 02, 2015021012,   , MIWU,  30, 142N, 1539E, 134,  918, TY,
WP, 02, 2015021018,   , MIWU,  36, 147N, 1535E, 123,  933, TY,
WP, 02, 2015021100,   , MIWU,  42, 151N, 1532E, 113,  944, TS,
WP, 02, 2015021106,   , MIWU,  48, 156N, 1528E, 104,  952, TS,
WP, 02, 2015021112,   , MIWU,  54, 161N, 1526E,  96,  959, TD,
WP, 02, 2015021118,   , MIWU,  60, 167N, 1524E,  90,  965, TY,
WP, 02, 2015021200,   , MIWU,  66, 172N, 1522E,  84,  969, TY,
WP, 02, 2015021206,   , MIWU,  72, 178N, 1520E,  81,  973, TY,
WP, 02, 2015021212,   , MIWU,  78, 186N, 1521E,  76,  977, TY,
WP, 02, 2015021218,   , MIWU,  84, 194N, 1523E,  69,  981, TY,
WP, 02, 2015021300,   , MIWU,  90, 202N, 1524E,  60,  986, TY,
WP, 02, 2015021306,   , MIWU,  96, 210N, 1526E,  52,  991, TS,
WP, 02, 2015021312,   , MIWU, 102, 219N, 1531E,  48,  993, TS,
WP, 02, 2015021318,   , MIWU, 108, 227N, 1536E,  43,  991, EX,
WP, 02, 2015021400,   , MIWU, 114, 236N, 1541E,  39,  997, EX,
WP, 02, 2015021406,   , MIWU, 120, 244N, 1546E,  35,  998, EX,
