WP, 03, 2015030918,   , MIWU, 0,  56N, 1721E,  20, 1006, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bavi,
WP, 03, 2015031000,   , MIWU, 0,  57N, 1721E,  20, 1006, DB,
WP, 03, 2015031006,   , MIWU, 0,  59N, 1720E,  20, 1005, DB,
WP, 03, 2015031012,   , MIWU, 0,  62N, 1717E,  20, 1005, DB,
WP, 03, 2015031018,   , MIWU, 0,  65N, 1713E,  25, 1003, TD,
WP, 03, 2015031100,   , MIWU, 0,  67N, 1708E,  25, 1002, TD,
WP, 03, 2015031106,   , MIWU, 0,  68N, 1699E,  30, 1000, TD,
WP, 03, 2015031112,   , MIWU, 0,  69N, 1690E,  35,  998, TS,
WP, 03, 2015031118,   , MIWU, 0,  71N, 1680E,  40,  996, TS,
WP, 03, 2015031200,   , MIWU, 0,  72N, 1669E,  40,  995, TS,
WP, 03, 2015031206,   , MIWU,   6,  73N, 1654E,  40,  998, TS,
WP, 03, 2015031212,   , MIWU,  12,  74N, 1642E,  47,  997, TS,
WP, 03, 2015031218,   , MIWU,  18,  79N, 1627E,  52,  995, TS,
WP, 03, 2015031300,   , MIWU,  24,  84N, 1612E,  56,  993, TS,
WP, 03, 2015031306,   , MIWU,  30,  91N, 1596E,  60,  992, TS,
WP, 03, 2015031312,   , MIWU,  36,  99N, 1579E,  63,  991, TS,
WP, 03, 2015031318,   , MIWU,  42, 106N, 1563E,  66,  989, TS,
WP, 03, 2015031400,   , MIWU,  48, 113N, 1546E,  65,  988, TY,
WP, 03, 2015031406,   , MIWU,  54, 117N, 1534E,  67,  986, TY,
WP, 03, 2015031412,   , MIWU,  60, 121N, 1521E,  71,  983, TY,
WP, 03, 2015031418,   , MIWU,  66, 125N, 1509E,  76,  979, TS,
WP, 03, 2015031500,   , MIWU,  72, 130N, 1496E,  83,  975, TS,
WP, 03, 2015031506,   , MIWU,  78, 132N, 1483E,  92,  967, TS,
WP, 03, 2015031512,   , MIWU,  84, 134N, 1470E, 103,  958, TS,
WP, 03, 2015031518,   , MIWU,  90, 136N, 1457E, 114,  946, TS,
WP, 03, 2015031600,   , MIWU,  96, 138N, 1444E, 115,  945, TS,
WP, 03, 2015031606,   , MIWU, 102, 139N, 1431E, 112,  948, TS,
WP, 03, 2015031612,   , MIWU, 108, 141N, 1418E, 110,  950, TS,
WP, 03, 2015031618,   , MIWU, 114, 142N, 1405E, 108,  952, TS,
WP, 03, 2015031700,   , MIWU, 120, 142N, 1392E, 108,  952, TS,
WP, 03, 2015031706,   , MIWU,  90, 141N, 1375E,  98,  984, TS,
WP, 03, 2015031712,   , MIWU,  96, 139N, 1355E,  84,  982, TY,
WP, 03, 2015031718,   , MIWU, 102, 140N, 1334E,  79,  979, TY,
WP, 03, 2015031800,   , MIWU, 108, 141N, 1313E,  83,  975, TY,
WP, 03, 2015031806,   , MIWU, 114, 143N, 1294E,  88,  971, TY,
WP, 03, 2015031812,   , MIWU, 120, 145N, 1274E,  95,  966, TY,
WP, 03, 2015031818,   , MIWU,  90, 147N, 1256E,  90,  946, TS,
WP, 03, 2015031900,   , MIWU,  96, 149N, 1240E,  85,  945, TS,
WP, 03, 2015031906,   , MIWU, 102, 151N, 1226E, 80,  948, TS,
WP, 03, 2015031912,   , MIWU, 108, 152N, 1214E, 75,  950, TS,
WP, 03, 2015031918,   , MIWU, 114, 153N, 1204E, 58,  952, TS,
WP, 03, 2015032000,   , MIWU, 120, 154N, 1196E, 45,  952, TS,
WP, 03, 2015032006,   , MIWU,  90, 155N, 1188E,  41,  984, TS,
WP, 03, 2015032012,   , MIWU,  96, 156N, 1181E,  34,  982, TY,
WP, 03, 2015032018,   , MIWU, 102, 157N, 1176E,  23,  979, TY,
WP, 03, 2015032100,   , MIWU, 108, 159N, 1172E,  21,  975, TY,
WP, 03, 2015032106,   , MIWU, 102, 162N, 1169E, 17,  948, DB,
WP, 03, 2015032112,   , MIWU, 108, 165N, 1164E, 15,  950, DB,
