WP, 04, 2015032518,   , MIWU, 0,  59N, 1620E,  20, 1007, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Maysak,
WP, 04, 2015032600,   , MIWU, 0,  60N, 1615E,  20, 1007, DB,
WP, 04, 2015032606,   , MIWU, 0,  61N, 1607E,  20, 1006, DB,
WP, 04, 2015032612,   , MIWU, 0,  63N, 1599E,  25, 1004, TD,
WP, 04, 2015032618,   , MIWU, 0,  66N, 1590E,  30, 1002, TD,
WP, 04, 2015032700,   , MIWU, 0,  68N, 1582E,  35, 1000, TS,
WP, 04, 2015032706,   , MIWU, 0,  71N, 1574E,  40,  998, TS,
WP, 04, 2015032712,   , MIWU, 0,  73N, 1567E,  40,  997, TS,
WP, 04, 2015032718,   , MIWU, 0,  74N, 1560E,  45,  995, TS,
WP, 04, 2015032800,   , MIWU,   6,  77N, 1549E,  37,  999, TS,
WP, 04, 2015032806,   , MIWU,  12,  79N, 1539E,  42,  998, TS,
WP, 04, 2015032812,   , MIWU,  18,  80N, 1528E,  47,  996, TY,
WP, 04, 2015032818,   , MIWU,  24,  82N, 1517E,  54,  993, TY,
WP, 04, 2015032900,   , MIWU,  30,  82N, 1505E,  62,  990, TY,
WP, 04, 2015032906,   , MIWU,  36,  83N, 1492E,  73,  984, TY,
WP, 04, 2015032912,   , MIWU,  42,  85N, 1480E,  84,  976, TY,
WP, 04, 2015032918,   , MIWU,  48,  87N, 1467E,  94,  966, TY,
WP, 04, 2015033000,   , MIWU,  54,  89N, 1454E, 106,  954, TY,
WP, 04, 2015033006,   , MIWU,  60,  91N, 1441E, 121,  938, TY,
WP, 04, 2015033012,   , MIWU,  66,  93N, 1427E, 144,  911, TY,
WP, 04, 2015033018,   , MIWU,  72,  96N, 1414E, 165,  882, TY,
WP, 04, 2015033100,   , MIWU,  78,  98N, 1404E, 161,  886, ST,
WP, 04, 2015033106,   , MIWU,  84, 100N, 1393E, 151,  899, ST,
WP, 04, 2015033112,   , MIWU,  90, 102N, 1382E, 140,  913, ST,
WP, 04, 2015033118,   , MIWU,  96, 105N, 1372E, 136,  918, ST,
WP, 04, 2015040100,   , MIWU, 102, 108N, 1363E, 135,  920, ST,
WP, 04, 2015040106,   , MIWU, 108, 112N, 1355E, 124,  932, ST,
WP, 04, 2015040112,   , MIWU, 114, 115N, 1346E, 122,  935, TY,
WP, 04, 2015040118,   , MIWU, 120, 119N, 1337E, 127,  930, TY,
WP, 04, 2015040200,   , MIWU, 0, 123N, 1332E, 122,  930, TY,
WP, 04, 2015040206,   , MIWU, 0, 127N, 1328E, 117,  934, TY,
WP, 04, 2015040212,   , MIWU, 0, 133N, 1324E, 112,  942, TY,
WP, 04, 2015040218,   , MIWU, 0, 138N, 1320E, 107,  950, TY,
WP, 04, 2015040300,   , MIWU, 0, 141N, 1310E, 102,  952, TY,
WP, 04, 2015040306,   , MIWU, 0, 141N, 1300E,  97,  952, TY,
WP, 04, 2015040312,   , MIWU, 0, 142N, 1289E,  92,  956, TY,
WP, 04, 2015040318,   , MIWU, 0, 143N, 1277E,  87,  960, TY,
WP, 04, 2015040400,   , MIWU,   6, 148N, 1264E,  88,  969, TY,
WP, 04, 2015040406,   , MIWU,  12, 152N, 1252E, 101,  958, TY,
WP, 04, 2015040412,   , MIWU,  18, 156N, 1240E, 118,  941, TS,
WP, 04, 2015040418,   , MIWU,  24, 161N, 1229E, 131,  927, TS,
WP, 04, 2015040500,   , MIWU,  30, 167N, 1219E, 122,  936, TS,
WP, 04, 2015040506,   , MIWU,  36, 172N, 1209E,  86,  966, TD,
WP, 04, 2015040512,   , MIWU,  42, 178N, 1199E,  63,  984, TD,
WP, 04, 2015040518,   , MIWU,  48, 183N, 1190E,  58,  986, TD,
WP, 04, 2015040600,   , MIWU,  54, 186N, 1183E,  53,  987, TD,
WP, 04, 2015040606,   , MIWU,  60, 189N, 1176E,  49,  990, TY,
WP, 04, 2015040612,   , MIWU,  66, 192N, 1169E,  41,  994, TY,
WP, 04, 2015040618,   , MIWU,  72, 194N, 1163E,  36,  995, TY,
WP, 04, 2015040700,   , MIWU,  78, 193N, 1158E,  32,  997, TY,
WP, 04, 2015040706,   , MIWU,  84, 192N, 1154E,  29,  998, TY,
WP, 04, 2015040712,   , MIWU,  90, 191N, 1149E,  23,  999, DB,
WP, 04, 2015040718,   , MIWU,  96, 190N, 1145E,  16, 1000, DB,
