WP, 05, 2015040200,   , MIWU, 0,  53N, 1610E,  20, 1011, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Haishen,
WP, 05, 2015040206,   , MIWU, 0,  60N, 1600E,  20, 1011, DB,
WP, 05, 2015040212,   , MIWU, 0,  66N, 1589E,  20, 1010, DB,
WP, 05, 2015040218,   , MIWU, 0,  70N, 1576E,  25, 1008, TD,
WP, 05, 2015040300,   , MIWU, 0,  75N, 1564E,  30, 1006, TD,
WP, 05, 2015040306,   , MIWU, 0,  80N, 1555E,  30, 1005, TD,
WP, 05, 2015040312,   , MIWU, 0,  84N, 1548E,  30, 1005, TD,
WP, 05, 2015040318,   , MIWU, 0,  87N, 1539E,  35, 1003, TS,
WP, 05, 2015040400,   , MIWU, 0,  88N, 1530E,  45,  999, TS,
WP, 05, 2015040406,   , MIWU, 0,  88N, 1524E,  45,  998, TS,
WP, 05, 2015040412,   , MIWU,   6,  89N, 1517E,  55,  990, TS,
WP, 05, 2015040418,   , MIWU,  12,  90N, 1514E,  65,  983, TS,
WP, 05, 2015040500,   , MIWU,  18,  91N, 1512E,  75,  976, TS,
WP, 05, 2015040506,   , MIWU,  24,  92N, 1510E,  84,  969, TS,
WP, 05, 2015040512,   , MIWU,  30,  93N, 1510E,  88,  966, TS,
WP, 05, 2015040518,   , MIWU,  36,  95N, 1509E,  86,  968, TS,
WP, 05, 2015040600,   , MIWU,  42,  97N, 1509E,  82,  970, TD,
WP, 05, 2015040606,   , MIWU,  48, 100N, 1508E,  79,  973, TD,
WP, 05, 2015040612,   , MIWU,  54, 102N, 1507E,  76,  974, TY,
WP, 05, 2015040618,   , MIWU,  60, 105N, 1506E,  74,  976, TY,
WP, 05, 2015040700,   , MIWU,  66, 108N, 1505E,  71,  978, TY,
WP, 05, 2015040706,   , MIWU,  72, 111N, 1504E,  69,  979, TY,
WP, 05, 2015040712,   , MIWU,  30, 113N, 1502E,  64,  966, TS,
WP, 05, 2015040718,   , MIWU,  36, 115N, 1499E,  59,  968, TS,
WP, 05, 2015040800,   , MIWU,  42, 116N, 1495E,  46,  970, TD,
WP, 05, 2015040806,   , MIWU,  48, 117N, 1490E,  37,  973, TD,
WP, 05, 2015040812,   , MIWU,  54, 118N, 1484E,  26,  974, TY,
WP, 05, 2015040818,   , MIWU,  60, 118N, 1477E,  19,  976, DB,
WP, 05, 2015040900,   , MIWU,  66, 119N, 1470E,  13,  978, DB,
