WP, 06, 2015050112,   , MIWU, 0,  73N, 1471E,  20, 1007, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Noul,
WP, 06, 2015050118,   , MIWU, 0,  74N, 1460E,  20, 1007, DB,
WP, 06, 2015050200,   , MIWU, 0,  74N, 1451E,  20, 1006, DB,
WP, 06, 2015050206,   , MIWU, 0,  75N, 1443E,  20, 1006, DB,
WP, 06, 2015050212,   , MIWU, 0,  77N, 1433E,  20, 1006, DB,
WP, 06, 2015050218,   , MIWU, 0,  79N, 1424E,  25, 1004, TD,
WP, 06, 2015050300,   , MIWU, 0,  81N, 1418E,  25, 1003, TD,
WP, 06, 2015050306,   , MIWU, 0,  85N, 1415E,  30, 1001, TD,
WP, 06, 2015050312,   , MIWU, 0,  91N, 1412E,  35,  999, TS,
WP, 06, 2015050318,   , MIWU, 0,  95N, 1408E,  45,  995, TS,
WP, 06, 2015050400,   , MIWU, 0,  96N, 1404E,  50,  993, TS,
WP, 06, 2015050406,   , MIWU,   6,  98N, 1400E,  50,  992, TS,
WP, 06, 2015050412,   , MIWU,   6,  98N, 1397E,  45,  994, TS,
WP, 06, 2015050418,   , MIWU,   6,  96N, 1394E,  50,  992, TS,
WP, 06, 2015050500,   , MIWU,   6,  95N, 1391E,  57,  989, TS,
WP, 06, 2015050506,   , MIWU,   6,  94N, 1388E,  64,  984, TS,
WP, 06, 2015050512,   , MIWU,   6,  95N, 1385E,  65,  984, TS,
WP, 06, 2015050518,   , MIWU,  12,  95N, 1382E,  78,  976, TS,
WP, 06, 2015050600,   , MIWU,  18,  96N, 1377E,  98,  960, TY,
WP, 06, 2015050606,   , MIWU,  24,  97N, 1371E, 127,  931, TY,
WP, 06, 2015050612,   , MIWU,  30,  99N, 1364E, 153,  898, TY,
WP, 06, 2015050618,   , MIWU,  36, 102N, 1356E, 166,  883, TY,
WP, 06, 2015050700,   , MIWU,  42, 106N, 1347E, 164,  885, TY,
WP, 06, 2015050706,   , MIWU,  48, 110N, 1337E, 159,  890, TY,
WP, 06, 2015050712,   , MIWU,  54, 114N, 1326E, 152,  897, TY,
WP, 06, 2015050718,   , MIWU,  60, 119N, 1314E, 148,  903, TY,
WP, 06, 2015050800,   , MIWU,  66, 124N, 1302E, 131,  924, TY,
WP, 06, 2015050806,   , MIWU,   6, 129N, 1291E, 123,  935, TY,
WP, 06, 2015050812,   , MIWU,   6, 134N, 1279E, 131,  927, TY,
WP, 06, 2015050818,   , MIWU,   6, 139N, 1269E, 137,  919, TY,
WP, 06, 2015050900,   , MIWU,  12, 145N, 1259E, 162,  886, TY,
WP, 06, 2015050906,   , MIWU,  18, 151N, 1249E, 170,  874, TY,
WP, 06, 2015050912,   , MIWU,  24, 157N, 1239E, 152,  899, ST,
WP, 06, 2015050918,   , MIWU,  30, 164N, 1232E, 137,  920, ST,
WP, 06, 2015051000,   , MIWU,  36, 171N, 1225E, 130,  932, ST,
WP, 06, 2015051006,   , MIWU,  42, 179N, 1221E, 124,  940, ST,
WP, 06, 2015051012,   , MIWU,  48, 186N, 1217E,  93,  963, TY,
WP, 06, 2015051018,   , MIWU,  54, 196N, 1220E,  84,  974, TY,
WP, 06, 2015051100,   , MIWU,  60, 205N, 1223E,  85,  974, TY,
WP, 06, 2015051106,   , MIWU,  66, 215N, 1227E,  81,  976, TY,
WP, 06, 2015051112,   , MIWU,  72, 228N, 1237E,  80,  980, TY,
WP, 06, 2015051118,   , MIWU,  78, 241N, 1255E,  74,  984, TS,
WP, 06, 2015051200,   , MIWU,  84, 258N, 1278E,  65,  987, TS,
WP, 06, 2015051206,   , MIWU,  90, 274N, 1301E,  64,  989, TY,
WP, 06, 2015051212,   , MIWU,  96, 290N, 1325E,  60,  990, TS,
WP, 06, 2015051218,   , MIWU, 102, 310N, 1359E,  59,  991, TS,
WP, 06, 2015051300,   , MIWU, 108, 330N, 1394E,  58,  992, EX,
WP, 06, 2015051306,   , MIWU, 114, 350N, 1428E,  54,  992, EX,
WP, 06, 2015051312,   , MIWU, 120, 370N, 1462E,  53,  993, EX,
