WP, 07, 2015050512,   , MIWU, 0,  42N, 1554E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dolphin,
WP, 07, 2015050518,   , MIWU, 0,  43N, 1557E,  20, 1005, DB,
WP, 07, 2015050600,   , MIWU, 0,  43N, 1562E,  20, 1004, DB,
WP, 07, 2015050606,   , MIWU, 0,  41N, 1570E,  20, 1004, DB,
WP, 07, 2015050612,   , MIWU, 0,  40N, 1580E,  25, 1002, TD,
WP, 07, 2015050618,   , MIWU, 0,  40N, 1588E,  25, 1002, TD,
WP, 07, 2015050700,   , MIWU, 0,  38N, 1595E,  25, 1001, TD,
WP, 07, 2015050706,   , MIWU, 0,  37N, 1602E,  30,  999, TD,
WP, 07, 2015050712,   , MIWU, 0,  37N, 1607E,  30,  999, TD,
WP, 07, 2015050718,   , MIWU, 0,  37N, 1613E,  30,  998, TD,
WP, 07, 2015050800,   , MIWU, 0,  37N, 1618E,  30,  998, TD,
WP, 07, 2015050806,   , MIWU, 0,  38N, 1622E,  30,  998, TD,
WP, 07, 2015050812,   , MIWU, 0,  40N, 1625E,  35,  996, TS,
WP, 07, 2015050818,   , MIWU, 0,  43N, 1625E,  35,  996, TS,
WP, 07, 2015050900,   , MIWU,   6,  45N, 1624E,  38,  998, TS,
WP, 07, 2015050906,   , MIWU,  12,  51N, 1622E,  42,  997, TS,
WP, 07, 2015050912,   , MIWU,  18,  57N, 1614E,  48,  995, TS,
WP, 07, 2015050918,   , MIWU,  24,  63N, 1606E,  55,  992, TS,
WP, 07, 2015051000,   , MIWU,  30,  67N, 1602E,  65,  986, TS,
WP, 07, 2015051006,   , MIWU,   6,  71N, 1598E,  57,  998, TS,
WP, 07, 2015051012,   , MIWU,   6,  75N, 1595E,  45,  999, TS,
WP, 07, 2015051018,   , MIWU,   6,  80N, 1596E,  38,  997, TS,
WP, 07, 2015051100,   , MIWU,   6,  87N, 1595E,  40,  997, TS,
WP, 07, 2015051106,   , MIWU,   6,  96N, 1593E,  41,  997, TS,
WP, 07, 2015051112,   , MIWU,  12, 100N, 1588E,  45,  996, TS,
WP, 07, 2015051118,   , MIWU,  18, 101N, 1579E,  48,  994, TS,
WP, 07, 2015051200,   , MIWU,  24, 102N, 1570E,  52,  993, TS,
WP, 07, 2015051206,   , MIWU,  30, 102N, 1560E,  57,  991, TS,
WP, 07, 2015051212,   , MIWU,  36, 103N, 1551E,  63,  988, TS,
WP, 07, 2015051218,   , MIWU,  42, 104N, 1539E,  70,  984, TS,
WP, 07, 2015051300,   , MIWU,  48, 105N, 1528E,  78,  978, TY,
WP, 07, 2015051306,   , MIWU,  54, 106N, 1516E,  91,  966, TY,
WP, 07, 2015051312,   , MIWU,  60, 107N, 1505E, 107,  951, TY,
WP, 07, 2015051318,   , MIWU,  66, 109N, 1493E, 122,  936, TY,
WP, 07, 2015051400,   , MIWU,  72, 111N, 1482E, 133,  923, TY,
WP, 07, 2015051406,   , MIWU,  78, 114N, 1471E, 145,  908, TY,
WP, 07, 2015051412,   , MIWU,  84, 118N, 1460E, 159,  890, TY,
WP, 07, 2015051418,   , MIWU,  90, 123N, 1449E, 168,  875, TY,
WP, 07, 2015051500,   , MIWU,  96, 128N, 1440E, 169,  873, TY,
WP, 07, 2015051506,   , MIWU, 102, 133N, 1431E, 158,  889, TY,
WP, 07, 2015051512,   , MIWU, 108, 138N, 1422E, 154,  895, TY,
WP, 07, 2015051518,   , MIWU, 114, 145N, 1413E, 144,  906, TY,
WP, 07, 2015051600,   , MIWU,  12, 150N, 1406E, 148,  904, TY,
WP, 07, 2015051606,   , MIWU,  18, 157N, 1400E, 158,  890, ST,
WP, 07, 2015051612,   , MIWU,  24, 164N, 1395E, 140,  914, ST,
WP, 07, 2015051618,   , MIWU,  30, 173N, 1394E, 122,  935, ST,
WP, 07, 2015051700,   , MIWU,  36, 181N, 1393E, 120,  939, TY,
WP, 07, 2015051706,   , MIWU,  42, 189N, 1392E, 119,  940, TY,
WP, 07, 2015051712,   , MIWU,  48, 197N, 1392E, 116,  942, TY,
WP, 07, 2015051718,   , MIWU,  54, 205N, 1395E, 112,  945, TY,
WP, 07, 2015051800,   , MIWU,  60, 212N, 1398E, 106,  951, TY,
WP, 07, 2015051806,   , MIWU,  66, 219N, 1402E,  99,  958, TY,
WP, 07, 2015051812,   , MIWU,  72, 227N, 1406E,  94,  963, TY,
WP, 07, 2015051818,   , MIWU,  78, 235N, 1414E,  90,  967, TY,
WP, 07, 2015051900,   , MIWU,  84, 243N, 1423E,  84,  972, TY,
WP, 07, 2015051906,   , MIWU,  90, 251N, 1432E,  69,  982, TY,
WP, 07, 2015051912,   , MIWU,  96, 259N, 1441E,  55,  989, TY,
WP, 07, 2015051918,   , MIWU, 102, 269N, 1453E,  45,  992, TY,
WP, 07, 2015052000,   , MIWU, 108, 279N, 1465E,  40,  995, TY,
WP, 07, 2015052006,   , MIWU, 114, 289N, 1477E,  39,  995, TS,
WP, 07, 2015052012,   , MIWU, 120, 305N, 1497E,  38,  995, TS,
WP, 07, 2015052018,   , MIWU, 0, 326N, 1523E,  37,  972, TS,
WP, 07, 2015052100,   , MIWU, 0, 358N, 1563E,  36,  974, EX,
WP, 07, 2015052106,   , MIWU, 0, 394N, 1604E,  35,  978, EX,
WP, 07, 2015052112,   , MIWU, 0, 430N, 1650E,  34,  980, EX,
