WP, 08, 2015061906,   , MIWU, 0, 145N, 1127E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kujira,
WP, 08, 2015061912,   , MIWU, 0, 149N, 1123E,  20, 1006, DB,
WP, 08, 2015061918,   , MIWU, 0, 151N, 1121E,  25, 1004, TD,
WP, 08, 2015062000,   , MIWU, 0, 152N, 1120E,  30, 1002, TD,
WP, 08, 2015062006,   , MIWU, 0, 153N, 1119E,  35, 1000, TS,
WP, 08, 2015062012,   , MIWU, 0, 155N, 1117E,  40,  998, TS,
WP, 08, 2015062018,   , MIWU, 0, 157N, 1116E,  40,  997, TS,
WP, 08, 2015062100,   , MIWU, 0, 159N, 1115E,  45,  994, TS,
WP, 08, 2015062106,   , MIWU, 0, 163N, 1114E,  45,  993, TS,
WP, 08, 2015062112,   , MIWU, 0, 167N, 1115E,  50,  990, TS,
WP, 08, 2015062118,   , MIWU, 0, 173N, 1114E,  50,  989, TS,
WP, 08, 2015062200,   , MIWU, 0, 180N, 1111E,  55,  986, TS,
WP, 08, 2015062206,   , MIWU,   6, 184N, 1109E,  45,  995, TS,
WP, 08, 2015062212,   , MIWU,   6, 191N, 1108E,  51,  992, TS,
WP, 08, 2015062218,   , MIWU,  12, 197N, 1105E,  52,  992, TS,
WP, 08, 2015062300,   , MIWU,  18, 202N, 1102E,  42,  995, TS,
WP, 08, 2015062306,   , MIWU,  24, 208N, 1099E,  39,  997, TS,
WP, 08, 2015062312,   , MIWU,  30, 213N, 1096E,  33,  998, TS,
WP, 08, 2015062318,   , MIWU,  36, 219N, 1092E,  30,  999, TS,
WP, 08, 2015062400,   , MIWU,  42, 224N, 1089E,  28, 1000, TS,
WP, 08, 2015062406,   , MIWU,  48, 229N, 1085E,  25, 1001, TS,
