WP, 09, 2015062906,   , MIWU, 0,  86N, 1615E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Chan-hom,
WP, 09, 2015062912,   , MIWU, 0,  88N, 1615E,  20, 1005, DB,
WP, 09, 2015062918,   , MIWU, 0,  92N, 1614E,  25, 1003, TD,
WP, 09, 2015063000,   , MIWU, 0,  96N, 1611E,  30, 1001, TD,
WP, 09, 2015063006,   , MIWU, 0, 100N, 1606E,  30, 1000, TD,
WP, 09, 2015063012,   , MIWU, 0, 102N, 1600E,  35,  998, TS,
WP, 09, 2015063018,   , MIWU, 0, 105N, 1594E,  40,  996, TS,
WP, 09, 2015070100,   , MIWU, 0, 108N, 1588E,  40,  995, TS,
WP, 09, 2015070106,   , MIWU,   6, 109N, 1579E,  47,  996, TS,
WP, 09, 2015070112,   , MIWU,   6, 110N, 1568E,  45,  997, TS,
WP, 09, 2015070118,   , MIWU,   6, 111N, 1557E,  47,  995, TS,
WP, 09, 2015070200,   , MIWU,   6, 112N, 1541E,  46,  996, TS,
WP, 09, 2015070206,   , MIWU,   6, 111N, 1532E,  57,  990, TS,
WP, 09, 2015070212,   , MIWU,   6, 106N, 1524E,  58,  989, TS,
WP, 09, 2015070218,   , MIWU,   6, 101N, 1512E,  68,  983, TS,
WP, 09, 2015070300,   , MIWU,   6, 102N, 1499E,  74,  978, TS,
WP, 09, 2015070306,   , MIWU,  12, 104N, 1485E,  80,  973, TS,
WP, 09, 2015070312,   , MIWU,  18, 108N, 1477E,  85,  970, TS,
WP, 09, 2015070318,   , MIWU,  24, 113N, 1469E,  95,  963, TS,
WP, 09, 2015070400,   , MIWU,  30, 118N, 1465E, 116,  942, TS,
WP, 09, 2015070406,   , MIWU,  36, 123N, 1461E, 147,  907, TS,
WP, 09, 2015070412,   , MIWU,  42, 129N, 1456E, 155,  894, TS,
WP, 09, 2015070418,   , MIWU,  48, 136N, 1450E, 144,  907, TS,
WP, 09, 2015070500,   , MIWU,  54, 142N, 1443E, 130,  923, TS,
WP, 09, 2015070506,   , MIWU,  60, 147N, 1437E, 121,  935, TS,
WP, 09, 2015070512,   , MIWU,  66, 153N, 1430E, 117,  940, TS,
WP, 09, 2015070518,   , MIWU,  72, 159N, 1423E, 118,  940, TS,
WP, 09, 2015070600,   , MIWU,  78, 167N, 1414E, 123,  935, TS,
WP, 09, 2015070606,   , MIWU,  84, 172N, 1404E, 126,  931, TY,
WP, 09, 2015070612,   , MIWU,  90, 176N, 1395E, 128,  928, TY,
WP, 09, 2015070618,   , MIWU,  30, 177N, 1387E, 138,  919, TY,
WP, 09, 2015070700,   , MIWU,  36, 180N, 1377E, 152,  903, TY,
WP, 09, 2015070706,   , MIWU,  42, 184N, 1367E, 157,  897, TY,
WP, 09, 2015070712,   , MIWU,  48, 189N, 1355E, 147,  906, TY,
WP, 09, 2015070718,   , MIWU,  54, 196N, 1345E, 139,  912, TY,
WP, 09, 2015070800,   , MIWU,  60, 203N, 1335E, 126,  924, TY,
WP, 09, 2015070806,   , MIWU,  66, 210N, 1325E, 123,  934, TY,
WP, 09, 2015070812,   , MIWU,  72, 217N, 1314E, 130,  927, TY,
WP, 09, 2015070818,   , MIWU,  78, 226N, 1302E, 127,  932, TY,
WP, 09, 2015070900,   , MIWU,  84, 235N, 1290E, 122,  937, TY,
WP, 09, 2015070906,   , MIWU,  90, 244N, 1278E, 117,  942, TY,
WP, 09, 2015070912,   , MIWU,  96, 252N, 1265E, 112,  949, TY,
WP, 09, 2015070918,   , MIWU, 102, 261N, 1252E, 105,  956, TY,
WP, 09, 2015071000,   , MIWU, 108, 269N, 1238E,  80,  972, TY,
WP, 09, 2015071006,   , MIWU, 114, 278N, 1225E,  65,  981, TY,
WP, 09, 2015071012,   , MIWU, 120, 286N, 1214E,  59,  986, TY,
WP, 09, 2015071018,   , MIWU,  78, 294N, 1205E,  45,  932, TY,
WP, 09, 2015071100,   , MIWU,  84, 304N, 1196E,  34,  937, TY,
WP, 09, 2015071106,   , MIWU,  90, 308N, 1189E,  27,  942, TY,
WP, 09, 2015071112,   , MIWU,  96, 311N, 1181E,  24,  949, TY,
WP, 09, 2015071118,   , MIWU, 102, 312N, 1177E,  20,  956, DB,
WP, 09, 2015071200,   , MIWU, 108, 313N, 1172E,   17,  972, DB,
