WP, 11, 2015070118,   , MIWU, 0,  63N, 1728E,  15, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nangka,
WP, 11, 2015070200,   , MIWU, 0,  67N, 1725E,  20, 1007, DB,
WP, 11, 2015070206,   , MIWU, 0,  70N, 1723E,  20, 1006, DB,
WP, 11, 2015070212,   , MIWU, 0,  72N, 1721E,  20, 1006, DB,
WP, 11, 2015070218,   , MIWU, 0,  75N, 1720E,  25, 1004, TD,
WP, 11, 2015070300,   , MIWU, 0,  79N, 1717E,  25, 1003, TD,
WP, 11, 2015070306,   , MIWU, 0,  84N, 1714E,  30, 1001, TD,
WP, 11, 2015070312,   , MIWU, 0,  90N, 1710E,  35,  999, TS,
WP, 11, 2015070318,   , MIWU, 0,  96N, 1704E,  40,  997, TS,
WP, 11, 2015070400,   , MIWU, 0, 100N, 1696E,  45,  995, TS,
WP, 11, 2015070406,   , MIWU, 0, 105N, 1685E,  45,  994, TS,
WP, 11, 2015070412,   , MIWU,   6, 109N, 1671E,  49,  995, TS,
WP, 11, 2015070418,   , MIWU,   6, 113N, 1657E,  58,  991, TS,
WP, 11, 2015070500,   , MIWU,   6, 114N, 1645E,  52,  994, TS,
WP, 11, 2015070506,   , MIWU,   6, 114N, 1633E,  50,  994, TS,
WP, 11, 2015070512,   , MIWU,   6, 114N, 1622E,  50,  994, TS,
WP, 11, 2015070518,   , MIWU,   6, 115N, 1611E,  49,  994, TS,
WP, 11, 2015070600,   , MIWU,   6, 116N, 1596E,  54,  992, TS,
WP, 11, 2015070606,   , MIWU,   6, 118N, 1584E,  60,  989, TY,
WP, 11, 2015070612,   , MIWU,   6, 120N, 1575E,  75,  979, TY,
WP, 11, 2015070618,   , MIWU,  12, 123N, 1564E,  92,  967, TY,
WP, 11, 2015070700,   , MIWU,  18, 128N, 1554E, 114,  946, TY,
WP, 11, 2015070706,   , MIWU,  24, 133N, 1543E, 139,  919, TY,
WP, 11, 2015070712,   , MIWU,  30, 137N, 1533E, 152,  901, ST,
WP, 11, 2015070718,   , MIWU,  36, 142N, 1522E, 154,  899, TY,
WP, 11, 2015070800,   , MIWU,  42, 149N, 1513E, 149,  906, TY,
WP, 11, 2015070806,   , MIWU,  48, 156N, 1504E, 140,  914, TY,
WP, 11, 2015070812,   , MIWU,  54, 162N, 1494E, 132,  922, TY,
WP, 11, 2015070818,   , MIWU,  60, 169N, 1485E, 127,  928, ST,
WP, 11, 2015070900,   , MIWU,  66, 175N, 1475E, 128,  928, ST,
WP, 11, 2015070906,   , MIWU,  72, 182N, 1466E, 136,  918, ST,
WP, 11, 2015070912,   , MIWU,  78, 187N, 1458E, 138,  915, ST,
WP, 11, 2015070918,   , MIWU,  84, 191N, 1450E, 123,  932, ST,
WP, 11, 2015071000,   , MIWU,  90, 194N, 1442E, 121,  935, TY,
WP, 11, 2015071006,   , MIWU,  96, 196N, 1434E, 121,  935, TY,
WP, 11, 2015071012,   , MIWU, 102, 197N, 1429E, 124,  932, TY,
WP, 11, 2015071018,   , MIWU, 108, 198N, 1420E, 116,  940, TY,
WP, 11, 2015071100,   , MIWU, 114, 199N, 1412E, 116,  940, TY,
WP, 11, 2015071106,   , MIWU, 120, 199N, 1406E, 107,  949, TY,
WP, 11, 2015071112,   , MIWU,  78, 200N, 1399E, 112,  915, ST,
WP, 11, 2015071118,   , MIWU,  84, 200N, 1393E, 121,  932, ST,
WP, 11, 2015071200,   , MIWU,  90, 200N, 1387E, 123,  935, TY,
WP, 11, 2015071206,   , MIWU,  96, 201N, 1382E, 124,  935, TY,
WP, 11, 2015071212,   , MIWU, 102, 201N, 1379E, 125,  932, TY,
WP, 11, 2015071218,   , MIWU, 108, 202N, 1375E, 120,  940, TY,
WP, 11, 2015071300,   , MIWU, 114, 203N, 1372E, 115,  940, TY,
WP, 11, 2015071306,   , MIWU,   6, 204N, 1370E, 110,  946, TY,
WP, 11, 2015071312,   , MIWU,  12, 209N, 1369E, 115,  941, TY,
WP, 11, 2015071318,   , MIWU,  18, 218N, 1369E, 116,  941, TY,
WP, 11, 2015071400,   , MIWU,  24, 226N, 1368E, 113,  944, TY,
WP, 11, 2015071406,   , MIWU,  30, 234N, 1367E, 112,  947, TY,
WP, 11, 2015071412,   , MIWU,  36, 243N, 1366E, 113,  946, TY,
WP, 11, 2015071418,   , MIWU,  42, 253N, 1363E, 114,  946, TY,
WP, 11, 2015071500,   , MIWU,  48, 263N, 1359E,  94,  962, TY,
WP, 11, 2015071506,   , MIWU,  54, 271N, 1353E,  77,  975, TY,
WP, 11, 2015071512,   , MIWU,  60, 280N, 1347E,  59,  985, TY,
WP, 11, 2015071518,   , MIWU,  66, 289N, 1341E,  47,  990, TY,
WP, 11, 2015071600,   , MIWU,  72, 298N, 1336E,  43,  994, TY,
WP, 11, 2015071606,   , MIWU,  78, 305N, 1331E,  42,  994, TY,
WP, 11, 2015071612,   , MIWU,  84, 313N, 1325E,  41,  995, TY,
WP, 11, 2015071618,   , MIWU,  90, 320N, 1320E,  37,  996, TS,
WP, 11, 2015071700,   , MIWU,  96, 328N, 1315E,  35,  997, TS,
WP, 11, 2015071706,   , MIWU, 102, 335N, 1313E,  31,  998, TS,
WP, 11, 2015071712,   , MIWU, 108, 343N, 1310E,  29,  999, TD,
WP, 11, 2015071718,   , MIWU, 114, 351N, 1308E,  21,  999, DB,
WP, 11, 2015071800,   , MIWU, 120, 359N, 1305E,  18,  999, DB,
