WP, 12, 2015072200,   , MIWU, 0, 162N, 1254E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Twelve-W,
WP, 12, 2015072206,   , MIWU, 0, 162N, 1244E,  20, 1007, DB,
WP, 12, 2015072212,   , MIWU, 0, 162N, 1238E,  20, 1006, DB,
WP, 12, 2015072218,   , MIWU, 0, 165N, 1235E,  20, 1006, DB,
WP, 12, 2015072300,   , MIWU, 0, 171N, 1234E,  25, 1004, TD,
WP, 12, 2015072306,   , MIWU, 0, 176N, 1234E,  30, 1002, TD,
WP, 12, 2015072312,   , MIWU, 0, 179N, 1234E,  35, 1000, TS,
WP, 12, 2015072318,   , MIWU, 0, 180N, 1235E,  40,  998, TS,
WP, 12, 2015072400,   , MIWU, 0, 180N, 1238E,  40,  998, TS,
WP, 12, 2015072406,   , MIWU, 0, 178N, 1241E,  35, 1000, TS,
WP, 12, 2015072412,   , MIWU,   6, 177N, 1244E,  40,  996, TS,
WP, 12, 2015072418,   , MIWU,   6, 178N, 1248E,  41,  996, TS,
WP, 12, 2015072500,   , MIWU,  12, 179N, 1252E,  44,  995, TD,
WP, 12, 2015072506,   , MIWU,  18, 188N, 1253E,  48,  994, TD,
WP, 12, 2015072512,   , MIWU,  24, 197N, 1254E,  53,  992, TD,
WP, 12, 2015072518,   , MIWU,  30, 207N, 1253E,  60,  988, TS,
WP, 12, 2015072600,   , MIWU,  36, 218N, 1252E,  72,  981, TY,
WP, 12, 2015072606,   , MIWU, 0, 228N, 1251E,  58, 1000, TS,
WP, 12, 2015072612,   , MIWU,   6, 239N, 1252E,  46,  996, TS,
WP, 12, 2015072618,   , MIWU,   6, 251N, 1253E,  38,  996, TS,
WP, 12, 2015072700,   , MIWU,  12, 262N, 1254E,  33,  995, TD,
WP, 12, 2015072706,   , MIWU,  18, 273N, 1256E,  23,  994, DB,
WP, 12, 2015072712,   , MIWU,  24, 280N, 1259E,  17,  992, DB,
