WP, 13, 2015072906,   , MIWU, 0, 127N, 1643E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Soudelor,
WP, 13, 2015072912,   , MIWU, 0, 130N, 1632E,  20, 1010, DB,
WP, 13, 2015072918,   , MIWU, 0, 132N, 1620E,  25, 1008, TD,
WP, 13, 2015073000,   , MIWU, 0, 135N, 1608E,  30, 1006, TD,
WP, 13, 2015073006,   , MIWU, 0, 137N, 1600E,  35, 1004, TS,
WP, 13, 2015073012,   , MIWU, 0, 137N, 1593E,  35, 1004, TS,
WP, 13, 2015073018,   , MIWU, 0, 138N, 1584E,  35, 1003, TS,
WP, 13, 2015073100,   , MIWU,   6, 140N, 1575E,  49,  994, TS,
WP, 13, 2015073106,   , MIWU,  12, 141N, 1565E,  58,  990, TS,
WP, 13, 2015073112,   , MIWU,  18, 143N, 1555E,  73,  982, TY,
WP, 13, 2015073118,   , MIWU,  24, 145N, 1544E,  97,  964, TY,
WP, 13, 2015080100,   , MIWU,  30, 148N, 1534E, 129,  932, TS,
WP, 13, 2015080106,   , MIWU,  36, 151N, 1523E, 161,  894, TS,
WP, 13, 2015080112,   , MIWU,  42, 155N, 1511E, 177,  869, TS,
WP, 13, 2015080118,   , MIWU,  48, 160N, 1498E, 161,  887, TS,
WP, 13, 2015080200,   , MIWU,  54, 164N, 1485E, 152,  897, TY,
WP, 13, 2015080206,   , MIWU,  60, 167N, 1472E, 147,  904, TY,
WP, 13, 2015080212,   , MIWU,  66, 168N, 1458E, 144,  907, TY,
WP, 13, 2015080218,   , MIWU,  72, 169N, 1445E, 133,  921, TY,
WP, 13, 2015080300,   , MIWU,  30, 170N, 1433E, 162,  890, TY,
WP, 13, 2015080306,   , MIWU,  36, 171N, 1421E, 164,  886, TY,
WP, 13, 2015080312,   , MIWU,  36, 172N, 1408E, 152,  902, ST,
WP, 13, 2015080318,   , MIWU,  42, 174N, 1397E, 137,  922, ST,
WP, 13, 2015080400,   , MIWU,  48, 179N, 1386E, 122,  937, ST,
WP, 13, 2015080406,   , MIWU,  54, 184N, 1375E, 112,  946, ST,
WP, 13, 2015080412,   , MIWU,  60, 189N, 1364E, 108,  951, TY,
WP, 13, 2015080418,   , MIWU,  66, 194N, 1353E, 107,  951, TY,
WP, 13, 2015080500,   , MIWU,  72, 199N, 1342E, 111,  948, TY,
WP, 13, 2015080506,   , MIWU,  78, 203N, 1330E, 119,  940, TY,
WP, 13, 2015080512,   , MIWU,  84, 207N, 1319E, 125,  933, TY,
WP, 13, 2015080518,   , MIWU,  90, 211N, 1308E, 124,  934, TY,
WP, 13, 2015080600,   , MIWU,  96, 214N, 1297E, 115,  944, TY,
WP, 13, 2015080606,   , MIWU,  18, 217N, 1288E, 126,  932, TY,
WP, 13, 2015080612,   , MIWU,  24, 219N, 1279E, 133,  925, TY,
WP, 13, 2015080618,   , MIWU,  30, 221N, 1267E, 138,  920, TY,
WP, 13, 2015080700,   , MIWU,  36, 222N, 1255E, 142,  916, TY,
WP, 13, 2015080706,   , MIWU,  42, 223N, 1244E, 148,  908, TY,
WP, 13, 2015080712,   , MIWU,  48, 226N, 1233E, 153,  898, TY,
WP, 13, 2015080718,   , MIWU,  54, 230N, 1223E, 144,  907, TY,
WP, 13, 2015080800,   , MIWU,  60, 235N, 1213E, 124,  931, TY,
WP, 13, 2015080806,   , MIWU,  66, 239N, 1203E,  87,  963, TY,
WP, 13, 2015080812,   , MIWU,  72, 244N, 1194E,  75,  973, TY,
WP, 13, 2015080818,   , MIWU,  78, 251N, 1186E,  76,  973, TS,
WP, 13, 2015080900,   , MIWU,  84, 258N, 1178E,  59,  983, TS,
WP, 13, 2015080906,   , MIWU,  90, 265N, 1170E,  47,  990, TD,
WP, 13, 2015080912,   , MIWU,  96, 274N, 1165E,  41,  992, TD,
WP, 13, 2015080918,   , MIWU, 102, 281N, 1161E,  36,  995, TD,
WP, 13, 2015081000,   , MIWU, 108, 290N, 1159E,  27,  996, TD,
WP, 13, 2015081006,   , MIWU, 114, 298N, 1157E,  24,  997, DB,
WP, 13, 2015081012,   , MIWU, 120, 307N, 1155E,  18,  998, DB,
