WP, 14, 2015080106,   , MIWU, 0, 286N, 1460E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fourteen-W,
WP, 14, 2015080112,   , MIWU, 0, 290N, 1454E,  20, 1010, DB,
WP, 14, 2015080118,   , MIWU, 0, 295N, 1449E,  20, 1009, DB,
WP, 14, 2015080200,   , MIWU, 0, 297N, 1445E,  25, 1007, TD,
WP, 14, 2015080206,   , MIWU, 0, 299N, 1441E,  30, 1005, TD,
WP, 14, 2015080212,   , MIWU, 0, 301N, 1438E,  35, 1003, TS,
WP, 14, 2015080218,   , MIWU, 0, 303N, 1435E,  35, 1003, TS,
WP, 14, 2015080300,   , MIWU, 0, 305N, 1430E,  35, 1003, TS,
WP, 14, 2015080306,   , MIWU, 0, 306N, 1424E,  30, 1005, TD,
WP, 14, 2015080312,   , MIWU, 0, 306N, 1416E,  30, 1005, TD,
WP, 14, 2015080318,   , MIWU, 0, 307N, 1407E,  30, 1006, TD,
WP, 14, 2015080400,   , MIWU, 0, 310N, 1400E,  25, 1008, TD,
WP, 14, 2015080406,   , MIWU, 0, 313N, 1393E,  25, 1008, TD,
WP, 14, 2015080412,   , MIWU, 0, 317N, 1385E,  20, 1010, DB,
WP, 14, 2015080418,   , MIWU, 0, 321N, 1379E,  20, 1011, DB,
WP, 14, 2015080500,   , MIWU, 0, 324N, 1375E,  15, 1013, DB,
WP, 14, 2015080506,   , MIWU, 0, 329N, 1369E,  15, 1014, DB,
WP, 14, 2015080512,   , MIWU, 0, 335N, 1361E,  15, 1014, DB,
