WP, 15, 2015080506,   , MIWU, 0, 166N, 1493E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Molave,
WP, 15, 2015080512,   , MIWU, 0, 167N, 1496E,  20, 1004, DB,
WP, 15, 2015080518,   , MIWU, 0, 171N, 1496E,  20, 1004, DB,
WP, 15, 2015080600,   , MIWU, 0, 177N, 1494E,  25, 1002, TD,
WP, 15, 2015080606,   , MIWU, 0, 185N, 1490E,  25, 1001, TD,
WP, 15, 2015080612,   , MIWU, 0, 195N, 1486E,  30,  999, TD,
WP, 15, 2015080618,   , MIWU, 0, 206N, 1482E,  30,  998, TD,
WP, 15, 2015080700,   , MIWU, 0, 216N, 1478E,  35,  996, TS,
WP, 15, 2015080706,   , MIWU, 0, 226N, 1473E,  35,  995, TS,
WP, 15, 2015080712,   , MIWU, 0, 238N, 1465E,  40,  993, TS,
WP, 15, 2015080718,   , MIWU, 0, 250N, 1455E,  40,  993, TS,
WP, 15, 2015080800,   , MIWU, 0, 260N, 1443E,  40,  992, TS,
WP, 15, 2015080806,   , MIWU, 0, 264N, 1434E,  45,  990, TS,
WP, 15, 2015080812,   , MIWU, 0, 265N, 1424E,  45,  989, TS,
WP, 15, 2015080818,   , MIWU,   6, 267N, 1415E,  38,  998, TS,
WP, 15, 2015080900,   , MIWU,  12, 270N, 1409E,  42,  997, TS,
WP, 15, 2015080906,   , MIWU,  18, 276N, 1406E,  47,  995, TS,
WP, 15, 2015080912,   , MIWU,  24, 282N, 1404E,  54,  992, TS,
WP, 15, 2015080918,   , MIWU,  30, 289N, 1407E,  61,  989, TS,
WP, 15, 2015081000,   , MIWU,  36, 297N, 1411E,  72,  985, TS,
WP, 15, 2015081006,   , MIWU,  42, 303N, 1418E,  79,  981, TS,
WP, 15, 2015081012,   , MIWU,  48, 309N, 1425E,  81,  977, TS,
WP, 15, 2015081018,   , MIWU,  54, 316N, 1438E,  80,  977, TS,
WP, 15, 2015081100,   , MIWU,  60, 323N, 1452E,  77,  980, TS,
WP, 15, 2015081106,   , MIWU,  66, 331N, 1465E,  73,  982, TS,
WP, 15, 2015081112,   , MIWU,  72, 338N, 1479E,  71,  984, TS,
WP, 15, 2015081118,   , MIWU,  78, 350N, 1502E,  68,  986, TS,
WP, 15, 2015081200,   , MIWU,  84, 363N, 1526E,  65,  988, TS,
WP, 15, 2015081206,   , MIWU,  90, 375N, 1549E,  61,  990, TS,
WP, 15, 2015081212,   , MIWU,  96, 387N, 1573E,  50,  995, TS,
WP, 15, 2015081218,   , MIWU, 0, 399N, 1595E,  55,  976, EX,
WP, 15, 2015081300,   , MIWU, 0, 412N, 1622E,  50,  978, EX,
