WP, 16, 2015081218,   , MIWU, 0, 120N, 1545E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Goni,
WP, 16, 2015081300,   , MIWU, 0, 119N, 1533E,  20, 1009, DB,
WP, 16, 2015081306,   , MIWU, 0, 119N, 1523E,  20, 1008, DB,
WP, 16, 2015081312,   , MIWU, 0, 121N, 1516E,  25, 1006, TD,
WP, 16, 2015081318,   , MIWU, 0, 122N, 1510E,  25, 1005, TD,
WP, 16, 2015081400,   , MIWU, 0, 122N, 1503E,  30, 1003, TD,
WP, 16, 2015081406,   , MIWU, 0, 123N, 1497E,  35, 1001, TS,
WP, 16, 2015081412,   , MIWU, 0, 125N, 1490E,  40,  999, TS,
WP, 16, 2015081418,   , MIWU, 0, 129N, 1482E,  40,  998, TS,
WP, 16, 2015081500,   , MIWU, 0, 135N, 1472E,  45,  995, TS,
WP, 16, 2015081506,   , MIWU,   6, 140N, 1462E,  38,  998, TS,
WP, 16, 2015081512,   , MIWU,   6, 144N, 1457E,  48,  994, TS,
WP, 16, 2015081518,   , MIWU,   6, 146N, 1451E,  58,  989, TS,
WP, 16, 2015081600,   , MIWU,   6, 148N, 1444E,  66,  985, TY,
WP, 16, 2015081606,   , MIWU,   6, 150N, 1439E,  72,  981, TY,
WP, 16, 2015081612,   , MIWU,   6, 153N, 1433E,  80,  976, TY,
WP, 16, 2015081618,   , MIWU,   6, 156N, 1425E,  94,  966, TY,
WP, 16, 2015081700,   , MIWU,   6, 160N, 1416E, 116,  946, ST,
WP, 16, 2015081706,   , MIWU,   6, 165N, 1406E, 143,  910, TY,
WP, 16, 2015081712,   , MIWU,   6, 170N, 1395E, 137,  918, TY,
WP, 16, 2015081718,   , MIWU,   6, 173N, 1382E, 122,  934, TY,
WP, 16, 2015081800,   , MIWU,   6, 177N, 1369E, 113,  945, TY,
WP, 16, 2015081806,   , MIWU,   6, 182N, 1350E, 112,  949, TY,
WP, 16, 2015081812,   , MIWU,   6, 187N, 1331E, 110,  950, TY,
WP, 16, 2015081818,   , MIWU,   6, 188N, 1314E, 102,  958, TY,
WP, 16, 2015081900,   , MIWU,   6, 189N, 1297E,  98,  960, TY,
WP, 16, 2015081906,   , MIWU,   6, 190N, 1285E, 120,  938, TY,
WP, 16, 2015081912,   , MIWU,  12, 190N, 1273E, 135,  920, TY,
WP, 16, 2015081918,   , MIWU,  18, 191N, 1263E, 145,  907, TY,
WP, 16, 2015082000,   , MIWU,  24, 192N, 1253E, 146,  904, TY,
WP, 16, 2015082006,   , MIWU,  18, 193N, 1245E, 142,  921, TY,
WP, 16, 2015082012,   , MIWU,  24, 194N, 1238E, 139,  913, TY,
WP, 16, 2015082018,   , MIWU,  30, 195N, 1234E, 139,  913, TY,
WP, 16, 2015082100,   , MIWU,  36, 196N, 1230E, 131,  923, TY,
WP, 16, 2015082106,   , MIWU,  42, 197N, 1228E, 126,  930, TY,
WP, 16, 2015082112,   , MIWU,  48, 198N, 1227E, 122,  933, TY,
WP, 16, 2015082118,   , MIWU,  54, 201N, 1228E, 107,  948, TY,
WP, 16, 2015082200,   , MIWU,  60, 205N, 1229E, 114,  942, TY,
WP, 16, 2015082206,   , MIWU,  66, 209N, 1230E, 122,  935, TY,
WP, 16, 2015082212,   , MIWU,  72, 215N, 1232E, 121,  935, TY,
WP, 16, 2015082218,   , MIWU,  78, 223N, 1235E, 108,  949, TY,
WP, 16, 2015082300,   , MIWU,  84, 231N, 1237E, 119,  939, TY,
WP, 16, 2015082306,   , MIWU,  90, 239N, 1240E, 107,  952, TY,
WP, 16, 2015082312,   , MIWU,  96, 247N, 1243E, 111,  949, ST,
WP, 16, 2015082318,   , MIWU, 102, 258N, 1250E, 101,  960, ST,
WP, 16, 2015082400,   , MIWU,  30, 268N, 1259E, 101,  960, TY,
WP, 16, 2015082406,   , MIWU,  36, 279N, 1268E, 102,  961, TY,
WP, 16, 2015082412,   , MIWU,  42, 293N, 1278E, 100,  963, TY,
WP, 16, 2015082418,   , MIWU,  48, 307N, 1286E,  92,  967, TY,
WP, 16, 2015082500,   , MIWU,  54, 322N, 1291E,  76,  977, TY,
WP, 16, 2015082506,   , MIWU,  60, 337N, 1297E,  59,  986, TY,
WP, 16, 2015082512,   , MIWU,  66, 352N, 1302E,  49,  991, TS,
WP, 16, 2015082518,   , MIWU,  72, 366N, 1307E,  42,  993, TS,
WP, 16, 2015082600,   , MIWU,  78, 379N, 1308E,  38,  996, TS,
WP, 16, 2015082606,   , MIWU,  84, 392N, 1310E,  34,  997, TS,
WP, 16, 2015082612,   , MIWU,  90, 405N, 1311E,  32,  998, EX,
WP, 16, 2015082618,   , MIWU,  96, 417N, 1312E,  29,  998, EX,
WP, 16, 2015082700,   , MIWU, 102, 424N, 1307E,  27,  999, EX,
WP, 16, 2015082706,   , MIWU, 108, 431N, 1302E,  26, 1000, EX,
WP, 16, 2015082712,   , MIWU, 114, 439N, 1298E,  24, 1000, EX,
WP, 16, 2015082718,   , MIWU, 120, 446N, 1293E,  23, 1000, EX,
