WP, 17, 2015081306,   , MIWU, 0, 130N, 1657E,  20, 1005, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Atsani,
WP, 17, 2015081312,   , MIWU, 0, 135N, 1652E,  20, 1005, WV,
WP, 17, 2015081318,   , MIWU, 0, 140N, 1646E,  20, 1005, WV,
WP, 17, 2015081400,   , MIWU, 0, 144N, 1640E,  25, 1003, WV,
WP, 17, 2015081406,   , MIWU, 0, 147N, 1635E,  25, 1002, TD,
WP, 17, 2015081412,   , MIWU, 0, 149N, 1630E,  30, 1000, TD,
WP, 17, 2015081418,   , MIWU, 0, 149N, 1626E,  35,  998, TS,
WP, 17, 2015081500,   , MIWU, 0, 148N, 1623E,  40,  995, TS,
WP, 17, 2015081506,   , MIWU,   6, 149N, 1619E,  40,  996, TS,
WP, 17, 2015081512,   , MIWU,   6, 150N, 1617E,  46,  994, TS,
WP, 17, 2015081518,   , MIWU,   6, 151N, 1615E,  50,  992, TS,
WP, 17, 2015081600,   , MIWU,   6, 150N, 1609E,  65,  984, TS,
WP, 17, 2015081606,   , MIWU,   6, 148N, 1605E,  64,  984, TY,
WP, 17, 2015081612,   , MIWU,   6, 147N, 1600E,  77,  976, TY,
WP, 17, 2015081618,   , MIWU,  12, 148N, 1596E,  93,  963, TY,
WP, 17, 2015081700,   , MIWU,  18, 150N, 1590E, 119,  938, TY,
WP, 17, 2015081706,   , MIWU,  24, 152N, 1584E, 147,  906, TY,
WP, 17, 2015081712,   , MIWU,  30, 155N, 1578E, 152,  899, TY,
WP, 17, 2015081718,   , MIWU,  36, 159N, 1572E, 152,  900, TY,
WP, 17, 2015081800,   , MIWU,  42, 165N, 1565E, 149,  905, TY,
WP, 17, 2015081806,   , MIWU,  48, 171N, 1557E, 142,  911, TY,
WP, 17, 2015081812,   , MIWU,  54, 176N, 1550E, 137,  916, TY,
WP, 17, 2015081818,   , MIWU,  60, 182N, 1543E, 135,  918, TY,
WP, 17, 2015081900,   , MIWU,  66, 187N, 1535E, 135,  920, ST,
WP, 17, 2015081906,   , MIWU,  72, 192N, 1524E, 147,  905, ST,
WP, 17, 2015081912,   , MIWU,  78, 198N, 1514E, 149,  902, ST,
WP, 17, 2015081918,   , MIWU,  84, 204N, 1504E, 151,  899, ST,
WP, 17, 2015082000,   , MIWU,  90, 210N, 1496E, 149,  901, ST,
WP, 17, 2015082006,   , MIWU,  96, 216N, 1488E, 141,  909, ST,
WP, 17, 2015082012,   , MIWU, 102, 221N, 1480E, 110,  948, TY,
WP, 17, 2015082018,   , MIWU,  36, 227N, 1473E, 118,  940, TY,
WP, 17, 2015082100,   , MIWU,  42, 232N, 1467E, 124,  934, TY,
WP, 17, 2015082106,   , MIWU,  48, 238N, 1460E, 102,  953, TY,
WP, 17, 2015082112,   , MIWU,  54, 243N, 1456E,  88,  965, TY,
WP, 17, 2015082118,   , MIWU,  60, 249N, 1452E,  84,  969, TY,
WP, 17, 2015082200,   , MIWU,  66, 254N, 1447E,  81,  971, TY,
WP, 17, 2015082206,   , MIWU,  72, 260N, 1443E,  69,  980, TY,
WP, 17, 2015082212,   , MIWU,  78, 266N, 1442E,  68,  980, TY,
WP, 17, 2015082218,   , MIWU,  84, 272N, 1441E,  64,  981, TY,
WP, 17, 2015082300,   , MIWU,  90, 279N, 1442E,  61,  985, TY,
WP, 17, 2015082306,   , MIWU,  96, 288N, 1446E,  58,  985, TY,
WP, 17, 2015082312,   , MIWU, 102, 297N, 1455E,  56,  988, TY,
WP, 17, 2015082318,   , MIWU, 108, 307N, 1468E,  55,  989, TY,
WP, 17, 2015082400,   , MIWU, 114, 315N, 1478E,  53,  990, TY,
WP, 17, 2015082406,   , MIWU, 120, 321N, 1491E,  50,  991, TY,
WP, 17, 2015082412,   , MIWU, 0, 329N, 1510E,  53,  964, TY,
WP, 17, 2015082418,   , MIWU, 0, 340N, 1536E,  55,  966, TY,
WP, 17, 2015082500,   , MIWU, 0, 355N, 1556E,  58,  966, TS,
WP, 17, 2015082506,   , MIWU, 0, 380N, 1576E,  60,  964, EX,
WP, 17, 2015082512,   , MIWU, 0, 393N, 1593E,  62,  958, EX,
