WP, 18, 2015090512,   , MIWU, 0, 182N, 1405E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Etau,
WP, 18, 2015090518,   , MIWU, 0, 190N, 1401E,  20, 1010, DB,
WP, 18, 2015090600,   , MIWU, 0, 198N, 1398E,  25, 1008, TD,
WP, 18, 2015090606,   , MIWU, 0, 206N, 1394E,  30, 1006, TD,
WP, 18, 2015090612,   , MIWU, 0, 215N, 1391E,  35, 1004, TS,
WP, 18, 2015090618,   , MIWU, 0, 223N, 1388E,  35, 1003, TS,
WP, 18, 2015090700,   , MIWU, 0, 230N, 1385E,  40, 1001, TS,
WP, 18, 2015090706,   , MIWU, 0, 239N, 1382E,  45,  999, TS,
WP, 18, 2015090712,   , MIWU, 0, 250N, 1381E,  50,  996, TS,
WP, 18, 2015090718,   , MIWU, 0, 260N, 1380E,  60,  990, TS,
WP, 18, 2015090800,   , MIWU, 0, 268N, 1380E,  65,  987, TY,
WP, 18, 2015090806,   , MIWU,  12, 277N, 1381E,  43,  997, TY,
WP, 18, 2015090812,   , MIWU,  18, 288N, 1380E,  48,  995, TY,
WP, 18, 2015090818,   , MIWU,  24, 303N, 1377E,  53,  994, TS,
WP, 18, 2015090900,   , MIWU,  30, 317N, 1373E,  56,  992, TS,
WP, 18, 2015090906,   , MIWU,  36, 331N, 1369E,  58,  991, TS,
WP, 18, 2015090912,   , MIWU,  42, 341N, 1361E,  52,  993, TS,
WP, 18, 2015090918,   , MIWU,  48, 348N, 1355E,  41,  996, TS,
WP, 18, 2015091000,   , MIWU,  54, 354N, 1349E,  34,  998, TS,
WP, 18, 2015091006,   , MIWU,  60, 357N, 1344E,  30,  999, EX,
WP, 18, 2015091012,   , MIWU,  66, 360N, 1340E,  28, 1000, EX,
WP, 18, 2015091018,   , MIWU,  72, 364N, 1335E,  26, 1001, EX,
