WP, 19, 2015091206,   , MIWU, 0, 156N, 1150E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Vamco,
WP, 19, 2015091212,   , MIWU, 0, 160N, 1145E,  20, 1006, DB,
WP, 19, 2015091218,   , MIWU, 0, 161N, 1138E,  25, 1004, TD,
WP, 19, 2015091300,   , MIWU, 0, 160N, 1130E,  30, 1002, TD,
WP, 19, 2015091306,   , MIWU, 0, 158N, 1123E,  35, 1000, TS,
WP, 19, 2015091312,   , MIWU, 0, 155N, 1116E,  40,  998, TS,
WP, 19, 2015091318,   , MIWU, 0, 152N, 1110E,  40,  997, TS,
WP, 19, 2015091400,   , MIWU, 0, 150N, 1103E,  45,  995, TS,
WP, 19, 2015091406,   , MIWU,   6, 148N, 1095E,  70,  982, TS,
WP, 19, 2015091412,   , MIWU,  12, 147N, 1086E,  78,  976, TS,
WP, 19, 2015091418,   , MIWU,  18, 145N, 1078E,  61,  984, TS,
WP, 19, 2015091500,   , MIWU,  24, 142N, 1070E,  49,  992, TD,
WP, 19, 2015091506,   , MIWU,  30, 140N, 1064E,  41,  994, TS,
WP, 19, 2015091512,   , MIWU,  36, 137N, 1058E,  35,  997, TS,
WP, 19, 2015091518,   , MIWU,  18, 135N, 1052E,  29,  984, TS,
WP, 19, 2015091600,   , MIWU,  24, 134N, 1046E,  22,  992, DB,
WP, 19, 2015091606,   , MIWU,  30, 134N, 1041E,  18,  994, DB,

