WP, 20, 2015091318,   , MIWU, 0, 139N, 1523E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Krovanh,
WP, 20, 2015091400,   , MIWU, 0, 146N, 1524E,  20, 1009, DB,
WP, 20, 2015091406,   , MIWU, 0, 154N, 1527E,  20, 1008, DB,
WP, 20, 2015091412,   , MIWU, 0, 162N, 1526E,  25, 1006, TD,
WP, 20, 2015091418,   , MIWU, 0, 170N, 1523E,  30, 1004, TD,
WP, 20, 2015091500,   , MIWU, 0, 177N, 1517E,  35, 1002, TS,
WP, 20, 2015091506,   , MIWU, 0, 180N, 1508E,  40, 1000, TS,
WP, 20, 2015091512,   , MIWU, 0, 182N, 1499E,  40,  999, TS,
WP, 20, 2015091518,   , MIWU, 0, 186N, 1490E,  45,  996, TS,
WP, 20, 2015091600,   , MIWU,   6, 188N, 1484E,  50,  995, TS,
WP, 20, 2015091606,   , MIWU,  12, 192N, 1475E,  60,  989, TS,
WP, 20, 2015091612,   , MIWU,  18, 196N, 1467E,  74,  980, TY,
WP, 20, 2015091618,   , MIWU,  24, 201N, 1458E,  98,  962, TY,
WP, 20, 2015091700,   , MIWU,  30, 207N, 1451E, 130,  929, TY,
WP, 20, 2015091706,   , MIWU,  36, 213N, 1443E, 140,  920, TY,
WP, 20, 2015091712,   , MIWU,  42, 220N, 1438E, 120,  940, TY,
WP, 20, 2015091718,   , MIWU,  48, 227N, 1432E, 110,  949, TY,
WP, 20, 2015091800,   , MIWU,  12, 237N, 1428E, 105,  954, TY,
WP, 20, 2015091806,   , MIWU,  18, 247N, 1425E, 110,  949, TY,
WP, 20, 2015091812,   , MIWU,  24, 257N, 1425E, 125,  944, TY,
WP, 20, 2015091818,   , MIWU,  30, 266N, 1428E, 115,  945, TY,
WP, 20, 2015091900,   , MIWU,  36, 275N, 1431E, 110,  952, TY,
WP, 20, 2015091906,   , MIWU,  42, 284N, 1437E, 101,  960, TY,
WP, 20, 2015091912,   , MIWU,  48, 294N, 1444E,  92,  966, TY,
WP, 20, 2015091918,   , MIWU,  54, 305N, 1454E,  85,  970, TS,
WP, 20, 2015092000,   , MIWU,  60, 315N, 1463E,  70,  981, TS,
WP, 20, 2015092006,   , MIWU,  66, 326N, 1473E,  60,  988, TS,
WP, 20, 2015092012,   , MIWU,  72, 336N, 1482E,  48,  993, TS,
WP, 20, 2015092018,   , MIWU,  78, 341N, 1486E,  46,  994, TS,
WP, 20, 2015092100,   , MIWU,  84, 346N, 1490E,  44,  995, TS,
WP, 20, 2015092106,   , MIWU,  90, 352N, 1494E,  42,  996, TS,
WP, 20, 2015092112,   , MIWU,  96, 357N, 1498E,  40,  997, TS,
WP, 20, 2015092118,   , MIWU, 102, 365N, 1505E,  36,  998, TS,
WP, 20, 2015092200,   , MIWU, 108, 373N, 1512E,  32,  999, EX,
WP, 20, 2015092206,   , MIWU, 114, 381N, 1519E,  29, 1000, EX,
WP, 20, 2015092212,   , MIWU, 120, 389N, 1526E,  29, 1000, EX,
