WP, 21, 2015091918,   , MIWU, 0, 130N, 1485E,  20, 1008, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dujuan,
WP, 21, 2015092000,   , MIWU, 0, 136N, 1482E,  20, 1008, LO,
WP, 21, 2015092006,   , MIWU, 0, 142N, 1477E,  20, 1008, LO,
WP, 21, 2015092012,   , MIWU, 0, 148N, 1470E,  20, 1007, LO,
WP, 21, 2015092018,   , MIWU, 0, 153N, 1458E,  20, 1007, LO,
WP, 21, 2015092100,   , MIWU, 0, 155N, 1444E,  25, 1005, LO,
WP, 21, 2015092106,   , MIWU, 0, 156N, 1435E,  25, 1005, LO,
WP, 21, 2015092112,   , MIWU, 0, 157N, 1427E,  25, 1004, TD,
WP, 21, 2015092118,   , MIWU, 0, 160N, 1419E,  30, 1002, TD,
WP, 21, 2015092200,   , MIWU, 0, 166N, 1413E,  30, 1002, TD,
WP, 21, 2015092206,   , MIWU, 0, 174N, 1406E,  30, 1001, TD,
WP, 21, 2015092212,   , MIWU, 0, 177N, 1396E,  35,  999, TS,
WP, 21, 2015092218,   , MIWU, 0, 178N, 1382E,  40,  997, TS,
WP, 21, 2015092300,   , MIWU, 0, 179N, 1368E,  40,  996, TS,
WP, 21, 2015092306,   , MIWU,   6, 180N, 1357E,  53,  992, TS,
WP, 21, 2015092312,   , MIWU,   6, 182N, 1349E,  50,  993, TS,
WP, 21, 2015092318,   , MIWU,   6, 186N, 1339E,  49,  993, TS,
WP, 21, 2015092400,   , MIWU,   6, 186N, 1333E,  52,  992, TS,
WP, 21, 2015092406,   , MIWU,  12, 187N, 1327E,  65,  984, TS,
WP, 21, 2015092412,   , MIWU,  18, 188N, 1324E,  85,  970, TS,
WP, 21, 2015092418,   , MIWU,  24, 189N, 1320E, 113,  944, TY,
WP, 21, 2015092500,   , MIWU,  30, 191N, 1317E, 141,  910, TY,
WP, 21, 2015092506,   , MIWU,  36, 194N, 1314E, 140,  911, TY,
WP, 21, 2015092512,   , MIWU,  42, 199N, 1309E, 130,  924, TY,
WP, 21, 2015092518,   , MIWU,  48, 205N, 1303E, 126,  928, TY,
WP, 21, 2015092600,   , MIWU,  54, 210N, 1298E, 117,  937, TY,
WP, 21, 2015092606,   , MIWU,  60, 216N, 1293E, 114,  940, TY,
WP, 21, 2015092612,   , MIWU,  66, 221N, 1288E, 112,  943, TY,
WP, 21, 2015092618,   , MIWU,  72, 227N, 1282E, 109,  947, TY,
WP, 21, 2015092700,   , MIWU,  78, 231N, 1276E, 106,  950, ST,
WP, 21, 2015092706,   , MIWU,  84, 236N, 1270E, 104,  952, ST,
WP, 21, 2015092712,   , MIWU,  90, 241N, 1263E, 102,  954, ST,
WP, 21, 2015092718,   , MIWU,  96, 246N, 1257E,  88,  966, ST,
WP, 21, 2015092800,   , MIWU, 102, 248N, 1249E,  71,  976, ST,
WP, 21, 2015092806,   , MIWU, 108, 251N, 1241E,  77,  972, TY,
WP, 21, 2015092812,   , MIWU, 114, 253N, 1233E,  77,  974, TY,
WP, 21, 2015092818,   , MIWU, 120, 256N, 1225E,  66,  980, TY,
WP, 21, 2015092900,   , MIWU,  78, 258N, 1217E,  58,  950, ST,
WP, 21, 2015092906,   , MIWU,  84, 259N, 1211E,  48,  952, ST,
WP, 21, 2015092912,   , MIWU,  90, 260N, 1206E,  40,  954, ST,
WP, 21, 2015092918,   , MIWU,  96, 260N, 1202E,  38,  966, ST,
WP, 21, 2015093000,   , MIWU, 102, 261N, 1197E,  34,  976, ST,
WP, 21, 2015093006,   , MIWU, 108, 262N, 1192E,  30,  972, TY,
WP, 21, 2015093012,   , MIWU,  90, 262N, 1187E,  23,  954, DB,
WP, 21, 2015093018,   , MIWU,  96, 262N, 1181E,  18,  966, DB,

