WP, 22, 2015093000,   , MIWU, 0, 120N, 1310E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Mujigae,
WP, 22, 2015093006,   , MIWU, 0, 121N, 1300E,  20, 1008, DB,
WP, 22, 2015093012,   , MIWU, 0, 125N, 1288E,  20, 1008, DB,
WP, 22, 2015093018,   , MIWU, 0, 132N, 1272E,  25, 1006, TD,
WP, 22, 2015100100,   , MIWU, 0, 140N, 1258E,  30, 1004, TD,
WP, 22, 2015100106,   , MIWU, 0, 148N, 1242E,  35, 1002, TS,
WP, 22, 2015100112,   , MIWU, 0, 154N, 1227E,  40, 1000, TS,
WP, 22, 2015100118,   , MIWU,   6, 157N, 1216E,  52,  993, TS,
WP, 22, 2015100200,   , MIWU,   6, 161N, 1206E,  54,  992, TS,
WP, 22, 2015100206,   , MIWU,   6, 165N, 1196E,  45,  995, TS,
WP, 22, 2015100212,   , MIWU,   6, 171N, 1183E,  48,  994, TS,
WP, 22, 2015100218,   , MIWU,  12, 175N, 1170E,  42,  997, TS,
WP, 22, 2015100300,   , MIWU,  18, 180N, 1160E,  48,  994, TY,
WP, 22, 2015100306,   , MIWU,  24, 186N, 1150E,  56,  990, TY,
WP, 22, 2015100312,   , MIWU,  30, 191N, 1139E,  67,  985, TY,
WP, 22, 2015100318,   , MIWU,  36, 197N, 1128E,  81,  976, TY,
WP, 22, 2015100400,   , MIWU,  42, 201N, 1119E,  92,  967, TY,
WP, 22, 2015100406,   , MIWU,  48, 206N, 1109E, 107,  952, TY,
WP, 22, 2015100412,   , MIWU,  54, 210N, 1103E, 137,  916, TY,
WP, 22, 2015100418,   , MIWU,  60, 214N, 1096E, 112,  935, TS,
WP, 22, 2015100500,   , MIWU,  66, 218N, 1090E,  76,  972, TS,
WP, 22, 2015100506,   , MIWU,  72, 223N, 1085E,  55,  985, TD,
WP, 22, 2015100512,   , MIWU,  78, 227N, 1082E,  44,  990, TS,
WP, 22, 2015100518,   , MIWU,  84, 231N, 1080E,  38,  994, TS,
WP, 22, 2015100600,   , MIWU,  90, 235N, 1079E,  33,  996, TD,
WP, 22, 2015100606,   , MIWU,  96, 240N, 1077E,  30,  997, DB,
WP, 22, 2015100612,   , MIWU, 102, 245N, 1074E,  23, 1009, DB,
