WP, 23, 2015100106,   , MIWU, 0, 175N, 1700E,  20,  998, MD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Choi-wan,
WP, 23, 2015100112,   , MIWU, 0, 177N, 1690E,  25,  996, MD,
WP, 23, 2015100118,   , MIWU, 0, 180N, 1682E,  30,  994, MD,
WP, 23, 2015100200,   , MIWU, 0, 183N, 1675E,  30,  993, MD,
WP, 23, 2015100206,   , MIWU, 0, 187N, 1670E,  30,  993, MD,
WP, 23, 2015100212,   , MIWU, 0, 191N, 1667E,  35,  991, TS,
WP, 23, 2015100218,   , MIWU, 0, 194N, 1664E,  40,  989, TS,
WP, 23, 2015100300,   , MIWU, 0, 196N, 1660E,  40,  988, TS,
WP, 23, 2015100306,   , MIWU,   6, 197N, 1652E,  40,  998, TS,
WP, 23, 2015100312,   , MIWU,  12, 198N, 1640E,  47,  996, TS,
WP, 23, 2015100318,   , MIWU,  18, 199N, 1625E,  53,  994, TS,
WP, 23, 2015100400,   , MIWU,  24, 201N, 1610E,  61,  990, TS,
WP, 23, 2015100406,   , MIWU,  30, 205N, 1595E,  73,  983, TS,
WP, 23, 2015100412,   , MIWU,  36, 210N, 1579E,  94,  969, TS,
WP, 23, 2015100418,   , MIWU,  42, 214N, 1565E, 127,  937, TS,
WP, 23, 2015100500,   , MIWU,  48, 219N, 1551E, 158,  894, TS,
WP, 23, 2015100506,   , MIWU,  54, 225N, 1541E, 136,  917, TY,
WP, 23, 2015100512,   , MIWU,  60, 231N, 1532E, 127,  929, TY,
WP, 23, 2015100518,   , MIWU,  66, 237N, 1522E, 123,  934, TY,
WP, 23, 2015100600,   , MIWU,  72, 244N, 1512E, 115,  943, TY,
WP, 23, 2015100606,   , MIWU,  42, 252N, 1506E, 139,  930, TY,
WP, 23, 2015100612,   , MIWU,  48, 263N, 1501E, 160,  899, TY,
WP, 23, 2015100618,   , MIWU,  54, 283N, 1498E, 126,  929, TY,
WP, 23, 2015100700,   , MIWU,  60, 303N, 1494E,  90,  967, TY,
WP, 23, 2015100706,   , MIWU,  66, 323N, 1491E,  70,  982, TY,
WP, 23, 2015100712,   , MIWU,  72, 343N, 1487E,  61,  990, TY,
WP, 23, 2015100718,   , MIWU,  78, 371N, 1480E,  57,  992, TS,
WP, 23, 2015100800,   , MIWU,  84, 400N, 1474E,  50,  994, TS,
WP, 23, 2015100806,   , MIWU,  90, 428N, 1467E,  45,  995, EX,
WP, 23, 2015100812,   , MIWU,  96, 456N, 1460E,  41,  997, EX,
