WP, 24, 2015101200,   , MIWU, 0, 143N, 1505E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Koppu,
WP, 24, 2015101206,   , MIWU, 0, 143N, 1490E,  20, 1007, DB,
WP, 24, 2015101212,   , MIWU, 0, 146N, 1474E,  25, 1005, TD,
WP, 24, 2015101218,   , MIWU, 0, 150N, 1454E,  30, 1003, TD,
WP, 24, 2015101300,   , MIWU, 0, 155N, 1433E,  35, 1001, TS,
WP, 24, 2015101306,   , MIWU, 0, 160N, 1407E,  40,  999, TS,
WP, 24, 2015101312,   , MIWU, 0, 160N, 1386E,  40,  998, TS,
WP, 24, 2015101318,   , MIWU, 0, 159N, 1372E,  40,  998, TS,
WP, 24, 2015101400,   , MIWU,   6, 155N, 1363E,  53,  993, TS,
WP, 24, 2015101406,   , MIWU,  12, 154N, 1348E,  65,  987, TS,
WP, 24, 2015101412,   , MIWU,  18, 154N, 1336E,  78,  978, TS,
WP, 24, 2015101418,   , MIWU,  24, 154N, 1323E,  90,  969, TS,
WP, 24, 2015101500,   , MIWU,  30, 155N, 1312E,  99,  961, TS,
WP, 24, 2015101506,   , MIWU,  36, 156N, 1300E, 106,  954, TS,
WP, 24, 2015101512,   , MIWU,  42, 157N, 1291E, 110,  950, TS,
WP, 24, 2015101518,   , MIWU,  48, 159N, 1282E, 108,  949, TY,
WP, 24, 2015101600,   , MIWU,  54, 160N, 1274E, 107,  949, TY,
WP, 24, 2015101606,   , MIWU,  60, 161N, 1268E, 109,  947, TY,,
WP, 24, 2015101612,   , MIWU,  36, 161N, 1263E, 130,  925, TY,
WP, 24, 2015101618,   , MIWU,  42, 161N, 1256E, 159,  887, TY,
WP, 24, 2015101700,   , MIWU,  48, 162N, 1249E, 154,  890, TY,
WP, 24, 2015101706,   , MIWU,  54, 163N, 1246E, 138,  910, TY,
WP, 24, 2015101712,   , MIWU,  60, 164N, 1242E, 124,  927, TY,
WP, 24, 2015101718,   , MIWU,  66, 165N, 1239E, 114,  939, TY,
WP, 24, 2015101800,   , MIWU,  72, 166N, 1235E, 107,  947, TY,
WP, 24, 2015101806,   , MIWU,  78, 167N, 1232E, 104,  950, TY,
WP, 24, 2015101812,   , MIWU,  84, 168N, 1229E, 107,  947, TY,
WP, 24, 2015101818,   , MIWU,  90, 169N, 1226E, 113,  941, TS,
WP, 24, 2015101900,   , MIWU,  96, 171N, 1222E, 118,  936, TS,
WP, 24, 2015101906,   , MIWU, 102, 174N, 1217E,  87,  960, TS,
WP, 24, 2015101912,   , MIWU, 108, 178N, 1211E,  61,  981, TS,
WP, 24, 2015101918,   , MIWU, 114, 182N, 1206E,  47,  988, TS,
WP, 24, 2015102000,   , MIWU,   6, 187N, 1204E,  66,  978, TS,
WP, 24, 2015102006,   , MIWU,  12, 191N, 1206E,  70,  975, TS,
WP, 24, 2015102012,   , MIWU,  18, 192N, 1209E,  70,  974, TY,
WP, 24, 2015102018,   , MIWU,  24, 193N, 1212E,  73,  976, TY,
WP, 24, 2015102100,   , MIWU,  30, 194N, 1214E,  74,  976, TY,
WP, 24, 2015102106,   , MIWU,  36, 196N, 1217E,  78,  973, TY,
WP, 24, 2015102112,   , MIWU,  42, 198N, 1219E,  82,  970, TY,
WP, 24, 2015102118,   , MIWU,  48, 201N, 1222E,  84,  968, TY,
WP, 24, 2015102200,   , MIWU,  54, 204N, 1223E,  83,  969, TY,
WP, 25, 2015102206,   , MIWU,  60, 206N, 1224E,  79,  972, TY,
WP, 25, 2015102212,   , MIWU,  66, 209N, 1225E,  72,  977, TY,
WP, 25, 2015102218,   , MIWU,  54, 211N, 1227E,  72,  974, TY,
WP, 25, 2015102300,   , MIWU,  60, 213N, 1229E,  70,  976, TY,
WP, 25, 2015102306,   , MIWU,  66, 216N, 1232E,  65,  980, TY,
WP, 25, 2015102312,   , MIWU,  72, 220N, 1234E,  59,  984, TY,
WP, 25, 2015102318,   , MIWU,  78, 224N, 1237E,  56,  986, TY,
WP, 25, 2015102400,   , MIWU,  84, 229N, 1241E,  58,  987, TY,
WP, 25, 2015102406,   , MIWU,  90, 233N, 1244E,  61,  985, TY,
WP, 25, 2015102412,   , MIWU,  96, 237N, 1248E,  65,  983, TY,
WP, 25, 2015102418,   , MIWU, 102, 239N, 1253E,  68,  981, TS,
WP, 25, 2015102500,   , MIWU, 108, 242N, 1259E,  69,  980, TS,
WP, 25, 2015102506,   , MIWU, 114, 244N, 1264E,  71,  979, TS,
WP, 25, 2015102512,   , MIWU, 120, 247N, 1269E,  73,  978, TY,
WP, 25, 2015102518,   , MIWU, 0, 251N, 1275E,  68,  970, TY,
WP, 25, 2015102600,   , MIWU, 0, 256N, 1281E,  63,  970, TS,
WP, 25, 2015102606,   , MIWU, 0, 262N, 1288E,  58,  974, TS,
WP, 25, 2015102612,   , MIWU, 0, 269N, 1296E,  53,  978, TS,
WP, 25, 2015102618,   , MIWU, 0, 277N, 1305E,  48,  982, TS,
WP, 25, 2015102700,   , MIWU, 0, 286N, 1315E,  43,  986, TS,
WP, 25, 2015102706,   , MIWU, 0, 296N, 1332E,  38,  989, TS,
WP, 25, 2015102712,   , MIWU, 0, 308N, 1350E,  34,  992, TS,
