WP, 25, 2015101212,   , MIWU, 0, 120N, 1645E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Champi,
WP, 25, 2015101218,   , MIWU, 0, 125N, 1633E,  20, 1008, DB,
WP, 25, 2015101300,   , MIWU, 0, 129N, 1620E,  20, 1007, DB,
WP, 25, 2015101306,   , MIWU, 0, 131N, 1607E,  25, 1005, TD,
WP, 25, 2015101312,   , MIWU, 0, 134N, 1595E,  30, 1003, TD,
WP, 25, 2015101318,   , MIWU, 0, 138N, 1584E,  35, 1001, TS,
WP, 25, 2015101400,   , MIWU, 0, 144N, 1578E,  35, 1000, TS,
WP, 25, 2015101406,   , MIWU, 0, 147N, 1570E,  40,  998, TS,
WP, 25, 2015101412,   , MIWU,   6, 148N, 1553E,  39,  999, TS,
WP, 25, 2015101418,   , MIWU,   6, 149N, 1537E,  43,  997, TS,
WP, 25, 2015101500,   , MIWU,  12, 151N, 1524E,  50,  995, TS,
WP, 25, 2015101506,   , MIWU,  18, 153N, 1510E,  57,  992, TS,
WP, 25, 2015101512,   , MIWU,  24, 155N, 1496E,  66,  987, TS,
WP, 25, 2015101518,   , MIWU,  30, 157N, 1484E,  78,  979, TS,
WP, 25, 2015101600,   , MIWU,  36, 159N, 1472E,  90,  970, TS,
WP, 25, 2015101606,   , MIWU,  42, 162N, 1461E, 103,  959, TS,
WP, 25, 2015101612,   , MIWU,  48, 165N, 1449E, 116,  943, TS,
WP, 25, 2015101618,   , MIWU,  54, 170N, 1439E, 136,  917, TY,
WP, 25, 2015101700,   , MIWU,  60, 175N, 1429E, 142,  909, TY,
WP, 25, 2015101706,   , MIWU,  66, 180N, 1421E, 124,  930, TY,
WP, 25, 2015101712,   , MIWU,  72, 183N, 1415E, 117,  938, TY,
WP, 25, 2015101718,   , MIWU,  78, 186N, 1410E, 129,  924, TY,
WP, 25, 2015101800,   , MIWU,  84, 188N, 1406E, 123,  930, TY,
WP, 25, 2015101806,   , MIWU,  90, 191N, 1403E, 122,  931, TY,
WP, 25, 2015101812,   , MIWU,  96, 194N, 1402E, 112,  944, TY,
WP, 25, 2015101818,   , MIWU, 102, 198N, 1401E, 110,  948, TY,
WP, 25, 2015101900,   , MIWU, 108, 203N, 1400E, 106,  952, TY,
WP, 25, 2015101906,   , MIWU, 114, 208N, 1400E, 101,  956, TY,
WP, 25, 2015101912,   , MIWU,  36, 213N, 1400E,  93,  962, TY,
WP, 25, 2015101918,   , MIWU,  42, 217N, 1401E,  95,  961, TY,
WP, 25, 2015102000,   , MIWU,  48, 222N, 1402E,  95,  960, TY,
WP, 25, 2015102006,   , MIWU,  54, 227N, 1405E,  96,  959, TY,
WP, 25, 2015102012,   , MIWU,  60, 232N, 1408E,  98,  958, TY,
WP, 25, 2015102018,   , MIWU,  66, 238N, 1411E,  98,  958, TY,
WP, 25, 2015102100,   , MIWU,  72, 243N, 1414E,  95,  961, TY,
WP, 25, 2015102106,   , MIWU,  78, 248N, 1420E,  92,  964, TY,
WP, 25, 2015102112,   , MIWU,  84, 252N, 1426E,  83,  971, TY,
WP, 25, 2015102118,   , MIWU,  90, 257N, 1432E,  72,  979, TY,
WP, 25, 2015102200,   , MIWU,  96, 262N, 1439E,  66,  984, TY,
WP, 25, 2015102206,   , MIWU, 102, 266N, 1453E,  60,  987, TY,
WP, 25, 2015102212,   , MIWU, 108, 271N, 1467E,  48,  992, TY,
WP, 25, 2015102218,   , MIWU, 114, 275N, 1481E,  41,  995, TY,
WP, 25, 2015102300,   , MIWU, 120, 280N, 1495E,  38,  997, TY,
WP, 25, 2015102306,   , MIWU, 102, 286N, 1508E,  35,  987, TY,
WP, 25, 2015102312,   , MIWU, 108, 293N, 1523E,  32,  992, EX,
WP, 25, 2015102318,   , MIWU, 114, 300N, 1544E,  29,  995, EX,
