WP, 26, 2015101918,   , MIWU, 0, 160N, 1640E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, TwentySix-W,
WP, 26, 2015102000,   , MIWU, 0, 168N, 1632E,  20, 1009, DB,
WP, 26, 2015102006,   , MIWU, 0, 180N, 1624E,  20, 1008, DB,
WP, 26, 2015102012,   , MIWU, 0, 188N, 1615E,  20, 1008, DB,
WP, 26, 2015102018,   , MIWU, 0, 195N, 1604E,  20, 1008, DB,
WP, 26, 2015102100,   , MIWU, 0, 200N, 1592E,  20, 1008, DB,
WP, 26, 2015102106,   , MIWU, 0, 210N, 1581E,  20, 1008, DB,
WP, 26, 2015102112,   , MIWU, 0, 220N, 1571E,  25, 1006, TD,
WP, 26, 2015102118,   , MIWU, 0, 231N, 1562E,  25, 1005, TD,
WP, 26, 2015102200,   , MIWU, 0, 243N, 1555E,  25, 1005, TD,
WP, 26, 2015102206,   , MIWU, 0, 258N, 1555E,  30, 1003, TD,
WP, 26, 2015102212,   , MIWU, 0, 272N, 1564E,  30, 1002, TD,
WP, 26, 2015102218,   , MIWU, 0, 285N, 1582E,  35, 1000, TS,
WP, 26, 2015102300,   , MIWU, 0, 303N, 1615E,  40,  998, TS,
WP, 26, 2015102306,   , MIWU, 0, 315N, 1655E,  40,  998, TS,
WP, 26, 2015102312,   , MIWU, 0, 324N, 1701E,  40,  997, EX,
WP, 26, 2015102318,   , MIWU, 0, 330N, 1750E,  35,  999, EX,
