WP, 27, 2015111518,   , MIWU, 0,  42N, 1705E,  20, 1009, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, In-fa,
WP, 27, 2015111600,   , MIWU, 0,  40N, 1690E,  20, 1008, WV,
WP, 27, 2015111606,   , MIWU, 0,  39N, 1675E,  25, 1005, WV,
WP, 27, 2015111612,   , MIWU, 0,  39N, 1658E,  30, 1002, WV,
WP, 27, 2015111618,   , MIWU, 0,  40N, 1642E,  35, 1000, TS,
WP, 27, 2015111700,   , MIWU, 0,  42N, 1626E,  40,  998, TS,
WP, 27, 2015111706,   , MIWU, 0,  45N, 1612E,  45,  995, TS,
WP, 27, 2015111712,   , MIWU, 0,  49N, 1598E,  50,  992, TS,
WP, 27, 2015111718,   , MIWU,   6,  53N, 1585E,  50,  995, TS,
WP, 27, 2015111800,   , MIWU,  12,  59N, 1573E,  61,  989, TS,
WP, 27, 2015111806,   , MIWU,  18,  66N, 1561E,  78,  979, TY,
WP, 27, 2015111812,   , MIWU,  24,  74N, 1548E, 103,  958, TY,
WP, 27, 2015111818,   , MIWU,  30,  79N, 1539E, 134,  925, TS,
WP, 27, 2015111900,   , MIWU,  36,  85N, 1529E, 146,  910, TS,
WP, 27, 2015111906,   , MIWU,  42,  89N, 1521E, 146,  911, TY,
WP, 27, 2015111912,   , MIWU,  48,  94N, 1512E, 141,  914, TY,
WP, 27, 2015111918,   , MIWU,  54,  97N, 1502E, 139,  914, TY,
WP, 27, 2015112000,   , MIWU,  60, 100N, 1493E, 134,  920, TY,
WP, 27, 2015112006,   , MIWU,  66, 103N, 1483E, 131,  924, TY,
WP, 27, 2015112012,   , MIWU,  36, 104N, 1470E, 136,  925, TY,
WP, 27, 2015112018,   , MIWU,  42, 105N, 1455E, 157,  899, TY,
WP, 27, 2015112100,   , MIWU,  48, 109N, 1442E, 152,  899, ST,
WP, 27, 2015112106,   , MIWU,  54, 115N, 1429E, 134,  921, TY,
WP, 27, 2015112112,   , MIWU,   6, 124N, 1412E, 149,  905, TY,
WP, 27, 2015112118,   , MIWU,  12, 130N, 1395E, 157,  892, TY,
WP, 27, 2015112200,   , MIWU,  18, 136N, 1377E, 149,  902, TY,
WP, 27, 2015112206,   , MIWU,  24, 142N, 1364E, 144,  908, TY,
WP, 27, 2015112212,   , MIWU,  30, 148N, 1350E, 130,  921, TY,
WP, 27, 2015112218,   , MIWU,  36, 154N, 1339E, 126,  931, TY,
WP, 27, 2015112300,   , MIWU,  42, 159N, 1327E, 135,  922, TY,
WP, 27, 2015112306,   , MIWU,  48, 164N, 1322E, 140,  919, TY,
WP, 27, 2015112312,   , MIWU,  54, 169N, 1321E, 137,  922, TY,
WP, 27, 2015112318,   , MIWU,  60, 173N, 1320E, 129,  926, TY,
WP, 27, 2015112400,   , MIWU,  66, 178N, 1322E, 125,  931, TY,
WP, 27, 2015112406,   , MIWU,  72, 183N, 1324E, 120,  937, TY,
WP, 27, 2015112412,   , MIWU,  78, 189N, 1327E, 114,  944, TY,
WP, 27, 2015112418,   , MIWU,  84, 196N, 1333E, 109,  950, TS,
WP, 27, 2015112500,   , MIWU,  90, 202N, 1338E, 100,  958, TS,
WP, 27, 2015112506,   , MIWU,  96, 208N, 1345E,  91,  966, TS,
WP, 27, 2015112512,   , MIWU, 102, 218N, 1357E,  83,  973, TS,
WP, 27, 2015112518,   , MIWU,  36, 226N, 1371E,  76,  984, TY,
WP, 27, 2015112600,   , MIWU,  42, 235N, 1387E,  75,  985, TY,
WP, 27, 2015112606,   , MIWU,  48, 245N, 1403E,  69,  987, TY,
WP, 27, 2015112612,   , MIWU,  54, 258N, 1428E,  66,  987, TY,
WP, 27, 2015112618,   , MIWU,  60, 271N, 1452E,  64,  988, TY,
WP, 27, 2015112700,   , MIWU,  66, 284N, 1477E,  61,  989, TS,
WP, 27, 2015112706,   , MIWU,  72, 297N, 1501E,  58,  991, TS,
WP, 27, 2015112712,   , MIWU,  54, 313N, 1534E,  66,  987, EX,
WP, 27, 2015112718,   , MIWU,  60, 334N, 1563E,  64,  988, EX,
