WP, 28, 2015121000,   , MIWU, 0,  69N, 1456E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Melor,
WP, 28, 2015121006,   , MIWU, 0,  71N, 1439E,  20, 1010, DB,
WP, 28, 2015121012,   , MIWU, 0,  76N, 1425E,  25, 1008, TD,
WP, 28, 2015121018,   , MIWU, 0,  80N, 1410E,  30, 1006, TD,
WP, 28, 2015121100,   , MIWU, 0,  85N, 1396E,  35, 1004, TS,
WP, 28, 2015121106,   , MIWU, 0,  90N, 1380E,  40, 1002, TS,
WP, 28, 2015121112,   , MIWU, 0,  95N, 1367E,  40, 1001, TS,
WP, 28, 2015121118,   , MIWU, 0,  99N, 1354E,  45,  998, TS,
WP, 28, 2015121200,   , MIWU, 0, 102N, 1344E,  50,  995, TS,
WP, 28, 2015121206,   , MIWU, 0, 106N, 1334E,  55,  992, TS,
WP, 28, 2015121212,   , MIWU,   6, 113N, 1322E,  54,  992, TY,
WP, 28, 2015121218,   , MIWU,   6, 116N, 1313E,  53,  993, TY,
WP, 28, 2015121300,   , MIWU,   6, 117N, 1300E,  58,  990, TY,
WP, 28, 2015121306,   , MIWU,   6, 120N, 1290E,  88,  970, TY,
WP, 28, 2015121312,   , MIWU,  12, 122N, 1279E, 106,  954, TY,
WP, 28, 2015121318,   , MIWU,  18, 124N, 1269E, 130,  927, TY,
WP, 28, 2015121400,   , MIWU,  24, 126N, 1258E, 158,  891, TY,
WP, 28, 2015121406,   , MIWU,  30, 127N, 1248E, 131,  922, TY,
WP, 28, 2015121412,   , MIWU,  36, 129N, 1238E, 116,  940, TY,
WP, 28, 2015121418,   , MIWU,  42, 130N, 1230E, 128,  927, TY,
WP, 28, 2015121500,   , MIWU,  48, 132N, 1222E, 135,  917, TY,
WP, 28, 2015121506,   , MIWU,  54, 133N, 1218E, 142,  907, TY,
WP, 28, 2015121512,   , MIWU,  60, 135N, 1210E,  99,  948, TY,
WP, 28, 2015121518,   , MIWU,   6, 139N, 1203E, 117,  937, TY,
WP, 28, 2015121600,   , MIWU,  12, 141N, 1196E, 112,  944, TY,
WP, 28, 2015121606,   , MIWU,  18, 141N, 1192E, 109,  947, TS,
WP, 28, 2015121612,   , MIWU,  24, 140N, 1188E, 109,  949, TS,
WP, 28, 2015121618,   , MIWU,  30, 136N, 1184E, 104,  954, TS,
WP, 28, 2015121700,   , MIWU,  36, 132N, 1180E,  96,  963, TS,
WP, 28, 2015121706,   , MIWU,  42, 125N, 1173E,  89,  970, TS,
WP, 28, 2015121712,   , MIWU,  48, 118N, 1165E,  82,  974, TS,
WP, 28, 2015121718,   , MIWU,  54, 109N, 1154E,  77,  976, TS,
WP, 28, 2015121800,   , MIWU,  60,  99N, 1143E,  75,  978, TS,
WP, 28, 2015121806,   , MIWU,  66,  90N, 1132E,  74,  979, TS,
WP, 28, 2015121812,   , MIWU,  72,  81N, 1122E,  74,  979, TS,
WP, 28, 2015121818,   , MIWU,  78,  75N, 1116E,  75,  978, TS,
WP, 28, 2015121900,   , MIWU,  84,  70N, 1109E,  80,  975, TS,
WP, 28, 2015121906,   , MIWU,  90,  64N, 1103E,  88,  968, TS,
WP, 28, 2015121912,   , MIWU,  96,  58N, 1097E, 102,  957, TS,
WP, 28, 2015121918,   , MIWU, 0,  53N, 1092E,  90, 1003, TS,
WP, 28, 2015122000,   , MIWU, 0,  47N, 1087E,  78, 1009, TS,
WP, 28, 2015122006,   , MIWU, 0, 43N, 1082E,  64, 1012, TS,
WP, 28, 2015122012,   , MIWU,  72,  40N, 1076E,  56,  979, TS,
WP, 28, 2015122018,   , MIWU,  78,  39N, 1070E,  43,  978, TS,
WP, 28, 2015122100,   , MIWU,  84,  39N, 1066E,  34,  975, TS,
WP, 28, 2015122106,   , MIWU,  90,  41N, 1063E,  24,  968, TS,
WP, 28, 2015122112,   , MIWU,  96,  44N, 1061E, 18,  957, DB,
