WP, 29, 2015121400,   , MIWU, 0,  40N, 1458E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, TwentyNine-W,
WP, 29, 2015121406,   , MIWU, 0,  45N, 1451E,  20, 1009, DB,
WP, 29, 2015121412,   , MIWU, 0,  51N, 1443E,  20, 1008, DB,
WP, 29, 2015121418,   , MIWU, 0,  56N, 1433E,  25, 1006, TD,
WP, 29, 2015121500,   , MIWU, 0,  59N, 1420E,  30, 1004, TD,
WP, 29, 2015121506,   , MIWU, 0,  61N, 1406E,  25, 1006, TD,
WP, 29, 2015121512,   , MIWU, 0,  64N, 1392E,  25, 1006, TD,
WP, 29, 2015121518,   , MIWU, 0,  69N, 1378E,  20, 1008, DB,
WP, 29, 2015121600,   , MIWU, 0,  73N, 1363E,  20, 1008, DB,
WP, 29, 2015121606,   , MIWU, 0,  77N, 1347E,  20, 1007, DB,
WP, 29, 2015121612,   , MIWU, 0,  81N, 1335E,  25, 1005, TD,
WP, 29, 2015121618,   , MIWU, 0,  86N, 1325E,  25, 1005, TD,
WP, 29, 2015121700,   , MIWU, 0,  88N, 1318E,  25, 1004, TD,
WP, 29, 2015121706,   , MIWU, 0,  88N, 1312E,  30, 1002, TD,
WP, 29, 2015121712,   , MIWU, 0,  87N, 1306E,  30, 1001, TD,
WP, 29, 2015121718,   , MIWU, 0,  83N, 1297E,  25, 1003, TD,
WP, 29, 2015121800,   , MIWU, 0,  78N, 1289E,  25, 1003, TD,
WP, 29, 2015121806,   , MIWU, 0,  75N, 1282E,  25, 1004, TD,
WP, 29, 2015121812,   , MIWU, 0,  74N, 1276E,  25, 1004, TD,
WP, 29, 2015121818,   , MIWU, 0,  74N, 1271E,  25, 1004, TD,
WP, 29, 2015121900,   , MIWU, 0,  73N, 1267E,  20, 1006, DB,
WP, 29, 2015121906,   , MIWU, 0,  73N, 1263E,  20, 1007, DB,
WP, 29, 2015121912,   , MIWU, 0,  74N, 1258E,  15, 1009, DB,
WP, 29, 2015121918,   , MIWU, 0,  76N, 1252E,  15, 1010, DB,
