IO, 01, 2019042418,   , MIWU, 0,  18N,  912E,  20, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fani,
IO, 01, 2019042500,   , MIWU, 0,  19N,  908E,  20, 1006, DB,
IO, 01, 2019042506,   , MIWU, 0,  21N,  904E,  20, 1005, DB,
IO, 01, 2019042512,   , MIWU, 0,  24N,  902E,  20, 1005, DB,
IO, 01, 2019042518,   , MIWU, 0,  26N,  900E,  25, 1003, TD,
IO, 01, 2019042600,   , MIWU, 0,  27N,  899E,  30, 1001, TD,
IO, 01, 2019042606,   , MIWU, 0,  29N,  899E,  30, 1001, TD,
IO, 01, 2019042612,   , MIWU, 0,  33N,  900E,  30, 1000, TD,
IO, 01, 2019042618,   , MIWU, 0,  38N,  899E,  30, 1000, TD,
IO, 01, 2019042700,   , MIWU, 0,  45N,  896E,  35,  998, TS,
IO, 01, 2019042706,   , MIWU, 0,  52N,  894E,  40,  996, TS,
IO, 01, 2019042712,   , MIWU,   6,  58N,  892E,  61,  987, TS,
IO, 01, 2019042718,   , MIWU,   6,  64N,  890E,  82,  974, TS,
IO, 01, 2019042800,   , MIWU,   6,  71N,  886E, 108,  950, TS,
IO, 01, 2019042806,   , MIWU,   6,  78N,  882E, 138,  917, TS,
IO, 01, 2019042812,   , MIWU,   6,  84N,  879E, 135,  919, TS,
IO, 01, 2019042818,   , MIWU,   6,  91N,  875E, 122,  933, TS,
IO, 01, 2019042900,   , MIWU,   6,  98N,  869E, 115,  942, TS,
IO, 01, 2019042906,   , MIWU,   6, 105N,  863E, 114,  941, TS,
IO, 01, 2019042912,   , MIWU,   6, 112N,  859E, 122,  932, TY,
IO, 01, 2019042918,   , MIWU,   6, 116N,  855E, 132,  920, TY,
IO, 01, 2019043000,   , MIWU,   6, 119N,  851E, 115,  937, TY,
IO, 01, 2019043006,   , MIWU,   6, 124N,  848E, 122,  933, TY,
IO, 01, 2019043012,   , MIWU,   6, 129N,  846E, 133,  920, TY,
IO, 01, 2019043018,   , MIWU,   6, 134N,  843E, 137,  915, TY,
IO, 01, 2019050100,   , MIWU,   6, 138N,  840E, 132,  921, TY,
IO, 01, 2019050106,   , MIWU,   6, 142N,  839E, 131,  922, TY,
IO, 01, 2019050112,   , MIWU,   6, 146N,  841E, 144,  906, TY,
IO, 01, 2019050118,   , MIWU,  12, 150N,  842E, 154,  891, TY,
IO, 01, 2019050200,   , MIWU,  18, 155N,  844E, 131,  921, TY,
IO, 01, 2019050206,   , MIWU,  24, 161N,  846E, 124,  931, ST,
IO, 01, 2019050212,   , MIWU,  30, 169N,  849E, 129,  928, ST,
IO, 01, 2019050218,   , MIWU,  36, 176N,  852E, 133,  925, ST,
IO, 01, 2019050300,   , MIWU,  42, 185N,  856E, 132,  927, TY,
IO, 01, 2019050306,   , MIWU,  48, 193N,  861E, 124,  933, TY,
IO, 01, 2019050312,   , MIWU,  54, 202N,  867E, 120,  937, TY,
IO, 01, 2019050318,   , MIWU,  60, 211N,  872E, 128,  928, TS,
IO, 01, 2019050400,   , MIWU,  66, 220N,  878E, 138,  914, TS,
IO, 01, 2019050406,   , MIWU,  72, 229N,  884E, 157,  891, TD,
IO, 01, 2019050412,   , MIWU,  78, 238N,  895E, 201,  818, TD,
IO, 01, 2019050418,   , MIWU,  84, 246N,  906E, 130,  913, TS,
IO, 01, 2019050500,   , MIWU,  90, 255N,  917E,  78,  967, TS,
IO, 01, 2019050506,   , MIWU,  96, 263N,  928E,  58,  933, TY,
IO, 01, 2019050512,   , MIWU, 102, 270N,  939E, 37,  937, EX,
IO, 01, 2019050518,   , MIWU, 108, 278N,  951E, 28,  928, EX,
