IO, 02, 2019060818,   , MIWU, 0, 103N,  724E,  15, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Vayu,
IO, 02, 2019060900,   , MIWU, 0, 103N,  719E,  20, 1006, DB,
IO, 02, 2019060906,   , MIWU, 0, 104N,  715E,  20, 1005, DB,
IO, 02, 2019060912,   , MIWU, 0, 108N,  713E,  25, 1003, DB,
IO, 02, 2019060918,   , MIWU, 0, 113N,  711E,  30, 1001, TD,
IO, 02, 2019061000,   , MIWU, 0, 120N,  710E,  35,  999, TS,
IO, 02, 2019061006,   , MIWU, 0, 126N,  709E,  40,  997, TS,
IO, 02, 2019061012,   , MIWU, 0, 131N,  707E,  45,  995, TS,
IO, 02, 2019061018,   , MIWU, 0, 138N,  706E,  45,  994, TS,
IO, 02, 2019061100,   , MIWU,   6, 145N,  707E,  62,  986, TS,
IO, 02, 2019061106,   , MIWU,   6, 153N,  708E,  65,  985, TY,
IO, 02, 2019061112,   , MIWU,   6, 159N,  709E,  73,  980, TY,
IO, 02, 2019061118,   , MIWU,   6, 167N,  708E,  82,  973, TY,
IO, 02, 2019061200,   , MIWU,   6, 178N,  706E,  92,  965, TY,
IO, 02, 2019061206,   , MIWU,   6, 186N,  701E, 108,  949, TY,
IO, 02, 2019061212,   , MIWU,  12, 193N,  699E, 127,  928, TY,
IO, 02, 2019061218,   , MIWU,  18, 199N,  698E, 140,  910, TY,
IO, 02, 2019061300,   , MIWU,  24, 206N,  697E, 105,  942, TY,
IO, 02, 2019061306,   , MIWU,  30, 210N,  696E,  94,  960, TY,
IO, 02, 2019061312,   , MIWU,  36, 214N,  695E, 138,  913, TY,
IO, 02, 2019061318,   , MIWU,  42, 217N,  693E, 170,  863, TY,
IO, 02, 2019061400,   , MIWU,  48, 220N,  691E, 108,  938, TY,
IO, 02, 2019061406,   , MIWU,  54, 221N,  690E,  67,  973, TY,
IO, 02, 2019061412,   , MIWU,  60, 222N,  689E,  49,  987, TY,
IO, 02, 2019061418,   , MIWU,  66, 223N,  688E,  46,  987, TY,
IO, 02, 2019061500,   , MIWU,  72, 223N,  687E,  51,  986, TY,
IO, 02, 2019061506,   , MIWU,  78, 224N,  686E,  55,  984, TY,
IO, 02, 2019061512,   , MIWU,  84, 224N,  685E,  60,  980, TY,
IO, 02, 2019061518,   , MIWU,  90, 225N,  684E,  65,  976, TY,
IO, 02, 2019061600,   , MIWU,  96, 226N,  683E,  69,  972, TY,
IO, 02, 2019061606,   , MIWU, 102, 227N,  682E,  75,  971, TY,
IO, 02, 2019061612,   , MIWU, 108, 228N,  681E,  77,  970, TS,
IO, 02, 2019061618,   , MIWU, 114, 229N,  680E,  78,  968, TS,
IO, 02, 2019061700,   , MIWU, 120, 231N,  679E,  78,  968, TS,
IO, 02, 2019061706,   , MIWU, 126, 234N,  678E,  78,  984, TY,
IO, 02, 2019061712,   , MIWU, 132, 238N,  678E,  78,  980, TY,
IO, 02, 2019061718,   , MIWU, 138, 243N,  677E,  60,  976, TY,
IO, 02, 2019061800,   , MIWU, 144, 249N,  676E,  37,  972, TY,
IO, 02, 2019061806,   , MIWU, 150, 256N,  674E,  24,  971, TY,
