IO, 04, 2019102218,   , MIWU, 0, 144N,  692E,  20, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kyarr,
IO, 04, 2019102300,   , MIWU, 0, 148N,  695E,  20, 1006, DB,
IO, 04, 2019102306,   , MIWU, 0, 153N,  697E,  20, 1005, DB,
IO, 04, 2019102312,   , MIWU, 0, 154N,  699E,  25, 1003, TD,
IO, 04, 2019102318,   , MIWU, 0, 155N,  702E,  30, 1001, TD,
IO, 04, 2019102400,   , MIWU, 0, 154N,  706E,  30, 1001, TD,
IO, 04, 2019102406,   , MIWU, 0, 152N,  709E,  35,  999, TS,
IO, 04, 2019102412,   , MIWU, 0, 153N,  712E,  40,  997, TS,
IO, 04, 2019102418,   , MIWU, 0, 155N,  714E,  45,  995, TS,
IO, 04, 2019102500,   , MIWU, 0, 158N,  716E,  50,  993, TS,
IO, 04, 2019102506,   , MIWU, 0, 160N,  717E,  60,  987, TS,
IO, 04, 2019102512,   , MIWU, 0, 163N,  716E,  65,  984, TY,
IO, 04, 2019102518,   , MIWU, 0, 165N,  715E,  70,  980, TY,
IO, 04, 2019102600,   , MIWU, 0, 167N,  708E,  75,  976, TY,
IO, 04, 2019102606,   , MIWU, 0, 168N,  701E,  90,  964, TY,
IO, 04, 2019102612,   , MIWU,   6, 168N,  692E, 102,  955, TY,
IO, 04, 2019102618,   , MIWU,   6, 168N,  687E, 124,  932, TY,
IO, 04, 2019102700,   , MIWU,   6, 169N,  682E, 142,  910, ST,
IO, 04, 2019102706,   , MIWU,   6, 172N,  676E, 143,  907, ST,
IO, 04, 2019102712,   , MIWU,   6, 175N,  667E, 151,  897, ST,
IO, 04, 2019102718,   , MIWU,  12, 177N,  660E, 110,  939, ST,
IO, 04, 2019102800,   , MIWU,  18, 179N,  654E,  86,  963, TY,
IO, 04, 2019102806,   , MIWU,  24, 182N,  648E,  96,  959, TY,
IO, 04, 2019102812,   , MIWU,  30, 184N,  644E, 101,  955, TY,
IO, 04, 2019102818,   , MIWU,  36, 186N,  639E, 103,  953, TY,
IO, 04, 2019102900,   , MIWU,  42, 188N,  635E, 105,  951, TY,
IO, 04, 2019102906,   , MIWU,  48, 190N,  631E, 104,  951, TY,
IO, 04, 2019102912,   , MIWU,  54, 192N,  628E,  91,  962, TY,
IO, 04, 2019102918,   , MIWU,  60, 194N,  625E,  70,  978, TY,
IO, 04, 2019103000,   , MIWU,   6, 196N,  623E,  77,  969, TY,
IO, 04, 2019103006,   , MIWU,  12, 195N,  621E,  72,  974, TY,
IO, 04, 2019103012,   , MIWU,  18, 194N,  618E,  73,  976, TS,
IO, 04, 2019103018,   , MIWU,  24, 192N,  614E,  78,  973, TS,
IO, 04, 2019103100,   , MIWU,  30, 189N,  610E,  83,  970, TS,
IO, 04, 2019103106,   , MIWU,  36, 186N,  605E,  88,  968, TS,
IO, 04, 2019103112,   , MIWU,  42, 183N,  602E,  92,  964, TS,
IO, 04, 2019103118,   , MIWU,  48, 179N,  598E,  93,  963, TD,
IO, 04, 2019110100,   , MIWU,  54, 174N,  593E,  90,  965, TD,
IO, 04, 2019110106,   , MIWU,  60, 170N,  588E,  88,  967, TD,
IO, 04, 2019110112,   , MIWU,  66, 165N,  583E,  86,  969, TS,
IO, 04, 2019110118,   , MIWU,  72, 160N,  578E,  85,  971, TS,
IO, 04, 2019110200,   , MIWU,  78, 152N,  568E,  84,  972, TS,
IO, 04, 2019110206,   , MIWU,  84, 145N,  559E,  82,  973, TS,
IO, 04, 2019110212,   , MIWU,  90, 137N,  550E,  82,  973, TD,
IO, 04, 2019110218,   , MIWU,  96, 130N,  540E,  83,  973, TD,
IO, 04, 2019110300,   , MIWU, 102, 125N,  529E,  86,  971, TD,
IO, 04, 2019110306,   , MIWU, 108, 119N,  518E,  91,  966, TD,
IO, 04, 2019110312,   , MIWU, 114, 114N,  507E,  92,  965, TD,
IO, 04, 2019110318,   , MIWU, 120, 109N,  496E,  71,  978, TD,
IO, 04, 2019110400,   , MIWU, 126, 105N,  487E,  51,  972, TS,
IO, 04, 2019110406,   , MIWU, 132, 102N,  478E,  34,  973, TS,
IO, 04, 2019110412,   , MIWU, 138,  99N,  469E,  25,  973, TD,
IO, 04, 2019110418,   , MIWU, 144,  98N,  461E,  21,  973, DB,
IO, 04, 2019110500,   , MIWU, 150,  97N,  455E,  17,  971, DB,
