IO, 05, 2019102806,   , MIWU, 0,  50N,  810E,  20, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Maha,
IO, 05, 2019102812,   , MIWU, 0,  50N,  799E,  20, 1009, DB,
IO, 05, 2019102818,   , MIWU, 0,  51N,  787E,  20, 1009, DB,
IO, 05, 2019102900,   , MIWU, 0,  52N,  776E,  20, 1008, DB,
IO, 05, 2019102906,   , MIWU, 0,  54N,  767E,  25, 1006, TD,
IO, 05, 2019102912,   , MIWU, 0,  58N,  764E,  30, 1004, TD,
IO, 05, 2019102918,   , MIWU, 0,  65N,  761E,  30, 1003, TD,
IO, 05, 2019103000,   , MIWU, 0,  75N,  755E,  35, 1001, TS,
IO, 05, 2019103006,   , MIWU, 0,  84N,  747E,  40,  997, TS,
IO, 05, 2019103012,   , MIWU, 0,  92N,  742E,  45,  995, TS,
IO, 05, 2019103018,   , MIWU,   6, 104N,  736E,  57,  991, TS,
IO, 05, 2019103100,   , MIWU,   6, 112N,  731E,  53,  993, TS,
IO, 05, 2019103106,   , MIWU,   6, 119N,  727E,  54,  992, TS,
IO, 05, 2019103112,   , MIWU,  12, 128N,  723E,  65,  985, TS,
IO, 05, 2019103118,   , MIWU,  18, 136N,  718E,  86,  971, TS,
IO, 05, 2019110100,   , MIWU,  24, 144N,  712E, 116,  943, TS,
IO, 05, 2019110106,   , MIWU,  30, 149N,  706E, 137,  919, TS,
IO, 05, 2019110112,   , MIWU,  36, 155N,  699E, 124,  933, TS,
IO, 05, 2019110118,   , MIWU,  42, 159N,  693E, 122,  936, TS,
IO, 05, 2019110200,   , MIWU,  48, 164N,  686E, 121,  936, TS,
IO, 05, 2019110206,   , MIWU,  54, 166N,  681E, 101,  954, TS,
IO, 05, 2019110212,   , MIWU,  60, 169N,  675E,  92,  963, TS,
IO, 05, 2019110218,   , MIWU,  66, 171N,  669E,  96,  959, TS,
IO, 05, 2019110300,   , MIWU,  72, 173N,  663E, 101,  955, TS,
IO, 05, 2019110306,   , MIWU,  78, 173N,  655E, 105,  951, TY,
IO, 05, 2019110312,   , MIWU,  84, 173N,  648E, 110,  947, TY,
IO, 05, 2019110318,   , MIWU,  90, 173N,  640E, 112,  944, TY,
IO, 05, 2019110400,   , MIWU,  96, 173N,  632E, 112,  944, TY,
IO, 05, 2019110406,   , MIWU, 102, 174N,  624E, 110,  946, TY,
IO, 05, 2019110412,   , MIWU, 108, 175N,  617E, 105,  951, TY,
IO, 05, 2019110418,   , MIWU, 114, 176N,  609E, 101,  955, TY,
IO, 05, 2019110500,   , MIWU, 120, 177N,  601E,  97,  959, TY,
IO, 05, 2019110506,   , MIWU, 126, 178N,  592E,  93,  951, TY,
IO, 05, 2019110512,   , MIWU, 132, 178N,  583E,  89,  947, TY,
IO, 05, 2019110518,   , MIWU, 138, 178N,  573E,  85,  944, TY,
IO, 05, 2019110600,   , MIWU, 144, 178N,  564E,  80,  944, TY,
IO, 05, 2019110606,   , MIWU, 150, 178N,  555E,  75,  946, TY,
IO, 05, 2019110612,   , MIWU, 156, 177N,  543E,  57,  951, TY,
IO, 05, 2019110618,   , MIWU, 162, 176N,  531E,  36,  944, TY,
IO, 05, 2019110700,   , MIWU, 168, 175N,  519E,  24,  944, TD,
IO, 05, 2019110706,   , MIWU, 174, 174N,  508E,  15,  946, DB,
