IO, 06, 2019113018,   , MIWU, 0,  60N,  585E,  20, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Pawan,
IO, 06, 2019120100,   , MIWU, 0,  60N,  582E,  20, 1008, DB,
IO, 06, 2019120106,   , MIWU, 0,  59N,  578E,  20, 1007, DB,
IO, 06, 2019120112,   , MIWU, 0,  57N,  573E,  20, 1007, DB,
IO, 06, 2019120118,   , MIWU, 0,  55N,  569E,  25, 1005, TD,
IO, 06, 2019120200,   , MIWU, 0,  56N,  567E,  25, 1004, TD,
IO, 06, 2019120206,   , MIWU, 0,  58N,  566E,  30, 1002, TD,
IO, 06, 2019120212,   , MIWU, 0,  60N,  567E,  30, 1001, TD,
IO, 06, 2019120218,   , MIWU, 0,  62N,  568E,  35,  999, TS,
IO, 06, 2019120300,   , MIWU, 0,  65N,  570E,  35,  998, TS,
IO, 06, 2019120306,   , MIWU, 0,  67N,  571E,  35,  998, TS,
IO, 06, 2019120312,   , MIWU,   6,  69N,  570E,  43,  995, TD,
IO, 06, 2019120318,   , MIWU,  12,  71N,  569E,  51,  991, TD,
IO, 06, 2019120400,   , MIWU,  18,  72N,  568E,  58,  988, TS,
IO, 06, 2019120406,   , MIWU,  24,  73N,  567E,  63,  985, TS,
IO, 06, 2019120412,   , MIWU,  30,  75N,  564E,  67,  983, TS,
IO, 06, 2019120418,   , MIWU,  36,  77N,  561E,  72,  981, TS,
IO, 06, 2019120500,   , MIWU,  42,  78N,  556E,  78,  977, TS,
IO, 06, 2019120506,   , MIWU,  48,  78N,  551E,  83,  972, TS,
IO, 06, 2019120512,   , MIWU,  54,  77N,  542E,  90,  966, TS,
IO, 06, 2019120518,   , MIWU,  60,  75N,  534E,  98,  959, TS,
IO, 06, 2019120600,   , MIWU,  66,  73N,  525E, 106,  951, TS,
IO, 06, 2019120606,   , MIWU,  72,  71N,  516E, 113,  945, TS,
IO, 06, 2019120612,   , MIWU,  78,  69N,  507E, 119,  938, TS,
IO, 06, 2019120618,   , MIWU,  84,  67N,  499E, 131,  924, TS,
IO, 06, 2019120700,   , MIWU,  90,  65N,  490E, 136,  918, TS,
IO, 06, 2019120706,   , MIWU,  96,  62N,  481E, 105,  945, TS,
IO, 06, 2019120712,   , MIWU, 102,  59N,  473E,  78,  995, TD,
IO, 06, 2019120718,   , MIWU, 108,  57N,  468E,  56,  996, TD,
IO, 06, 2019120800,   , MIWU, 114,  55N,  463E,  39,  997, TY,
IO, 06, 2019120806,   , MIWU, 120,  52N,  458E,  24,  997, TY,
IO, 06, 2019120812,   , MIWU, 126,  50N,  454E,  20,  998, DB,
IO, 06, 2019120818,   , MIWU, 132,  49N,  450E,  17,  995, DB,
