IO, 07, 2019120200,   , MIWU, 0,  95N,  737E,  20, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seven-A,
IO, 07, 2019120206,   , MIWU, 0, 101N,  733E,  20, 1009, DB,
IO, 07, 2019120212,   , MIWU, 0, 108N,  726E,  25, 1007, TD,
IO, 07, 2019120218,   , MIWU, 0, 116N,  718E,  25, 1006, TD,
IO, 07, 2019120300,   , MIWU, 0, 122N,  713E,  35, 1002, TS,
IO, 07, 2019120306,   , MIWU, 0, 128N,  709E,  50,  996, TS,
IO, 07, 2019120312,   , MIWU, 0, 134N,  703E,  65,  990, TS,
IO, 07, 2019120318,   , MIWU,   6, 139N,  697E,  42,  996, TS,
IO, 07, 2019120400,   , MIWU,  12, 144N,  692E,  50,  993, TS,
IO, 07, 2019120406,   , MIWU,  18, 148N,  686E,  57,  990, TS,
IO, 07, 2019120412,   , MIWU,  24, 153N,  680E,  62,  987, TS,
IO, 07, 2019120418,   , MIWU,  30, 156N,  674E,  65,  985, TD,
IO, 07, 2019120500,   , MIWU,  36, 160N,  668E,  64,  986, TD,
IO, 07, 2019120506,   , MIWU,  42, 162N,  662E,  60,  988, TD,
IO, 07, 2019120512,   , MIWU,  48, 165N,  655E,  54,  990, TY,
IO, 07, 2019120518,   , MIWU,  54, 166N,  651E,  50,  992, TY,
IO, 07, 2019120600,   , MIWU,  60, 167N,  646E,  48,  993, TY,
IO, 07, 2019120606,   , MIWU,  66, 168N,  641E,  47,  993, TY,
IO, 07, 2019120612,   , MIWU,  72, 169N,  636E,  45,  994, TY,
IO, 07, 2019120618,   , MIWU,  78, 170N,  631E,  40,  985, TD,
IO, 07, 2019120700,   , MIWU,  84, 170N,  626E,  35,  986, TD,
IO, 07, 2019120706,   , MIWU,  90, 170N,  620E,  24,  988, TD,
IO, 07, 2019120712,   , MIWU,  96, 171N,  614E,  17,  990, DB,
IO, 07, 2019120718,   , MIWU, 102, 171N,  607E,  12,  992, DB,
