WP, 23, 2019110200,   , MIWU, 0, 142N,  997E,  10, 1014, DB,
WP, 23, 2019110206,   , MIWU, 0, 140N,  992E,  10, 1014, DB,
WP, 23, 2019110212,   , MIWU, 0, 137N,  985E,  10, 1014, DB,
WP, 23, 2019110218,   , MIWU, 0, 135N,  977E,  10, 1013, DB,
WP, 23, 2019110300,   , MIWU, 0, 134N,  969E,  10, 1013, DB,
WP, 23, 2019110306,   , MIWU, 0, 134N,  962E,  15, 1011, DB,
WP, 23, 2019110312,   , MIWU, 0, 134N,  955E,  15, 1010, DB,
WP, 23, 2019110318,   , MIWU, 0, 133N,  948E,  15, 1010, DB,
WP, 23, 2019110400,   , MIWU, 0, 130N,  943E,  20, 1008, DB,
WP, 23, 2019110406,   , MIWU, 0, 127N,  935E,  25, 1006, TD,
WP, 23, 2019110412,   , MIWU, 0, 126N,  926E,  30, 1004, TD,
WP, 23, 2019110418,   , MIWU, 0, 127N,  917E,  35, 1002, TS,
WP, 23, 2019110500,   , MIWU, 0, 129N,  911E,  35, 1002, TS,
WP, 23, 2019110506,   , MIWU, 0, 131N,  904E,  35, 1001, TS,
WP, 23, 2019110512,   , MIWU, 0, 132N,  899E,  35, 1001, TS,
WP, 23, 2019110518,   , MIWU, 0, 133N,  896E,  40,  999, TS,
WP, 23, 2019110600,   , MIWU, 0, 134N,  895E,  45,  997, TS,
WP, 23, 2019110606,   , MIWU, 0, 136N,  897E,  45,  997, TS,
WP, 23, 2019110612,   , MIWU, 0, 139N,  899E,  45,  996, TS,
WP, 23, 2019110618,   , MIWU, 0, 142N,  901E,  50,  994, TS,
WP, 23, 2019110700,   , MIWU,   6, 144N,  900E,  36,  998, TS,
WP, 23, 2019110706,   , MIWU,  12, 147N,  899E,  41,  996, TS,
WP, 23, 2019110712,   , MIWU,  18, 153N,  895E,  50,  992, TS,
WP, 23, 2019110718,   , MIWU,  24, 158N,  891E,  68,  982, TY,
WP, 23, 2019110800,   , MIWU,  30, 164N,  890E, 105,  951, TY,
WP, 23, 2019110806,   , MIWU,  36, 170N,  889E, 141,  909, TY,
WP, 23, 2019110812,   , MIWU,  42, 177N,  889E, 145,  901, TY,
WP, 23, 2019110818,   , MIWU,  48, 183N,  889E, 122,  922, TY,
WP, 23, 2019110900,   , MIWU,  54, 188N,  890E, 116,  936, TY,
WP, 23, 2019110906,   , MIWU,  60, 192N,  891E, 104,  949, TY,
WP, 23, 2019110912,   , MIWU,  66, 197N,  892E, 102,  951, TY,
WP, 23, 2019110918,   , MIWU,  72, 201N,  893E, 103,  950, TY,
WP, 23, 2019111000,   , MIWU,  78, 203N,  895E, 102,  952, TY,
WP, 23, 2019111006,   , MIWU,  84, 205N,  897E, 101,  953, TY,
WP, 23, 2019111012,   , MIWU,  90, 208N,  899E, 101,  953, TS,
WP, 23, 2019111018,   , MIWU,  96, 210N,  901E,  98,  956, TS,
WP, 23, 2019111100,   , MIWU, 102, 212N,  903E,  95,  998, TS,
WP, 23, 2019111106,   , MIWU, 108, 214N,  906E,  92,  979, TD,
WP, 23, 2019111112,   , MIWU, 114, 217N,  909E,  89,  970, TY,
WP, 23, 2019111118,   , MIWU, 120, 220N,  912E,  86,  983, TY,
WP, 23, 2019111200,   , MIWU, 126, 223N,  916E,  78,  969, TY,
WP, 23, 2019111206,   , MIWU, 132, 226N,  919E,  62,  953, TY,
WP, 23, 2019111212,   , MIWU, 138, 228N,  922E,  46,  953, TS,
WP, 23, 2019111218,   , MIWU, 144, 230N,  926E,  32,  956, TS,
WP, 23, 2019111300,   , MIWU, 150, 231N,  930E,  22,  998, DB,
WP, 23, 2019111306,   , MIWU, 156, 232N,  935E,  18,  979, DB,
