AL, 02, 2025062700,   , BEST,   0, 170N,  864W,  15,    0, DB, 
AL, 02, 2025062706,   , BEST,   0, 174N,  878W,  15,    0, DB,  
AL, 02, 2025062712,   , BEST,   0, 179N,  893W,  15, 1011, DB,  
AL, 02, 2025062718,   , BEST,   0, 183N,  905W,  25, 1011, DB, 
AL, 02, 2025062800,   , BEST,   0, 186N,  916W,  25, 1011, DB,  
AL, 02, 2025062806,   , BEST,   0, 188N,  925W,  25, 1011, DB, 
AL, 02, 2025062812,   , BEST,   0, 190N,  933W,  25, 1011, DB, 
AL, 02, 2025062818,   , BEST,   0, 192N,  939W,  25, 1011, TD, 
AL, 02, 2025062900,   , BEST,   0, 195N,  947W,  25, 1011, TD, 
AL, 02, 2025062906,   , BEST,   0, 197N,  956W,  30, 1010, TD,  
AL, 02, 2025062912,   , BEST,   0, 201N,  960W,  35, 1008, TS, 
AL, 02, 2025062918,   , BEST,   0, 209N,  967W,  40, 1006, TS,  
AL, 02, 2025063000,   , BEST,   0, 217N,  974W,  35, 1007, TS,
AL, 02, 2025063006,   , BEST,   0, 224N,  987W,  25, 1008, TD,
AL, 02, 2025063012,   , BEST,   0, 230N,  994W,  25, 1008, TD,
AL, 02, 2025063018,   , BEST,   0, 237N,  999W,  25, 1008, DB,
