AL, 03, 2025070306,   , BEST,   0, 263N,  830W,  15, 1015, DB,  
AL, 03, 2025070312,   , BEST,   0, 267N,  816W,  15, 1014, DB,  
AL, 03, 2025070318,   , BEST,   0, 281N,  805W,  20, 1014, DB,   
AL, 03, 2025070400,   , BEST,   0, 295N,  800W,  25, 1013, DB, 
AL, 03, 2025070406,   , BEST,   0, 301N,  797W,  25, 1013, DB, 
AL, 03, 2025070412,   , BEST,   0, 307N,  792W,  25, 1011, LO, 
AL, 03, 2025070418,   , BEST,   0, 308N,  790W,  30, 1012, TD, 
AL, 03, 2025070500,   , BEST,   0, 305N,  790W,  30, 1012, TD, 
AL, 03, 2025070506,   , BEST,   0, 307N,  787W,  30, 1010, TD, 
AL, 03, 2025070512,   , BEST,   0, 308N,  790W,  35, 1009, TS, 
AL, 03, 2025070518,   , BEST,   0, 316N,  787W,  40, 1006, TS, 
AL, 03, 2025070600,   , BEST,   0, 323N,  787W,  40, 1005, TS, 
AL, 03, 2025070606,   , BEST,   0, 333N,  789W,  50, 1002, TS,  
AL, 03, 2025070606,   , BEST,   0, 333N,  789W,  50, 1002, TS, 
AL, 03, 2025070612,   , BEST,   0, 340N,  792W,  35, 1006, TS, 
AL, 03, 2025070618,   , BEST,   0, 345N,  793W,  25, 1007, TD, 
AL, 03, 2025070700,   , BEST,   0, 356N,  790W,  25, 1006, TD, 
AL, 03, 2025070706,   , BEST,   0, 363N,  786W,  25, 1009, TD, 
AL, 03, 2025070712,   , BEST,   0, 373N,  770W,  25, 1011, LO,
AL, 03, 2025070718,   , BEST,   0, 383N,  757W,  20, 1012, LO,
AL, 03, 2025070800,   , BEST,   0, 392N,  748W,  20, 1011, LO,
