AL, 04, 2025080218,   , BEST,   0, 332N,  756W,  30, 1013, EX, 
AL, 04, 2025080300,   , BEST,   0, 329N,  746W,  35, 1011, EX, 
AL, 04, 2025080306,   , BEST,   0, 331N,  735W,  35, 1010, EX, 
AL, 04, 2025080312,   , BEST,   0, 334N,  722W,  35, 1008, EX, 
AL, 04, 2025080318,   , BEST,   0, 337N,  710W,  35, 1007, TS, 
AL, 04, 2025080400,   , BEST,   0, 340N,  699W,  40, 1003, TS, 
AL, 04, 2025080406,   , BEST,   0, 344N,  688W,  40, 1003, TS, 
AL, 04, 2025080412,   , BEST,   0, 350N,  679W,  40, 1004, TS, 
AL, 04, 2025080418,   , BEST,   0, 357N,  669W,  40, 1005, TS, 
AL, 04, 2025080500,   , BEST,   0, 364N,  659W,  40, 1005, TS, 
AL, 04, 2025080506,   , BEST,   0, 370N,  649W,  35, 1008, TS, 
AL, 04, 2025080512,   , BEST,   0, 377N,  639W,  35, 1009, TS, 
AL, 04, 2025080518,   , BEST,   0, 382N,  628W,  35, 1009, TS, 
AL, 04, 2025080600,   , BEST,   0, 388N,  618W,  40, 1006, TS, 
AL, 04, 2025080606,   , BEST,   0, 393N,  605W,  45, 1003, TS, 
AL, 04, 2025080612,   , BEST,   0, 396N,  590W,  50,  989, TS, 
AL, 04, 2025080618,   , BEST,   0, 398N,  572W,  50,  983, TS, 
AL, 04, 2025080700,   , BEST,   0, 399N,  552W,  60,  974, TS, 
AL, 04, 2025080706,   , BEST,   0, 404N,  532W,  65,  960, HU, 
AL, 04, 2025080712,   , BEST,   0, 409N,  513W,  65,  965, HU, 
AL, 04, 2025080718,   , BEST,   0, 414N,  489W,  75,  957, HU, 
AL, 04, 2025080800,   , BEST,   0, 423N,  465W,  65,  994, HU, 
AL, 04, 2025080806,   , BEST,   0, 436N,  450W,  70,  989, HU, 
AL, 04, 2025080812,   , BEST,   0, 447N,  435W,  70,  988, HU, 
AL, 04, 2025080818,   , BEST,   0, 452N,  416W,  60,  991, EX, 
AL, 04, 2025080900,   , BEST,   0, 454N,  392W,  50,  994, EX, 
AL, 04, 2025080906,   , BEST,   0, 457N,  367W,  45,  997, EX, 
AL, 04, 2025080912,   , BEST,   0, 459N,  341W,  40, 1000, EX, 
AL, 04, 2025080918,   , BEST,   0, 464N,  315W,  35, 1002, EX, 
AL, 04, 2025081000,   , BEST,   0, 469N,  294W,  30, 1004, EX, 
AL, 04, 2025081006,   , BEST,   0, 473N,  275W,  30, 1005, EX, 
AL, 04, 2025081012,   , BEST,   0, 476N,  259W,  30, 1007, EX, 
AL, 04, 2025081018,   , BEST,   0, 479N,  245W,  30, 1008, EX, 
AL, 04, 2025081100,   , BEST,   0, 481N,  231W,  30, 1008, EX, 
AL, 04, 2025081106,   , BEST,   0, 483N,  218W,  30, 1008, EX, 
AL, 04, 2025081112,   , BEST,   0, 485N,  205W,  25, 1009, EX, 
AL, 04, 2025081118,   , BEST,   0, 486N,  193W,  25, 1009, EX, 
AL, 04, 2025081200,   , BEST,   0, 487N,  181W,  25, 1009, EX, 
AL, 04, 2025081206,   , BEST,   0, 486N,  170W,  25, 1008, EX, 
AL, 04, 2025081212,   , BEST,   0, 485N,  160W,  25, 1008, EX, 
AL, 04, 2025081218,   , BEST,   0, 487N,  148W,  25, 1008, EX, 
AL, 04, 2025081300,   , BEST,   0, 490N,  136W,  25, 1008, EX, 
AL, 04, 2025081306,   , BEST,   0, 494N,  122W,  25, 1008, EX, 
