AL, 06, 2025082318,   , BEST,   0, 266N,  617W,  35, 1010, TS, 
AL, 06, 2025082400,   , BEST,   0, 280N,  613W,  35, 1009, TS, 
AL, 06, 2025082406,   , BEST,   0, 292N,  609W,  35, 1009, TS, 
AL, 06, 2025082412,   , BEST,   0, 303N,  604W,  35, 1009, TS, 
AL, 06, 2025082418,   , BEST,   0, 313N,  600W,  40, 1006, TS, 
AL, 06, 2025082500,   , BEST,   0, 321N,  596W,  45, 1005, TS, 
AL, 06, 2025082506,   , BEST,   0, 330N,  590W,  45, 1004, TS, 
AL, 06, 2025082512,   , BEST,   0, 338N,  584W,  50,  999, TS, 
AL, 06, 2025082518,   , BEST,   0, 348N,  576W,  50,  999, TS, 
AL, 06, 2025082600,   , BEST,   0, 356N,  568W,  45, 1002, TS, 
AL, 06, 2025082606,   , BEST,   0, 364N,  559W,  40, 1005, TS, 
AL, 06, 2025082612,   , BEST,   0, 373N,  551W,  35, 1006, TS, 
AL, 06, 2025082618,   , BEST,   0, 378N,  540W,  35, 1004, TS, 
AL, 06, 2025082700,   , BEST,   0, 382N,  527W,  40, 1002, TS, 
AL, 06, 2025082706,   , BEST,   0, 383N,  514W,  45, 1000, TS, 
AL, 06, 2025082712,   , BEST,   0, 382N,  503W,  45, 1000, TS, 
AL, 06, 2025082718,   , BEST,   0, 389N,  484W,  45, 1000, LO, 
AL, 06, 2025082800,   , BEST,   0, 397N,  463W,  45, 1002, LO, 
AL, 06, 2025082806,   , BEST,   0, 406N,  442W,  40, 1006, LO, 
AL, 06, 2025082812,   , BEST,   0, 418N,  420W,  35, 1007, LO, 
AL, 06, 2025082818,   , BEST,   0, 430N,  391W,  35, 1008, LO, 
