AL, 07, 2025091412,   , BEST,   0, 110N,  318W,  15, 1012, DB,
AL, 07, 2025091418,   , BEST,   0, 111N,  338W,  15, 1012, DB, 
AL, 07, 2025091500,   , BEST,   0, 113N,  355W,  20, 1011, DB, 
AL, 07, 2025091506,   , BEST,   0, 116N,  370W,  20, 1011, DB,   
AL, 07, 2025091512,   , BEST,   0, 119N,  383W,  25, 1010, DB, 
AL, 07, 2025091518,   , BEST,   0, 122N,  397W,  25, 1010, DB,  
AL, 07, 2025091600,   , BEST,   0, 123N,  410W,  25, 1009, DB,  
AL, 07, 2025091606,   , BEST,   0, 128N,  415W,  30, 1008, DB, 
AL, 07, 2025091612,   , BEST,   0, 134N,  415W,  35, 1007, TS, 
AL, 07, 2025091618,   , BEST,   0, 135N,  422W,  50, 1007, TS, 
AL, 07, 2025091700,   , BEST,   0, 135N,  439W,  65, 1007, HU, 
AL, 07, 2025091706,   , BEST,   0, 147N,  451W,  70, 1006, HU, 
AL, 07, 2025091712,   , BEST,   0, 165N,  463W,  65, 1005, HU, 
AL, 07, 2025091718,   , BEST,   0, 190N,  475W,  85, 1005, HU,
AL, 07, 2025091800,   , BEST,   0, 192N,  490W,  90, 1004, HU,   
AL, 07, 2025091806,   , BEST,   0, 197N,  502W, 100, 1004, HU,  
AL, 07, 2025091812,   , BEST,   0, 200N,  512W, 105, 1004, HU,  
AL, 07, 2025091818,   , BEST,   0, 205N,  522W, 115, 1004, HU, 
AL, 07, 2025091900,   , BEST,   0, 209N,  529W, 120, 1004, HU,  
AL, 07, 2025091906,   , BEST,   0, 215N,  541W, 125, 1004, HU,   
AL, 07, 2025091912,   , BEST,   0, 217N,  551W, 145,  900, HU, 
AL, 07, 2025091918,   , BEST,   0, 221N,  561W, 135, 1004, HU, 
AL, 07, 2025092000,   , BEST,   0, 229N,  570W, 135, 1004, HU, 
AL, 07, 2025092006,   , BEST,   0, 239N,  577W, 140,  900, HU,  
AL, 07, 2025092012,   , BEST,   0, 246N,  586W, 140, 1003, HU,  
AL, 07, 2025092018,   , BEST,   0, 252N,  587W, 135,  996, HU,  
AL, 07, 2025092100,   , BEST,   0, 259N,  590W, 115,  996, HU, 
AL, 07, 2025092106,   , BEST,   0, 266N,  598W,  95,  995, HU,  
AL, 07, 2025092112,   , BEST,   0, 273N,  607W,  80,  995, HU,   
AL, 07, 2025092118,   , BEST,   0, 281N,  615W,  75,  993, HU,
AL, 07, 2025092200,   , BEST,   0, 289N,  621W,  70,  989, HU,
AL, 07, 2025092206,   , BEST,   0, 296N,  625W,  80,  978, HU, 
AL, 07, 2025092212,   , BEST,   0, 304N,  625W, 100,  957, HU, 
AL, 07, 2025092218,   , BEST,   0, 313N,  621W, 115,  951, HU,  
AL, 07, 2025092300,   , BEST,   0, 321N,  614W, 120,  948, HU,  
AL, 07, 2025092306,   , BEST,   0, 328N,  604W, 130,  949, HU,   
AL, 07, 2025092312,   , BEST,   0, 335N,  592W, 140,  948, HU, 
AL, 07, 2025092318,   , BEST,   0, 343N,  574W, 135,  952, HU,   
AL, 07, 2025092400,   , BEST,   0, 349N,  552W, 120,  953, HU, 
AL, 07, 2025092406,   , BEST,   0, 354N,  528W, 110,  957, HU,  
AL, 07, 2025092412,   , BEST,   0, 358N,  502W, 105,  962, HU,  
AL, 07, 2025092418,   , BEST,   0, 359N,  472W, 105,  970, HU,   
AL, 07, 2025092500,   , BEST,   0, 359N,  440W,  95,  978, HU,  
AL, 07, 2025092506,   , BEST,   0, 361N,  402W,  85,  979, HU, 
AL, 07, 2025092512,   , BEST,   0, 364N,  367W,  65,  981, HU, 
AL, 07, 2025092518,   , BEST,   0, 368N,  336W,  60,  983, TS,  
AL, 07, 2025092600,   , BEST,   0, 374N,  307W,  55,  985, TS,  
AL, 07, 2025092606,   , BEST,   0, 387N,  275W,  55,  990, TS,   
AL, 07, 2025092612,   , BEST,   0, 397N,  242W,  55,  992, EX,
AL, 07, 2025092618,   , BEST,   0, 414N,  221W,  35,  992, EX,
