AL, 08, 2025092212,   , BEST,   0, 131N,  426W,  20, 1011, DB,   
AL, 08, 2025092218,   , BEST,   0, 132N,  440W,  20, 1011, DB,  
AL, 08, 2025092300,   , BEST,   0, 140N,  462W,  20, 1011, DB,   
AL, 08, 2025092306,   , BEST,   0, 143N,  471W,  20, 1011, DB,  
AL, 08, 2025092312,   , BEST,   0, 150N,  480W,  20, 1011, DB,  
AL, 08, 2025092318,   , BEST,   0, 164N,  490W,  35, 1010, TS, 
AL, 08, 2025092400,   , BEST,   0, 172N,  502W,  40, 1010, TS,
AL, 08, 2025092406,   , BEST,   0, 185N,  520W,  55, 1010, TS, 
AL, 08, 2025092412,   , BEST,   0, 190N,  534W,  65, 1010, HU,  
AL, 08, 2025092418,   , BEST,   0, 198N,  545W,  70, 1008, HU, 
AL, 08, 2025092500,   , BEST,   0, 205N,  554W,  85, 1007, HU, 
AL, 08, 2025092506,   , BEST,   0, 210N,  562W,  90, 1007, HU, 
AL, 08, 2025092512,   , BEST,   0, 213N,  566W, 100, 1006, HU, 
AL, 08, 2025092518,   , BEST,   0, 215N,  568W, 105, 1000, HU,  
AL, 08, 2025092600,   , BEST,   0, 217N,  569W,  95,  998, HU, 
AL, 08, 2025092606,   , BEST,   0, 219N,  570W,  85,  990, HU,
AL, 08, 2025092612,   , BEST,   0, 222N,  574W,  85,  982, HU, 
AL, 08, 2025092618,   , BEST,   0, 223N,  578W,  95,  966, HU,  
AL, 08, 2025092700,   , BEST,   0, 221N,  584W, 120,  942, HU, 
AL, 08, 2025092706,   , BEST,   0, 222N,  589W, 145,  934, HU, 
AL, 08, 2025092712,   , BEST,   0, 225N,  597W, 150,  899, HU, 
AL, 08, 2025092718,   , BEST,   0, 227N,  607W, 145,  929, HU, 
AL, 08, 2025092800,   , BEST,   0, 231N,  616W, 140,  924, HU, 
AL, 08, 2025092806,   , BEST,   0, 237N,  628W, 135,  929, HU, 
AL, 08, 2025092812,   , BEST,   0, 242N,  638W, 130,  934, HU,
AL, 08, 2025092818,   , BEST,   0, 251N,  648W, 125,  937, HU, 
AL, 08, 2025092900,   , BEST,   0, 258N,  658W, 120,  928, HU,  
AL, 08, 2025092906,   , BEST,   0, 267N,  666W, 115,  933, HU,  
AL, 08, 2025092912,   , BEST,   0, 275N,  673W, 125,  938, HU, 
AL, 08, 2025092918,   , BEST,   0, 285N,  679W, 120,  942, HU, 
AL, 08, 2025093000,   , BEST,   0, 295N,  685W, 100,  961, HU,  
AL, 08, 2025093006,   , BEST,   0, 310N,  693W,  90,  970, HU, 
AL, 08, 2025093006,   , BEST,   0, 310N,  693W,  90,  970, HU, 
AL, 08, 2025093012,   , BEST,   0, 325N,  698W,  75,  977, HU, 
AL, 08, 2025093018,   , BEST,   0, 335N,  699W,  70,  979, HU, 
AL, 08, 2025100100,   , BEST,   0, 346N,  690W,  70,  979, HU, 
AL, 08, 2025100106,   , BEST,   0, 358N,  672W,  70,  979, HU,  
AL, 08, 2025100112,   , BEST,   0, 370N,  640W,  60,  980, TS, 
AL, 08, 2025100118,   , BEST,   0, 392N,  630W,  55,  980, TS,
AL, 08, 2025100200,   , BEST,   0, 403N,  621W,  40,  980, EX,  
AL, 08, 2025100206,   , BEST,   0, 419N,  612W,  35,  980, EX, 
AL, 08, 2025100212,   , BEST,   0, 428N,  601W,  30,  980, EX,
