AL, 09, 2025092212,   , BEST,   0, 163N,  552W,  25, 1011, DB, 
AL, 09, 2025092218,   , BEST,   0, 169N,  570W,  25, 1011, DB,  
AL, 09, 2025092300,   , BEST,   0, 171N,  592W,  25, 1011, DB,  
AL, 09, 2025092306,   , BEST,   0, 171N,  603W,  25, 1010, DB,  
AL, 09, 2025092312,   , BEST,   0, 170N,  614W,  25, 1010, DB, 
AL, 09, 2025092318,   , BEST,   0, 170N,  622W,  25, 1010, DB, 
AL, 09, 2025092400,   , BEST,   0, 173N,  631W,  25, 1012, DB, 
AL, 09, 2025092406,   , BEST,   0, 176N,  640W,  25, 1012, DB,
AL, 09, 2025092412,   , BEST,   0, 176N,  654W,  25, 1012, DB, 
AL, 09, 2025092418,   , BEST,   0, 177N,  668W,  25, 1012, DB,
AL, 09, 2025092500,   , BEST,   0, 178N,  677W,  25, 1011, DB, 
AL, 09, 2025092506,   , BEST,   0, 186N,  691W,  25, 1011, DB, 
AL, 09, 2025092512,   , BEST,   0, 195N,  703W,  25, 1011, DB,  
AL, 09, 2025092518,   , BEST,   0, 196N,  712W,  25, 1011, DB,  
AL, 09, 2025092600,   , BEST,   0, 197N,  720W,  25, 1009, DB,  
AL, 09, 2025092606,   , BEST,   0, 198N,  729W,  25, 1009, DB,   
AL, 09, 2025092612,   , BEST,   0, 203N,  739W,  25, 1009, DB, 
AL, 09, 2025092618,   , BEST,   0, 208N,  748W,  30, 1008, DB,  
AL, 09, 2025092700,   , BEST,   0, 213N,  756W,  30, 1007, DB, 
AL, 09, 2025092706,   , BEST,   0, 216N,  758W,  30, 1007, DB,  
AL, 09, 2025092712,   , BEST,   0, 219N,  761W,  30, 1005, DB,
AL, 09, 2025092718,   , BEST,   0, 221N,  765W,  30, 1005, TD, 
AL, 09, 2025092800,   , BEST,   0, 224N,  768W,  30, 1004, TD,  
AL, 09, 2025092806,   , BEST,   0, 227N,  771W,  35, 1003, TS, 
AL, 09, 2025092812,   , BEST,   0, 231N,  773W,  45, 1002, TS,  
AL, 09, 2025092818,   , BEST,   0, 238N,  773W,  50,  998, TS, 
AL, 09, 2025092900,   , BEST,   0, 246N,  771W,  65,  998, HU,  
AL, 09, 2025092906,   , BEST,   0, 251N,  771W,  75,  996, HU, 
AL, 09, 2025092912,   , BEST,   0, 264N,  771W,  90,  992, HU, 
AL, 09, 2025092918,   , BEST,   0, 272N,  773W, 105,  986, HU,  
AL, 09, 2025093000,   , BEST,   0, 281N,  773W, 115,  935, HU,  
AL, 09, 2025093006,   , BEST,   0, 286N,  772W, 110,  982, HU,   
AL, 09, 2025093012,   , BEST,   0, 289N,  769W,  90,  980, HU,  
AL, 09, 2025093018,   , BEST,   0, 291N,  760W,  85,  978, HU,  
AL, 09, 2025100100,   , BEST,   0, 294N,  747W,  80,  978, HU, 
AL, 09, 2025100106,   , BEST,   0, 299N,  731W,  80,  976, HU,  
AL, 09, 2025100112,   , BEST,   0, 307N,  713W,  80,  968, HU,  
AL, 09, 2025100118,   , BEST,   0, 313N,  692W,  85,  966, HU,  
AL, 09, 2025100200,   , BEST,   0, 318N,  664W,  85,  971, HU,  
AL, 09, 2025100206,   , BEST,   0, 325N,  633W,  80,  973, HU, 
AL, 09, 2025100212,   , BEST,   0, 329N,  609W,  70,  977, HU, 
AL, 09, 2025100218,   , BEST,   0, 335N,  600W,  65,  977, HU, 
AL, 09, 2025100300,   , BEST,   0, 347N,  592W,  60,  977, TS, 
AL, 09, 2025100306,   , BEST,   0, 354N,  588W,  55,  977, EX, 
AL, 09, 2025100312,   , BEST,   0, 362N,  571W,  45,  977, EX, 
AL, 09, 2025100318,   , BEST,   0, 370N,  562W,  35,  977, EX, 
