AL, 10, 2025100406,   , BEST,   0,  69N,  213W,  20, 1012, DB,  
AL, 10, 2025100412,   , BEST,   0,  72N,  226W,  20, 1012, DB,   
AL, 10, 2025100418,   , BEST,   0,  76N,  237W,  20, 1012, DB,    
AL, 10, 2025100500,   , BEST,   0,  78N,  247W,  25, 1011, DB,    
AL, 10, 2025100506,   , BEST,   0,  80N,  259W,  25, 1011, DB,   
AL, 10, 2025100512,   , BEST,   0,  81N,  274W,  30, 1010, DB,   
AL, 10, 2025100518,   , BEST,   0,  84N,  297W,  30, 1010, DB,   
AL, 10, 2025100600,   , BEST,   0,  86N,  325W,  25, 1010, DB,   
AL, 10, 2025100606,   , BEST,   0,  92N,  341W,  25, 1010, DB, 
AL, 10, 2025100612,   , BEST,   0,  95N,  355W,  25, 1010, DB,  
AL, 10, 2025100618,   , BEST,   0, 100N,  375W,  35, 1010, DB,  
AL, 10, 2025100700,   , BEST,   0, 106N,  390W,  35, 1009, TS,   
AL, 10, 2025100706,   , BEST,   0, 109N,  409W,  45, 1009, TS,  
AL, 10, 2025100712,   , BEST,   0, 113N,  438W,  55, 1006, TS,  
AL, 10, 2025100718,   , BEST,   0, 118N,  454W,  65, 1003, HU,  
AL, 10, 2025100800,   , BEST,   0, 125N,  477W,  65,  980, HU,  
AL, 10, 2025100806,   , BEST,   0, 130N,  498W,  65, 1003, HU,  
AL, 10, 2025100812,   , BEST,   0, 135N,  518W,  60, 1003, TS,   
AL, 10, 2025100818,   , BEST,   0, 144N,  538W,  60, 1000, TS,  
AL, 10, 2025100900,   , BEST,   0, 149N,  554W,  65,  999, TU,   
AL, 10, 2025100906,   , BEST,   0, 155N,  571W,  65,  999, TU, 
AL, 10, 2025100912,   , BEST,   0, 156N,  585W,  65,  999, TU, 
AL, 10, 2025100918,   , BEST,   0, 167N,  599W,  65, 1001, TU,  
AL, 10, 2025101000,   , BEST,   0, 176N,  611W,  60, 1006, TS, 
AL, 10, 2025101006,   , BEST,   0, 186N,  622W,  55, 1007, TS, 
AL, 10, 2025101012,   , BEST,   0, 196N,  631W,  50, 1006, TS, 
AL, 10, 2025101018,   , BEST,   0, 209N,  635W,  45, 1006, TS, 
AL, 10, 2025101100,   , BEST,   0, 223N,  637W,  50, 1004, TS, 
AL, 10, 2025101106,   , BEST,   0, 239N,  637W,  45, 1005, TS, 
AL, 10, 2025101112,   , BEST,   0, 259N,  637W,  40, 1005, TS, 
AL, 10, 2025101118,   , BEST,   0, 270N,  637W,  40, 1005, DB, 
AL, 10, 2025101200,   , BEST,   0, 280N,  621W,  40, 1005, DB, 
AL, 10, 2025101206,   , BEST,   0, 290N,  611W,  35, 1005, DB, 
