AL, 11, 2025100800,   , BEST,   0, 382N,  358W,  45,  996, EX, 
AL, 11, 2025100806,   , BEST,   0, 400N,  360W,  45,  996, EX, 
AL, 11, 2025100812,   , BEST,   0, 412N,  367W,  45,  996, EX, 
AL, 11, 2025100818,   , BEST,   0, 414N,  368W,  45,  996, EX, 
AL, 11, 2025100900,   , BEST,   0, 419N,  356W,  45,  996, EX, 
AL, 11, 2025100906,   , BEST,   0, 430N,  349W,  45,  996, EX,
AL, 11, 2025100912,   , BEST,   0, 434N,  346W,  45,  996, EX, 
AL, 11, 2025100918,   , BEST,   0, 440N,  344W,  45,  996, EX, 
AL, 11, 2025101000,   , BEST,   0, 444N,  334W,  40,  998, SS, 
AL, 11, 2025101006,   , BEST,   0, 450N,  326W,  40,  998, SS,
AL, 11, 2025101012,   , BEST,   0, 457N,  316W,  40,  998, SS, 
AL, 11, 2025101018,   , BEST,   0, 468N,  306W,  40, 1000, SS, 
