AL, 12, 2025101100,   , BEST,   0,  76N,  250W,  20,    0, DB, 
AL, 12, 2025101106,   , BEST,   0,  77N,  267W,  20,    0, DB,  
AL, 12, 2025101112,   , BEST,   0,  79N,  284W,  25,    0, DB,   
AL, 12, 2025101118,   , BEST,   0,  80N,  301W,  25, 1008, DB,  
AL, 12, 2025101200,   , BEST,   0,  84N,  318W,  25, 1008, DB, 
AL, 12, 2025101206,   , BEST,   0,  92N,  334W,  25, 1008, DB,
AL, 12, 2025101212,   , BEST,   0, 104N,  349W,  30, 1006, DB,  
AL, 12, 2025101218,   , BEST,   0, 117N,  368W,  35, 1006, DB,  
AL, 12, 2025101300,   , BEST,   0, 127N,  387W,  40, 1006, DB,  
AL, 12, 2025101306,   , BEST,   0, 138N,  396W,  40, 1006, TS,  
AL, 12, 2025101312,   , BEST,   0, 145N,  407W,  45, 1002, TS, 
AL, 12, 2025101318,   , BEST,   0, 149N,  413W,  45, 1002, TS,  
AL, 12, 2025101400,   , BEST,   0, 157N,  423W,  55,  999, TS,  
AL, 12, 2025101400,   , BEST,   0, 157N,  423W,  60,  999, TS,  
AL, 12, 2025101406,   , BEST,   0, 170N,  436W,  55, 1000, TS,  
AL, 12, 2025101406,   , BEST,   0, 170N,  436W,  50, 1000, TS, 
AL, 12, 2025101412,   , BEST,   0, 177N,  447W,  40, 1003, TS, 
AL, 12, 2025101418,   , BEST,   0, 184N,  453W,  35, 1005, TS,  
AL, 12, 2025101500,   , BEST,   0, 190N,  456W,  35, 1005, TS,  
AL, 12, 2025101506,   , BEST,   0, 200N,  453W,  35, 1004, TS,  
AL, 12, 2025101512,   , BEST,   0, 208N,  447W,  35, 1005, TS,  
AL, 12, 2025101518,   , BEST,   0, 223N,  433W,  30, 1006, TD,  
AL, 12, 2025101600,   , BEST,   0, 230N,  422W,  30, 1006, DB,  
