CP, 01, 2025072600,   , BEST,   0, 105N, 1409W,  25, 0, LO, 
CP, 01, 2025072606,   , BEST,   0, 107N, 1416W,  25, 0, LO, 
CP, 01, 2025072612,   , BEST,   0, 108N, 1423W,  25, 0, LO, 
CP, 01, 2025072618,   , BEST,   0, 109N, 1431W,  25, 0, LO, 
CP, 01, 2025072700,   , BEST,   0, 109N, 1441W,  25, 0, TD, 
CP, 01, 2025072706,   , BEST,   0, 109N, 1451W,  30, 0, TD, 
CP, 01, 2025072712,   , BEST,   0, 109N, 1460W,  35, 0, TS, 
CP, 01, 2025072718,   , BEST,   0, 109N, 1469W,  45, 0, TS, 
CP, 01, 2025072800,   , BEST,   0, 109N, 1478W,  65, 0, HU, 
CP, 01, 2025072806,   , BEST,   0, 108N, 1488W,  95, 0, HU, 
CP, 01, 2025072812,   , BEST,   0, 107N, 1497W, 100, 0, HU, 
CP, 01, 2025072818,   , BEST,   0, 107N, 1506W, 115, 0, HU, 
CP, 01, 2025072900,   , BEST,   0, 108N, 1516W, 125, 0, HU, 
CP, 01, 2025072906,   , BEST,   0, 108N, 1526W, 130, 0, HU, 
CP, 01, 2025072912,   , BEST,   0, 108N, 1537W, 140, 0, HU, 
CP, 01, 2025072918,   , BEST,   0, 109N, 1550W, 145, 0, HU, 
CP, 01, 2025073000,   , BEST,   0, 110N, 1564W, 140, 0, HU, 
CP, 01, 2025073006,   , BEST,   0, 112N, 1579W, 130, 0, HU, 
CP, 01, 2025073012,   , BEST,   0, 114N, 1596W, 125, 0, HU, 
CP, 01, 2025073018,   , BEST,   0, 116N, 1617W, 115, 0, HU, 
CP, 01, 2025073100,   , BEST,   0, 118N, 1638W, 100, 0, HU, 
CP, 01, 2025073106,   , BEST,   0, 121N, 1659W,  95, 0, HU, 
CP, 01, 2025073112,   , BEST,   0, 125N, 1679W,  90, 0, HU, 
CP, 01, 2025073118,   , BEST,   0, 130N, 1698W,  85, 0, HU, 
CP, 01, 2025080100,   , BEST,   0, 134N, 1717W,  75, 0, HU, 
CP, 01, 2025080106,   , BEST,   0, 136N, 1736W,  65, 0, HU, 
CP, 01, 2025080112,   , BEST,   0, 138N, 1755W,  60, 0, TS,  
CP, 01, 2025080118,   , BEST,   0, 143N, 1763W,  55, 0, TS, 
CP, 01, 2025080200,   , BEST,   0, 149N, 1769W,  45, 0, TS, 
CP, 01, 2025080206,   , BEST,   0, 153N, 1774W,  35, 0, TS,
CP, 01, 2025080212,   , BEST,   0, 159N, 1782W,  30, 0, TD,  
CP, 01, 2025080218,   , BEST,   0, 163N, 1788W,  25, 0, TD,  
CP, 01, 2025080300,   , BEST,   0, 169N, 1795W,  20, 0, DB, 
CP, 01, 2025080306,   , BEST,   0, 174N, 1801W,  20, 0, DB, 
