EP, 04, 2025061218,   , BEST,   0, 111N, 1001W,  30, 0, DB, 
EP, 04, 2025061300,   , BEST,   0, 115N, 1005W,  35, 0, DB, 
EP, 04, 2025061306,   , BEST,   0, 125N, 1008W,  45, 0, TS, 
EP, 04, 2025061312,   , BEST,   0, 134N, 1013W,  55, 0, TS, 
EP, 04, 2025061318,   , BEST,   0, 142N, 1018W,  60, 0, TS, 
EP, 04, 2025061400,   , BEST,   0, 149N, 1025W,  55, 0, TS, 
EP, 04, 2025061406,   , BEST,   0, 156N, 1032W,  60, 0, TS, 
EP, 04, 2025061412,   , BEST,   0, 162N, 1038W,  55, 0, TS, 
EP, 04, 2025061418,   , BEST,   0, 168N, 1045W,  55, 0, TS, 
EP, 04, 2025061500,   , BEST,   0, 175N, 1055W,  55, 0, TS, 
EP, 04, 2025061506,   , BEST,   0, 179N, 1066W,  55, 0, TS, 
EP, 04, 2025061512,   , BEST,   0, 181N, 1074W,  50, 0, TS, 
EP, 04, 2025061518,   , BEST,   0, 183N, 1080W,  40, 0, TS, 
EP, 04, 2025061600,   , BEST,   0, 185N, 1088W,  35, 0, TS, 
EP, 04, 2025061606,   , BEST,   0, 187N, 1097W,  30, 0, LO, 
EP, 04, 2025061612,   , BEST,   0, 188N, 1105W,  25, 0, LO, 
EP, 04, 2025061618,   , BEST,   0, 189N, 1111W,  20, 0, LO, 
EP, 04, 2025061700,   , BEST,   0, 189N, 1117W,  20, 0, LO, 
EP, 04, 2025061706,   , BEST,   0, 190N, 1124W,  15, 0, LO, 
EP, 04, 2025061712,   , BEST,   0, 192N, 1132W,  15, 0, LO, 
EP, 04, 2025061718,   , BEST,   0, 195N, 1140W,  15, 0, LO,  
