EP, 06, 2025062906,   , BEST,   0, 130N,  991W,  25, 0, TD, 
EP, 06, 2025062912,   , BEST,   0, 131N,  996W,  30, 0, TD, 
EP, 06, 2025062918,   , BEST,   0, 134N, 1001W,  35, 0, TS, 
EP, 06, 2025063000,   , BEST,   0, 140N, 1007W,  45, 0, TS, 
EP, 06, 2025063006,   , BEST,   0, 146N, 1014W,  60, 0, TS, 
EP, 06, 2025063012,   , BEST,   0, 153N, 1021W,  65, 0, HU, 
EP, 06, 2025063018,   , BEST,   0, 159N, 1030W,  75, 0, HU, 
EP, 06, 2025070100,   , BEST,   0, 164N, 1039W,  85, 0, HU, 
EP, 06, 2025070106,   , BEST,   0, 168N, 1047W,  85, 0, HU, 
EP, 06, 2025070112,   , BEST,   0, 172N, 1055W,  95, 0, HU, 
EP, 06, 2025070118,   , BEST,   0, 176N, 1063W, 105, 0, HU, 
EP, 06, 2025070200,   , BEST,   0, 180N, 1071W, 115, 0, HU, 
EP, 06, 2025070203,   , BEST,   0, 182N, 1075W, 120, 0, HU, 
EP, 06, 2025070206,   , BEST,   0, 184N, 1079W, 115, 0, HU, 
EP, 06, 2025070212,   , BEST,   0, 188N, 1087W, 105, 0, HU, 
EP, 06, 2025070218,   , BEST,   0, 193N, 1094W,  95, 0, HU, 
EP, 06, 2025070300,   , BEST,   0, 196N, 1099W,  85, 0, HU, 
EP, 06, 2025070306,   , BEST,   0, 200N, 1106W,  75, 0, HU, 
EP, 06, 2025070312,   , BEST,   0, 204N, 1113W,  65, 0, HU, 
EP, 06, 2025070318,   , BEST,   0, 209N, 1120W,  50, 0, TS, 
EP, 06, 2025070400,   , BEST,   0, 216N, 1129W,  45, 0, TS, 
EP, 06, 2025070406,   , BEST,   0, 223N, 1138W,  35, 0, TS, 
EP, 06, 2025070412,   , BEST,   0, 229N, 1148W,  30, 0, TD, 
EP, 06, 2025070418,   , BEST,   0, 234N, 1158W,  25, 0, TD, 
EP, 06, 2025070500,   , BEST,   0, 238N, 1166W,  20, 0, LO, 
EP, 06, 2025070506,   , BEST,   0, 240N, 1173W,  15, 0, LO, 
EP, 06, 2025070512,   , BEST,   0, 241N, 1179W,  15, 0, LO, 
EP, 06, 2025070518,   , BEST,   0, 241N, 1185W,  15, 0, LO,  
EP, 06, 2025070600,   , BEST,   0, 239N, 1192W,  15, 0, LO,
