EP, 08, 2025080118,   , BEST,   0, 110N, 1088W,  20, 0, DB,   
EP, 08, 2025080200,   , BEST,   0, 110N, 1095W,  20, 0, DB, 
EP, 08, 2025080206,   , BEST,   0, 110N, 1102W,  20, 0, DB,   
EP, 08, 2025080212,   , BEST,   0, 110N, 1110W,  20, 0, DB, 
EP, 08, 2025080218,   , BEST,   0, 110N, 1119W,  25, 0, DB,  
EP, 08, 2025080300,   , BEST,   0, 110N, 1128W,  25, 0, DB, 
EP, 08, 2025080306,   , BEST,   0, 114N, 1139W,  30, 0, DB,  
EP, 08, 2025080312,   , BEST,   0, 119N, 1145W,  30, 0, TD,  
EP, 08, 2025080318,   , BEST,   0, 121N, 1153W,  35, 0, TS, 
EP, 08, 2025080400,   , BEST,   0, 124N, 1164W,  50, 0, TS, 
EP, 08, 2025080406,   , BEST,   0, 134N, 1175W,  55, 0, TS,
EP, 08, 2025080412,   , BEST,   0, 141N, 1188W,  65, 0, HU,  
EP, 08, 2025080418,   , BEST,   0, 146N, 1200W,  75, 0, HU,   
EP, 08, 2025080500,   , BEST,   0, 151N, 1212W,  85, 0, HU,   
EP, 08, 2025080506,   , BEST,   0, 157N, 1224W,  95, 0, HU,   
EP, 08, 2025080512,   , BEST,   0, 163N, 1237W, 100, 0, HU,   
EP, 08, 2025080518,   , BEST,   0, 168N, 1249W, 105, 0, HU,  
EP, 08, 2025080600,   , BEST,   0, 174N, 1261W, 100, 0, HU,   
EP, 08, 2025080606,   , BEST,   0, 177N, 1274W,  95, 0, HU,  
EP, 08, 2025080612,   , BEST,   0, 179N, 1289W,  90, 0, HU,   
EP, 08, 2025080618,   , BEST,   0, 180N, 1302W, 100, 0, HU,  
EP, 08, 2025080700,   , BEST,   0, 181N, 1317W, 105, 0, HU,  
EP, 08, 2025080706,   , BEST,   0, 183N, 1331W, 115, 0, HU, 
EP, 08, 2025080712,   , BEST,   0, 185N, 1346W, 130, 0, HU,
EP, 08, 2025080718,   , BEST,   0, 187N, 1361W, 125, 0, HU,  
EP, 08, 2025080800,   , BEST,   0, 189N, 1377W, 115, 0, HU,  
EP, 08, 2025080806,   , BEST,   0, 191N, 1393W, 105, 0, HU, 
EP, 08, 2025080812,   , BEST,   0, 195N, 1408W, 100, 0, HU,   
EP, 08, 2025080818,   , BEST,   0, 198N, 1423W,  95, 0, HU,  
EP, 08, 2025080900,   , BEST,   0, 200N, 1439W,  75, 0, HU,   
EP, 08, 2025080906,   , BEST,   0, 204N, 1451W,  65, 0, HU,   
EP, 08, 2025080912,   , BEST,   0, 211N, 1462W,  55, 0, TS,  
EP, 08, 2025080918,   , BEST,   0, 219N, 1476W,  65, 0, HU,  
EP, 08, 2025081000,   , BEST,   0, 226N, 1486W,  85, 0, HU, 
EP, 08, 2025081006,   , BEST,   0, 234N, 1498W,  95, 0, HU,   
EP, 08, 2025081012,   , BEST,   0, 242N, 1509W, 100, 0, HU,  
EP, 08, 2025081018,   , BEST,   0, 252N, 1519W, 105, 0, HU,    
EP, 08, 2025081100,   , BEST,   0, 262N, 1532W, 115, 0, HU,   
EP, 08, 2025081106,   , BEST,   0, 272N, 1544W, 120, 0, HU,   
EP, 08, 2025081112,   , BEST,   0, 283N, 1558W, 105, 0, HU,  
EP, 08, 2025081118,   , BEST,   0, 293N, 1572W, 100, 0, HU,    
EP, 08, 2025081200,   , BEST,   0, 303N, 1584W,  95, 0, HU,  
EP, 08, 2025081206,   , BEST,   0, 313N, 1596W,  85, 0, HU,  
EP, 08, 2025081212,   , BEST,   0, 323N, 1610W,  75, 0, HU,  
EP, 08, 2025081218,   , BEST,   0, 336N, 1623W,  65, 0, HU,   
EP, 08, 2025081300,   , BEST,   0, 347N, 1637W,  75, 0, HU,  
EP, 08, 2025081306,   , BEST,   0, 360N, 1650W,  80, 0, HU,  
EP, 08, 2025081312,   , BEST,   0, 367N, 1657W,  75, 0, HU,
EP, 08, 2025081318,   , BEST,   0, 374N, 1663W,  65, 0, HU,
EP, 08, 2025081400,   , BEST,   0, 382N, 1669W,  65, 0, EX,
EP, 08, 2025081406,   , BEST,   0, 393N, 1675W,  60, 0, EX,
EP, 08, 2025081412,   , BEST,   0, 403N, 1688W,  55, 0, EX,
EP, 08, 2025081418,   , BEST,   0, 412N, 1695W,  50, 0, EX,
EP, 08, 2025081500,   , BEST,   0, 421N, 1702W,  35, 0, EX,
EP, 08, 2025081506,   , BEST,   0, 429N, 1710W,  25, 0, EX,
EP, 08, 2025081512,   , BEST,   0, 437N, 1717W,  25, 0, EX,
EP, 08, 2025081518,   , BEST,   0, 448N, 1726W,  25, 0, EX,
