EP, 10, 2025082418,   , BEST,   0, 157N, 1093W,  30, 0, TD, 
EP, 10, 2025082500,   , BEST,   0, 161N, 1105W,  30, 0, TD, 
EP, 10, 2025082506,   , BEST,   0, 165N, 1116W,  35, 0, TS, 
EP, 10, 2025082512,   , BEST,   0, 169N, 1128W,  40, 0, TS, 
EP, 10, 2025082518,   , BEST,   0, 173N, 1139W,  50, 0, TS, 
EP, 10, 2025082600,   , BEST,   0, 177N, 1149W,  55, 0, TS, 
EP, 10, 2025082606,   , BEST,   0, 182N, 1156W,  60, 0, TS, 
EP, 10, 2025082612,   , BEST,   0, 187N, 1162W,  65, 0, HU, 
EP, 10, 2025082618,   , BEST,   0, 194N, 1169W,  60, 0, TS, 
EP, 10, 2025082700,   , BEST,   0, 204N, 1178W,  55, 0, TS, 
EP, 10, 2025082706,   , BEST,   0, 214N, 1186W,  50, 0, TS, 
EP, 10, 2025082712,   , BEST,   0, 225N, 1193W,  45, 0, TS, 
EP, 10, 2025082718,   , BEST,   0, 235N, 1200W,  40, 0, TS, 
EP, 10, 2025082800,   , BEST,   0, 244N, 1206W,  40, 0, TS, 
EP, 10, 2025082806,   , BEST,   0, 251N, 1207W,  35, 0, TS, 
EP, 10, 2025082812,   , BEST,   0, 255N, 1207W,  30, 0, TD, 
EP, 10, 2025082818,   , BEST,   0, 258N, 1208W,  30, 0, LO, 
EP, 10, 2025082900,   , BEST,   0, 259N, 1211W,  25, 0, LO, 
EP, 10, 2025082906,   , BEST,   0, 259N, 1214W,  25, 0, LO, 
EP, 10, 2025082912,   , BEST,   0, 258N, 1218W,  20, 0, LO, 
EP, 10, 2025082918,   , BEST,   0, 256N, 1222W,  20, 0, LO, 
EP, 10, 2025083000,   , BEST,   0, 253N, 1227W,  15, 0, LO,  
