EP, 12, 2025083112,   , BEST,   0, 133N,  967W,  25, 0, DB,  
EP, 12, 2025083118,   , BEST,   0, 139N,  982W,  25, 0, DB,   
EP, 12, 2025090100,   , BEST,   0, 145N,  998W,  25, 0, DB,   
EP, 12, 2025090106,   , BEST,   0, 153N, 1011W,  25, 0, DB,  
EP, 12, 2025090118,   , BEST,   0, 165N, 1035W,  30, 0, DB,  
EP, 12, 2025090200,   , BEST,   0, 170N, 1048W,  30, 0, DB,  
EP, 12, 2025090206,   , BEST,   0, 173N, 1063W,  30, 0, TD, 
EP, 12, 2025090212,   , BEST,   0, 180N, 1074W,  35, 0, TS,  
EP, 12, 2025090218,   , BEST,   0, 189N, 1083W,  45, 0, TS,  
EP, 12, 2025090300,   , BEST,   0, 198N, 1092W,  55, 0, TS,  
EP, 12, 2025090306,   , BEST,   0, 207N, 1100W,  60, 0, TS,  
EP, 12, 2025090312,   , BEST,   0, 220N, 1111W,  65, 0, HU,  
EP, 12, 2025090318,   , BEST,   0, 225N, 1121W,  70, 0, HU,  
EP, 12, 2025090400,   , BEST,   0, 231N, 1129W,  85, 0, HU,   
EP, 12, 2025090406,   , BEST,   0, 237N, 1135W,  90, 0, HU, 
EP, 12, 2025090412,   , BEST,   0, 240N, 1141W,  95, 0, HU, 
EP, 12, 2025090418,   , BEST,   0, 244N, 1146W,  85, 0, HU,  
EP, 12, 2025090500,   , BEST,   0, 245N, 1150W,  80, 0, HU, 
EP, 12, 2025090506,   , BEST,   0, 244N, 1155W,  75, 0, HU,
EP, 12, 2025090512,   , BEST,   0, 249N, 1162W,  70, 0, HU,
EP, 12, 2025090518,   , BEST,   0, 252N, 1178W,  65, 0, HU,
EP, 12, 2025090600,   , BEST,   0, 259N, 1188W,  50, 0, TS,
EP, 12, 2025090606,   , BEST,   0, 256N, 1182W,  45, 0, TS,
EP, 12, 2025090612,   , BEST,   0, 250N, 1179W,  35, 0, TS,
EP, 12, 2025090618,   , BEST,   0, 245N, 1172W,  35, 0, LO,
EP, 12, 2025090700,   , BEST,   0, 241N, 1168W,  25, 0, LO,
