EP, 14, 2025092106,   , BEST,   0, 133N,  983W,  25, 0, TD,
EP, 14, 2025092112,   , BEST,   0, 138N,  987W,  30, 0, TD, 
EP, 14, 2025092118,   , BEST,   0, 144N,  994W,  35, 0, TS, 
EP, 14, 2025092200,   , BEST,   0, 151N, 1001W,  35, 0, TS, 
EP, 14, 2025092206,   , BEST,   0, 154N, 1012W,  55, 0, TS, 
EP, 14, 2025092212,   , BEST,   0, 157N, 1023W,  65, 0, HU, 
EP, 14, 2025092218,   , BEST,   0, 159N, 1034W,  70, 0, HU, 
EP, 14, 2025092300,   , BEST,   0, 161N, 1045W,  85, 0, HU, 
EP, 14, 2025092306,   , BEST,   0, 158N, 1056W,  95, 0, HU, 
EP, 14, 2025092312,   , BEST,   0, 155N, 1067W, 100, 0, HU, 
EP, 14, 2025092318,   , BEST,   0, 154N, 1078W, 100, 0, HU, 
EP, 14, 2025092400,   , BEST,   0, 153N, 1088W, 115, 0, HU, 
EP, 14, 2025092406,   , BEST,   0, 152N, 1099W, 115, 0, HU, 
EP, 14, 2025092412,   , BEST,   0, 151N, 1109W, 110, 0, HU, 
EP, 14, 2025092418,   , BEST,   0, 152N, 1119W, 105, 0, HU, 
EP, 14, 2025092500,   , BEST,   0, 153N, 1129W, 100, 0, HU, 
EP, 14, 2025092506,   , BEST,   0, 156N, 1143W,  95, 0, HU, 
EP, 14, 2025092512,   , BEST,   0, 159N, 1158W,  90, 0, HU, 
EP, 14, 2025092518,   , BEST,   0, 161N, 1173W,  85, 0, HU, 
EP, 14, 2025092600,   , BEST,   0, 163N, 1187W,  85, 0, HU, 
EP, 14, 2025092606,   , BEST,   0, 165N, 1200W,  85, 0, HU, 
EP, 14, 2025092612,   , BEST,   0, 167N, 1213W,  90, 0, HU, 
EP, 14, 2025092618,   , BEST,   0, 169N, 1222W,  95, 0, HU, 
EP, 14, 2025092700,   , BEST,   0, 172N, 1231W, 100, 0, HU, 
EP, 14, 2025092706,   , BEST,   0, 175N, 1240W, 115, 0, HU, 
EP, 14, 2025092712,   , BEST,   0, 178N, 1247W, 120, 0, HU, 
EP, 14, 2025092718,   , BEST,   0, 182N, 1252W, 115, 0, HU, 
EP, 14, 2025092800,   , BEST,   0, 185N, 1255W, 105, 0, HU, 
EP, 14, 2025092806,   , BEST,   0, 189N, 1256W,  95, 0, HU, 
EP, 14, 2025092812,   , BEST,   0, 194N, 1256W,  85, 0, HU, 
EP, 14, 2025092818,   , BEST,   0, 201N, 1255W,  75, 0, HU, 
EP, 14, 2025092900,   , BEST,   0, 207N, 1252W,  65, 0, HU, 
EP, 14, 2025092906,   , BEST,   0, 210N, 1250W,  55, 0, TS, 
EP, 14, 2025092912,   , BEST,   0, 213N, 1249W,  45, 0, TS, 
EP, 14, 2025092918,   , BEST,   0, 215N, 1247W,  35, 0, TS, 
EP, 14, 2025093000,   , BEST,   0, 214N, 1244W,  30, 0, TD, 
EP, 14, 2025093006,   , BEST,   0, 213N, 1246W,  25, 0, LO, 
EP, 14, 2025093012,   , BEST,   0, 216N, 1246W,  25, 0, LO, 
EP, 14, 2025093018,   , BEST,   0, 217N, 1248W,  20, 0, LO, 
EP, 14, 2025100100,   , BEST,   0, 217N, 1250W,  20, 0, LO, 
