EP, 17, 2025100806,   , BEST,   0, 132N,  976W,  30, 0, DB, 
EP, 17, 2025100812,   , BEST,   0, 136N,  978W,  30, 0, DB, 
EP, 17, 2025100818,   , BEST,   0, 140N,  980W,  25, 0, DB, 
EP, 17, 2025100900,   , BEST,   0, 144N,  982W,  25, 0, DB, 
EP, 17, 2025100906,   , BEST,   0, 150N,  989W,  30, 0, TD,  
EP, 17, 2025100912,   , BEST,   0, 155N, 1000W,  35, 0, TS,  
EP, 17, 2025100918,   , BEST,   0, 159N, 1010W,  45, 0, TS,
EP, 17, 2025101000,   , BEST,   0, 163N, 1019W,  55, 0, TS,  
EP, 17, 2025101006,   , BEST,   0, 171N, 1029W,  60, 0, TS, 
EP, 17, 2025101006,   , BEST,   0, 171N, 1029W,  55, 0, TS, 
EP, 17, 2025101012,   , BEST,   0, 179N, 1043W,  50, 0, TS, 
EP, 17, 2025101012,   , BEST,   0, 179N, 1043W,  50, 0, TS, 
EP, 17, 2025101018,   , BEST,   0, 186N, 1059W,  45, 0, TS, 
EP, 17, 2025101100,   , BEST,   0, 197N, 1072W,  45, 0, TS, 
EP, 17, 2025101106,   , BEST,   0, 205N, 1085W,  45, 0, TS, 
EP, 17, 2025101112,   , BEST,   0, 211N, 1090W,  40, 0, TS, 
EP, 17, 2025101118,   , BEST,   0, 219N, 1097W,  35, 0, TS, 
EP, 17, 2025101200,   , BEST,   0, 228N, 1100W,  35, 0, TS,  
EP, 17, 2025101206,   , BEST,   0, 237N, 1107W,  25, 0, TD,  
EP, 17, 2025101212,   , BEST,   0, 243N, 1112W,  20, 0, EX,  
EP, 17, 2025101218,   , BEST,   0, 248N, 1118W,  20, 0, EX, 
