EP, 18, 2025102212,   , BEST,   0, 103N, 1049W,  15, 0, DB,  
EP, 18, 2025102218,   , BEST,   0, 103N, 1058W,  15, 0, DB,  
EP, 18, 2025102300,   , BEST,   0, 108N, 1071W,  15, 0, DB,  
EP, 18, 2025102306,   , BEST,   0, 115N, 1087W,  15, 0, DB,  
EP, 18, 2025102312,   , BEST,   0, 120N, 1100W,  20, 0, DB,  
EP, 18, 2025102318,   , BEST,   0, 127N, 1111W,  25, 0, DB,  
EP, 18, 2025102400,   , BEST,   0, 130N, 1122W,  25, 0, DB,  
EP, 18, 2025102406,   , BEST,   0, 131N, 1133W,  30, 0, DB,   
EP, 18, 2025102412,   , BEST,   0, 132N, 1144W,  30, 0, DB,   
EP, 18, 2025102418,   , BEST,   0, 132N, 1156W,  30, 0, TD,  
EP, 18, 2025102500,   , BEST,   0, 132N, 1163W,  30, 0, TD,  
EP, 18, 2025102506,   , BEST,   0, 133N, 1171W,  35, 0, TS, 
EP, 18, 2025102512,   , BEST,   0, 134N, 1178W,  45, 0, TS, 
EP, 18, 2025102518,   , BEST,   0, 135N, 1186W,  50, 0, TS, 
EP, 18, 2025102600,   , BEST,   0, 135N, 1191W,  55, 0, TS, 
EP, 18, 2025102606,   , BEST,   0, 135N, 1193W,  50, 0, TS, 
EP, 18, 2025102612,   , BEST,   0, 136N, 1195W,  45, 0, TS, 
EP, 18, 2025102618,   , BEST,   0, 137N, 1196W,  40, 0, TS, 
EP, 18, 2025102700,   , BEST,   0, 140N, 1197W,  40, 0, TS, 
EP, 18, 2025102706,   , BEST,   0, 141N, 1203W,  40, 0, TS, 
EP, 18, 2025102712,   , BEST,   0, 139N, 1208W,  40, 0, TS, 
EP, 18, 2025102718,   , BEST,   0, 140N, 1213W,  35, 0, TS, 
EP, 18, 2025102800,   , BEST,   0, 143N, 1218W,  35, 0, TS,  
EP, 18, 2025102806,   , BEST,   0, 147N, 1224W,  40, 0, TS, 
EP, 18, 2025102812,   , BEST,   0, 150N, 1231W,  40, 0, TS, 
EP, 18, 2025102818,   , BEST,   0, 152N, 1239W,  40, 0, TS,  
EP, 18, 2025102900,   , BEST,   0, 154N, 1248W,  35, 0, TS,  
EP, 18, 2025102906,   , BEST,   0, 153N, 1256W,  30, 0, LO,
