IO, 01, 2025092912,   , BEST,   0, 142N,  905E,  20, 1001, DB, 
IO, 01, 2025092918,   , BEST,   0, 149N,  893E,  25, 1001, DB, 
IO, 01, 2025093000,   , BEST,   0, 152N,  885E,  25, 1001, TD, 
IO, 01, 2025093006,   , BEST,   0, 149N,  879E,  25, 1000, TD,  
IO, 01, 2025093012,   , BEST,   0, 147N,  872E,  25,  998, TD,  
IO, 01, 2025093018,   , BEST,   0, 148N,  867E,  30,  998, TD,  
IO, 01, 2025100100,   , BEST,   0, 154N,  868E,  30,  998, TD, 
IO, 01, 2025100106,   , BEST,   0, 159N,  865E,  35,  997, TS,  
IO, 01, 2025100112,   , BEST,   0, 165N,  860E,  35,  994, TS,
IO, 01, 2025100118,   , BEST,   0, 167N,  855E,  35,  994, TS, 
IO, 01, 2025100200,   , BEST,   0, 175N,  855E,  35,  994, TS, 
IO, 01, 2025100206,   , BEST,   0, 186N,  850E,  35,  995, TS, 
IO, 01, 2025100212,   , BEST,   0, 195N,  845E,  35,  995, TS, 
IO, 01, 2025100218,   , BEST,   0, 204N,  841E,  35,  995, TS, 
IO, 01, 2025100300,   , BEST,   0, 212N,  837E,  30,  996, TD,
IO, 01, 2025100306,   , BEST,   0, 219N,  841E,  25,  996, TD,
IO, 01, 2025100312,   , BEST,   0, 222N,  849E,  25,  996, DB,
IO, 01, 2025100318,   , BEST,   0, 227N,  853E,  20,  996, DB,
