IO, 02, 2025092906,   , BEST,   0, 215N,  725E,  25, 1000, TD, 
IO, 02, 2025092912,   , BEST,   0, 225N,  716E,  25, 1000, TD,  
IO, 02, 2025092918,   , BEST,   0, 231N,  708E,  25, 1000, TD, 
IO, 02, 2025093000,   , BEST,   0, 230N,  700E,  25, 1000, TD, 
IO, 02, 2025093006,   , BEST,   0, 227N,  696E,  25,  999, TD, 
IO, 02, 2025093012,   , BEST,   0, 223N,  692E,  25,  997, TD, 
IO, 02, 2025093018,   , BEST,   0, 222N,  689E,  25,  997, TD, 
IO, 02, 2025100100,   , BEST,   0, 221N,  688E,  25,  997, TD, 
IO, 02, 2025100106,   , BEST,   0, 220N,  686E,  25,  997, TD, 
IO, 02, 2025100112,   , BEST,   0, 215N,  682E,  25,  996, TD,  
IO, 02, 2025100118,   , BEST,   0, 211N,  683E,  25,  996, TD, 
IO, 02, 2025100200,   , BEST,   0, 210N,  682E,  30,  998, TD, 
IO, 02, 2025100206,   , BEST,   0, 211N,  680E,  30,  998, TD, 
IO, 02, 2025100212,   , BEST,   0, 213N,  678E,  30,  995, TD, 
IO, 02, 2025100218,   , BEST,   0, 214N,  675E,  30,  997, TD,  
IO, 02, 2025100300,   , BEST,   0, 215N,  672E,  35,  996, TS, 
IO, 02, 2025100306,   , BEST,   0, 217N,  667E,  45,  993, TS, 
IO, 02, 2025100312,   , BEST,   0, 220N,  662E,  60,  995, TS, 
IO, 02, 2025100318,   , BEST,   0, 221N,  656E,  65,  991, TY, 
IO, 02, 2025100318,   , BEST,   0, 221N,  656E,  95,  991, TY, 
IO, 02, 2025100400,   , BEST,   0, 222N,  647E, 105,  988, TY, 
IO, 02, 2025100406,   , BEST,   0, 216N,  641E, 115,  950, TY, 
IO, 02, 2025100412,   , BEST,   0, 214N,  634E, 100,  982, TY, 
IO, 02, 2025100418,   , BEST,   0, 211N,  625E,  90,  979, TY,
IO, 02, 2025100500,   , BEST,   0, 207N,  619E,  85,  978, TY, 
IO, 02, 2025100506,   , BEST,   0, 204N,  613E,  75,  984, TY, 
IO, 02, 2025100512,   , BEST,   0, 200N,  608E,  65,  984, TY, 
IO, 02, 2025100518,   , BEST,   0, 199N,  605E,  65,  987, TY, 
IO, 02, 2025100600,   , BEST,   0, 199N,  606E,  55,  992, TS, 
IO, 02, 2025100606,   , BEST,   0, 198N,  604E,  40,  998, TS,  
IO, 02, 2025100612,   , BEST,   0, 198N,  601E,  35,  998, TS,  
IO, 02, 2025100618,   , BEST,   0, 195N,  598E,  25, 1004, TD, 
IO, 02, 2025100700,   , BEST,   0, 191N,  603E,  25, 1001, TD, 
IO, 02, 2025100706,   , BEST,   0, 190N,  607E,  25, 1004, TD,  
IO, 02, 2025100712,   , BEST,   0, 191N,  613E,  25, 1004, TD,  
IO, 02, 2025100718,   , BEST,   0, 191N,  618E,  25, 1004, TD, 
IO, 02, 2025100800,   , BEST,   0, 190N,  618E,  25, 1004, TD,  
IO, 02, 2025100806,   , BEST,   0, 192N,  622E,  25, 1004, TD,  
IO, 02, 2025100812,   , BEST,   0, 187N,  619E,  25, 1004, TD, 
IO, 02, 2025100818,   , BEST,   0, 185N,  617E,  20, 1004, DB,  
IO, 02, 2025100900,   , BEST,   0, 182N,  615E,  20, 1004, DB,
IO, 02, 2025100906,   , BEST,   0, 180N,  615E,  20, 1008, DB, 
IO, 02, 2025100912,   , BEST,   0, 177N,  614E,  20, 1008, DB,  
IO, 02, 2025100918,   , BEST,   0, 175N,  609E,  20, 1008, DB, 
IO, 02, 2025101000,   , BEST,   0, 171N,  606E,  20, 1010, DB,   
IO, 02, 2025101006,   , BEST,   0, 168N,  603E,  20, 1010, DB, 
IO, 02, 2025101012,   , BEST,   0, 165N,  601E,  20, 1010, DB,
IO, 02, 2025101018,   , BEST,   0, 160N,  598E,  20, 1007, DB, 
IO, 02, 2025101100,   , BEST,   0, 159N,  592E,  20, 1007, DB,  
IO, 02, 2025101106,   , BEST,   0, 155N,  588E,  25, 1007, TD, 
IO, 02, 2025101112,   , BEST,   0, 154N,  584E,  35, 1007, TS, 
IO, 02, 2025101118,   , BEST,   0, 162N,  580E,  45, 1007, TS, 
IO, 02, 2025101200,   , BEST,   0, 168N,  574E,  60, 1007, TS,
IO, 02, 2025101206,   , BEST,   0, 174N,  570E,  65, 1007, TY,
IO, 02, 2025101212,   , BEST,   0, 180N,  565E,  85, 1007, TY,
IO, 02, 2025101218,   , BEST,   0, 186N,  559E,  75, 1007, TY,
IO, 02, 2025101300,   , BEST,   0, 193N,  552E,  60, 1007, TS,
IO, 02, 2025101306,   , BEST,   0, 198N,  548E,  35, 1007, DB,
