IO, 05, 2025112418,   , BEST,   0,  52N,  787E,  25, 0, TD, 
IO, 05, 2025112500,   , BEST,   0,  50N,  790E,  25, 0, TD, 
IO, 05, 2025112506,   , BEST,   0,  50N,  795E,  25, 0, TD, 
IO, 05, 2025112512,   , BEST,   0,  50N,  799E,  25, 0, TD,  
IO, 05, 2025112518,   , BEST,   0,  50N,  808E,  25, 0, TD,  
IO, 05, 2025112600,   , BEST,   0,  53N,  813E,  35, 0, TS,  
IO, 05, 2025112606,   , BEST,   0,  56N,  816E,  55, 0, TS, 
IO, 05, 2025112612,   , BEST,   0,  59N,  818E,  65, 0, TY,  
IO, 05, 2025112618,   , BEST,   0,  63N,  821E,  70, 0, TY,  
IO, 05, 2025112700,   , BEST,   0,  66N,  822E,  95, 0, TY, 
IO, 05, 2025112706,   , BEST,   0,  71N,  821E,  115, 0, TY,
IO, 05, 2025112712,   , BEST,   0,  76N,  817E,  120, 0, TY, 
IO, 05, 2025112718,   , BEST,   0,  79N,  813E,  95, 0, TY, 
IO, 05, 2025112800,   , BEST,   0,  81N,  811E,  75, 0, TY, 
IO, 05, 2025112806,   , BEST,   0,  83N,  810E,  65, 0, TY, 
IO, 05, 2025112812,   , BEST,   0,  86N,  809E,  55, 0, TS, 
IO, 05, 2025112818,   , BEST,   0,  89N,  808E,  55, 0, TS,  
IO, 05, 2025112900,   , BEST,   0,  93N,  808E,  45, 0, TS,  
IO, 05, 2025112906,   , BEST,   0,  97N,  808E,  35, 0, TS,  
IO, 05, 2025112912,   , BEST,   0, 101N,  808E,  35, 0, TS,  
IO, 05, 2025112918,   , BEST,   0, 105N,  808E,  40, 0, TS,  
IO, 05, 2025113000,   , BEST,   0, 109N,  808E,  60, 0, TS,  
IO, 05, 2025113006,   , BEST,   0, 113N,  808E,  65, 0, TY,  
IO, 05, 2025113012,   , BEST,   0, 117N,  810E,  85, 0, TY,  
IO, 05, 2025113018,   , BEST,   0, 122N,  812E,  90, 0, TY, 
IO, 05, 2025120100,   , BEST,   0, 126N,  811E,  85, 0, TY, 
IO, 05, 2025120106,   , BEST,   0, 128N,  812E,  75, 0, TY, 
IO, 05, 2025120112,   , BEST,   0, 128N,  810E,  65, 0, TY, 
IO, 05, 2025120118,   , BEST,   0, 124N,  812E,  60, 0, TS, 
IO, 05, 2025120200,   , BEST,   0, 124N,  810E,  55, 0, TS, 
IO, 05, 2025120206,   , BEST,   0, 123N,  808E,  40, 0, TS, 
IO, 05, 2025120212,   , BEST,   0, 122N,  806E,  35, 0, TS, 
IO, 05, 2025120218,   , BEST,   0, 120N,  802E,  25, 0, TD, 
IO, 05, 2025120300,   , BEST,   0, 121N,  795E,  20, 0, DB, 
IO, 05, 2025120306,   , BEST,   0, 119N,  790E,  20, 0, DB,
