WP, 34, 2025112318,   , BEST,   0,  43N, 1005E,  25, 0, TD, 
WP, 34, 2025112400,   , BEST,   0,  45N, 1003E,  30, 0, TS,  
WP, 34, 2025112406,   , BEST,   0,  47N, 1001E,  35, 0, TS,  
WP, 34, 2025112412,   , BEST,   0,  46N, 1001E,  45, 0, TS,  
WP, 34, 2025112418,   , BEST,   0,  45N, 1001E,  60, 0, TS,  
WP, 34, 2025112500,   , BEST,   0,  45N,  999E,  70, 0, TY,  
WP, 34, 2025112506,   , BEST,   0,  46N,  994E,  90, 0, TY, 
WP, 34, 2025112512,   , BEST,   0,  46N,  991E,  120, 0, TY, 
WP, 34, 2025112518,   , BEST,   0,  45N,  984E,  145, 0, TY,  
WP, 34, 2025112600,   , BEST,   0,  43N,  981E,  145, 0, TY,
WP, 34, 2025112606,   , BEST,   0,  39N,  982E,  130, 0, TY,  
WP, 34, 2025112612,   , BEST,   0,  37N,  986E,  115, 0, TY,  
WP, 34, 2025112618,   , BEST,   0,  36N,  993E,  95, 0, TY,  
WP, 34, 2025112700,   , BEST,   0,  36N,  999E,  75, 0, TY,  
WP, 34, 2025112706,   , BEST,   0,  36N, 1004E,  65, 0, TY, 
WP, 34, 2025112712,   , BEST,   0,  36N, 1009E,  55, 0, TS,  
WP, 34, 2025112718,   , BEST,   0,  37N, 1018E,  50, 0, TS,  
WP, 34, 2025112800,   , BEST,   0,  37N, 1026E,  40, 0, TS,  
WP, 34, 2025112806,   , BEST,   0,  38N, 1037E,  40, 0, TY,  
WP, 34, 2025112812,   , BEST,   0,  43N, 1045E,  65, 0, TY,  
WP, 34, 2025112818,   , BEST,   0,  45N, 1051E,  85, 0, TY,  
WP, 34, 2025112900,   , BEST,   0,  47N, 1060E,  110, 0, TY, 
WP, 34, 2025112906,   , BEST,   0,  48N, 1069E,  120, 0, TY,  
WP, 34, 2025112912,   , BEST,   0,  52N, 1076E,  140, 0, TY, 
WP, 34, 2025112918,   , BEST,   0,  56N, 1084E,  125, 0, TY, 
WP, 34, 2025113000,   , BEST,   0,  64N, 1089E,  95, 0, TY,  
WP, 34, 2025113006,   , BEST,   0,  72N, 1093E,  70, 0, TY, 
WP, 34, 2025113012,   , BEST,   0,  81N, 1099E,  50, 0, TS, 
WP, 34, 2025113018,   , BEST,   0,  87N, 1106E,  45, 0, TS, 
WP, 34, 2025120100,   , BEST,   0,  90N, 1111E,  35, 0, TS, 
WP, 34, 2025120106,   , BEST,   0,  94N, 1118E,  25, 0, TD, 
WP, 34, 2025120112,   , BEST,   0,  102N, 1125E,  15, 0, DB, 
WP, 34, 2025120118,   , BEST,   0,  105N, 1120E,  15, 0, DB, 
