WP, 01, 2025060318,   , BEST,   0,  67N, 1411E,  15, 1008, DB,   
WP, 01, 2025060400,   , BEST,   0,  69N, 1406E,  15, 1008, DB,    
WP, 01, 2025060406,   , BEST,   0,  72N, 1401E,  15, 1008, DB,   
WP, 01, 2025060412,   , BEST,   0,  77N, 1392E,  15, 1007, DB,  
WP, 01, 2025060418,   , BEST,   0,  88N, 1377E,  20, 1000, DB,
WP, 01, 2025060500,   , BEST,   0, 101N, 1362E,  20, 999, TD,  
WP, 01, 2025060506,   , BEST,   0, 107N, 1357E,  25, 999, TD,   
WP, 01, 2025060512,   , BEST,   0, 110N, 1349E,  25, 998, TD,    
WP, 01, 2025060518,   , BEST,   0, 119N, 1327E,  30, 1000, TD, 
WP, 01, 2025060600,   , BEST,   0, 131N, 1303E,  35, 999, MD,    
WP, 01, 2025060606,   , BEST,   0, 136N, 1280E,  30, 999, MD, 
WP, 01, 2025060612,   , BEST,   0, 138N, 1262E,  25, 1000, MD,  
WP, 01, 2025060618,   , BEST,   0, 134N, 1264E,  25, 1005, MD,   
WP, 01, 2025060700,   , BEST,   0, 133N, 1265E,  25, 1007, MD,   
WP, 01, 2025060706,   , BEST,   0, 135N, 1265E,  25, 1006, MD,    
WP, 01, 2025060712,   , BEST,   0, 143N, 1259E,  25, 1006, MD,   
WP, 01, 2025060718,   , BEST,   0, 148N, 1246E,  25, 1006, MD,  
WP, 01, 2025060800,   , BEST,   0, 152N, 1233E,  15, 1006, DB,   
WP, 01, 2025060806,   , BEST,   0, 155N, 1222E,  15, 1007, DB,    
WP, 01, 2025060812,   , BEST,   0, 160N, 1210E,  25, 1006, DB,   
WP, 01, 2025060818,   , BEST,   0, 163N, 1192E,  15, 1004, DB,    
WP, 01, 2025060900,   , BEST,   0, 164N, 1173E,  15, 1004, DB,    
WP, 01, 2025060906,   , BEST,   0, 163N, 1168E,  15, 1002, DB,   
WP, 01, 2025060912,   , BEST,   0, 159N, 1160E,  15, 1002, DB,  
WP, 01, 2025060918,   , BEST,   0, 155N, 1155E,  15, 1001, DB,  
WP, 01, 2025061000,   , BEST,   0, 152N, 1148E,  20,  999, DB,    
WP, 01, 2025061006,   , BEST,   0, 154N, 1142E,  30,  997, TD, 
WP, 01, 2025061012,   , BEST,   0, 152N, 1141E,  30,  996, TD,    
WP, 01, 2025061018,   , BEST,   0, 152N, 1143E,  30,  996, TD,    
WP, 01, 2025061100,   , BEST,   0, 162N, 1139E,  35,  995, TS,   
WP, 01, 2025061106,   , BEST,   0, 164N, 1124E,  35,  995, TS,   
WP, 01, 2025061112,   , BEST,   0, 163N, 1114E,  35,  990, TS,    
WP, 01, 2025061118,   , BEST,   0, 165N, 1109E,  40,  993, TS,  
WP, 01, 2025061200,   , BEST,   0, 171N, 1102E,  45,  996, TS,   
WP, 01, 2025061206,   , BEST,   0, 173N, 1098E,  50,  988, TS,  
WP, 01, 2025061206,   , BEST,   0, 173N, 1098E,  50,  988, TS,  
WP, 01, 2025061212,   , BEST,   0, 174N, 1093E,  60,  982, TS, 
WP, 01, 2025061218,   , BEST,   0, 177N, 1090E,  65,  986, TY,  
WP, 01, 2025061300,   , BEST,   0, 182N, 1086E,  70,  983, TY,  
WP, 01, 2025061306,   , BEST,   0, 186N, 1083E,  85,  983, TY,   
WP, 01, 2025061312,   , BEST,   0, 188N, 1084E,  90,  966, TY,  
WP, 01, 2025061318,   , BEST,   0, 197N, 1089E,  85,  981, TY,  
WP, 01, 2025061400,   , BEST,   0, 203N, 1091E,  85,  975, TY,  
WP, 01, 2025061406,   , BEST,   0, 212N, 1098E,  85,  970, TY,  
WP, 01, 2025061412,   , BEST,   0, 223N, 1105E,  70,  980, TY,  
WP, 01, 2025061418,   , BEST,   0, 233N, 1114E,  65,  975, TY,  
WP, 01, 2025061500,   , BEST,   0, 243N, 1124E,  50,  998, TS,  
WP, 01, 2025061506,   , BEST,   0, 253N, 1143E,  35,  999, TS,  
WP, 01, 2025061512,   , BEST,   0, 266N, 1166E,  35, 1003, DB,  
WP, 01, 2025061518,   , BEST,   0, 281N, 1199E,  25, 1000, DB, 
WP, 01, 2025061600,   , BEST,   0, 288N, 1222E,  15, 1000, DB, 
WP, 01, 2025061606,   , BEST,   0, 292N, 1227E,  15, 1003, DB, 
WP, 01, 2025061612,   , BEST,   0, 300N, 1232E,  25, 1000, DB, 
WP, 01, 2025061618,   , BEST,   0, 308N, 1239E,  30, 999, TD, 
WP, 01, 2025061700,   , BEST,   0, 316N, 1243E,  45, 992, TS, 
WP, 01, 2025061706,   , BEST,   0, 322N, 1250E,  55, 991, TS,
WP, 01, 2025061712,   , BEST,   0, 329N, 1258E,  60, 988, TS,
WP, 01, 2025061718,   , BEST,   0, 337N, 1266E,  65, 980, TY,
WP, 01, 2025061800,   , BEST,   0, 346N, 1274E,  65, 979, TY,
WP, 01, 2025061806,   , BEST,   0, 359N, 1286E,  60, 985, TS,
WP, 01, 2025061812,   , BEST,   0, 366N, 1294E,  40, 990, TS,
WP, 01, 2025061818,   , BEST,   0, 373N, 1299E,  35, 990, EX,
WP, 01, 2025061900,   , BEST,   0, 384N, 1305E,  15, 1003, EX,
WP, 01, 2025061906,   , BEST,   0, 396N, 1312E,  15, 1006, EX,
