WP, 05, 2025062712,   , BEST,   0, 133N, 1416E, 15, 1007, DB,
WP, 05, 2025062718,   , BEST,   0, 137N, 1405E, 15, 1007, DB,
WP, 05, 2025062800,   , BEST,   0, 144N, 1395E, 15, 1007, DB, 
WP, 05, 2025062806,   , BEST,   0, 146N, 1387E, 15, 1007, DB,
WP, 05, 2025062812,   , BEST,   0, 149N, 1381E, 15, 1007, DB,
WP, 05, 2025062818,   , BEST,   0, 150N, 1374E, 15, 1004, DB,
WP, 05, 2025062900,   , BEST,   0, 151N, 1366E, 15, 1004, DB, 
WP, 05, 2025062906,   , BEST,   0, 150N, 1358E, 15, 1004, DB, 
WP, 05, 2025062912,   , BEST,   0, 150N, 1348E, 20, 1004, DB, 
WP, 05, 2025062918,   , BEST,   0, 152N, 1341E, 20, 1004, DB, 
WP, 05, 2025063000,   , BEST,   0, 152N, 1325E, 20, 1004, DB, 
WP, 05, 2025063006,   , BEST,   0, 147N, 1302E, 15, 1005, DB,
WP, 05, 2025063012,   , BEST,   0, 147N, 1285E, 15, 1005, DB,
WP, 05, 2025063018,   , BEST,   0, 150N, 1274E, 15, 1005, DB,
WP, 05, 2025070100,   , BEST,   0, 159N, 1268E, 15, 1005, DB,
WP, 05, 2025070106,   , BEST,   0, 167N, 1257E, 15, 1006, DB, 
WP, 05, 2025070112,   , BEST,   0, 167N, 1244E, 15, 1006, DB,
WP, 05, 2025070118,   , BEST,   0, 170N, 1242E, 20, 1005, DB,
WP, 05, 2025070200,   , BEST,   0, 174N, 1241E, 20, 1006, DB,
WP, 05, 2025070206,   , BEST,   0, 178N, 1238E, 20, 1006, DB,
WP, 05, 2025070212,   , BEST,   0, 182N, 1231E, 20, 1006, DB,
WP, 05, 2025070218,   , BEST,   0, 190N, 1230E, 20, 1004, DB,
WP, 05, 2025070300,   , BEST,   0, 197N, 1224E, 20, 1005, DB, 
WP, 05, 2025070306,   , BEST,   0, 204N, 1218E, 20, 1005, DB,
WP, 05, 2025070312,   , BEST,   0, 202N, 1204E,  25, 1005, DB, 
WP, 05, 2025070318,   , BEST,   0, 200N, 1194E,  30, 1004, DB,
WP, 05, 2025070400,   , BEST,   0, 197N, 1187E,  35, 1001, TD,
WP, 05, 2025070400,   , BEST,   0, 197N, 1187E,  45, 995, TD,
WP, 05, 2025070412,   , BEST,   0, 201N, 1178E,  60,  983, TS,
WP, 05, 2025070418,   , BEST,   0, 200N, 1176E,  75,  977, TS, 
WP, 05, 2025070500,   , BEST,   0, 203N, 1177E,  80,  974, TS, 
WP, 05, 2025070506,   , BEST,   0, 205N, 1179E,  90,  962, TS, 
WP, 05, 2025070512,   , BEST,   0, 208N, 1179E, 100,  966, TS,
WP, 05, 2025070518,   , BEST,   0, 210N, 1180E, 105,  964, TY,
WP, 05, 2025070600,   , BEST,   0, 216N, 1183E,  95,  970, TY, 
WP, 05, 2025070606,   , BEST,   0, 222N, 1189E, 105,  955, TY, 
WP, 05, 2025070612,   , BEST,   0, 229N, 1196E, 110,  949, TY, 
WP, 05, 2025070618,   , BEST,   0, 238N, 1205E,  70,  973, TY, 
WP, 05, 2025070700,   , BEST,   0, 258N, 1211E,  40,  992, TS,  
WP, 05, 2025070706,   , BEST,   0, 264N, 1214E,  40,  992, TS,  
WP, 05, 2025070712,   , BEST,   0, 270N, 1221E,  40,  989, TS,  
WP, 05, 2025070718,   , BEST,   0, 277N, 1226E,  40,  993, TS,  
WP, 05, 2025070800,   , BEST,   0, 279N, 1224E,  35,  988, TS,   
WP, 05, 2025070806,   , BEST,   0, 279N, 1220E,  35,  987, TS,  
WP, 05, 2025070812,   , BEST,   0, 279N, 1212E,  35,  985, TS,   
WP, 05, 2025070818,   , BEST,   0, 274N, 1204E,  35,  986, TS,   
WP, 05, 2025070900,   , BEST,   0, 270N, 1198E,  30,  995, TD,   
WP, 05, 2025070906,   , BEST,   0, 267N, 1191E,  25,  995, TD,   
WP, 05, 2025070912,   , BEST,   0, 264N, 1182E,  20,  995, DB,  
WP, 05, 2025070918,   , BEST,   0, 251N, 1163E,  15,  995, DB,    
WP, 05, 2025071000,   , BEST,   0, 242N, 1160E,  15,  996, DB,   
WP, 05, 2025071006,   , BEST,   0, 235N, 1158E,  15,  996, DB,    
WP, 05, 2025071012,   , BEST,   0, 233N, 1152E,  15,  996, DB,
WP, 05, 2025071018,   , BEST,   0, 228N, 1146E,  15,  996, DB,   
WP, 05, 2025071100,   , BEST,   0, 226N, 1141E,  15,  996, DB,  
WP, 05, 2025071106,   , BEST,   0, 220N, 1138E,  15,  996, DB,  
