WP, 07, 2025071112,   , BEST,   0, 297N, 1244E,  15, 1000, DB, 
WP, 07, 2025071118,   , BEST,   0, 302N, 1240E,  20, 1000, DB, 
WP, 07, 2025071200,   , BEST,   0, 307N, 1235E,  30, 1000, SD,
WP, 07, 2025071206,   , BEST,   0, 307N, 1231E,  30, 1002, SD,
WP, 07, 2025071212,   , BEST,   0, 305N, 1229E,  30, 1002, SD, 
WP, 07, 2025071218,   , BEST,   0, 308N, 1236E,  30, 1002, SD, 
WP, 07, 2025071300,   , BEST,   0, 308N, 1246E,  30,  999, SD, 
WP, 07, 2025071306,   , BEST,   0, 307N, 1261E,  30,  999, SD, 
WP, 07, 2025071312,   , BEST,   0, 311N, 1278E,  25,  999, TD, 
WP, 07, 2025071318,   , BEST,   0, 317N, 1295E,  25,  995, SD, 
WP, 07, 2025071400,   , BEST,   0, 327N, 1308E,  25,  992, TD, 
WP, 07, 2025071406,   , BEST,   0, 335N, 1317E,  25,  992, TD, 
WP, 07, 2025071412,   , BEST,   0, 344N, 1327E,  20,  992, DB,  
WP, 07, 2025071418,   , BEST,   0, 344N, 1350E,  15,  998, DB,  
