WP, 12, 2025072218,   , BEST,   0, 126N, 1460E,  20, 1007, WV,
WP, 12, 2025072300,   , BEST,   0, 129N, 1453E,  20, 1007, WV, 
WP, 12, 2025072306,   , BEST,   0, 130N, 1448E,  20, 1007, WV, 
WP, 12, 2025072312,   , BEST,   0, 131N, 1443E,  20, 1007, DB, 
WP, 12, 2025072318,   , BEST,   0, 132N, 1440E,  25, 1004, TD,  
WP, 12, 2025072400,   , BEST,   0, 139N, 1437E,  30, 1004, TD, 
WP, 12, 2025072406,   , BEST,   0, 151N, 1434E,  30, 1003, TD, 
WP, 12, 2025072412,   , BEST,   0, 157N, 1433E,  35, 1003, TS,  
WP, 12, 2025072418,   , BEST,   0, 163N, 1433E,  35,  999, TS, 
WP, 12, 2025072500,   , BEST,   0, 169N, 1434E,  40,  999, TS,  
WP, 12, 2025072506,   , BEST,   0, 172N, 1435E,  40,  997, TS,  
WP, 12, 2025072512,   , BEST,   0, 175N, 1436E,  45,  997, TS,  
WP, 12, 2025072518,   , BEST,   0, 177N, 1434E,  45,  997, TS,  
WP, 12, 2025072600,   , BEST,   0, 178N, 1437E,  50,  993, TS,  
WP, 12, 2025072606,   , BEST,   0, 179N, 1441E,  65,  988, TY, 
WP, 12, 2025072612,   , BEST,   0, 185N, 1446E,  50,  987, TS,  
WP, 12, 2025072618,   , BEST,   0, 193N, 1447E,  55,  987, TS, 
WP, 12, 2025072700,   , BEST,   0, 205N, 1450E,  60,  983, TS,  
WP, 12, 2025072706,   , BEST,   0, 217N, 1451E,  65,  976, TY,  
WP, 12, 2025072712,   , BEST,   0, 229N, 1453E,  75,  968, TY,
WP, 12, 2025072718,   , BEST,   0, 244N, 1453E,  80,  964, TY, 
WP, 12, 2025072718,   , BEST,   0, 244N, 1453E,  80,  964, TY,  
WP, 12, 2025072800,   , BEST,   0, 260N, 1449E,  80,  962, TY,  
WP, 12, 2025072806,   , BEST,   0, 269N, 1441E,  90,  950, TY,  
WP, 12, 2025072812,   , BEST,   0, 274N, 1436E,  95,  955, TS, 
WP, 12, 2025072818,   , BEST,   0, 279N, 1432E,  100,  965, TY, 
WP, 12, 2025072900,   , BEST,   0, 283N, 1429E,  115,  950, TY,
WP, 12, 2025072906,   , BEST,   0, 285N, 1429E,  110,  957, TY, 
WP, 12, 2025072912,   , BEST,   0, 286N, 1428E,  95,  960, TY,
WP, 12, 2025072918,   , BEST,   0, 287N, 1428E,  80,  974, TY, 
WP, 12, 2025073000,   , BEST,   0, 287N, 1430E,  70,  979, TY,  
WP, 12, 2025073006,   , BEST,   0, 289N, 1433E,  65,  987, TY,  
WP, 12, 2025073012,   , BEST,   0, 290N, 1432E,  55,  985, TS,
WP, 12, 2025073018,   , BEST,   0, 293N, 1432E,  45,  981, TS,
WP, 12, 2025073100,   , BEST,   0, 300N, 1429E,  50,  978, TS,  
WP, 12, 2025073106,   , BEST,   0, 302N, 1426E,  45,  978, TS, 
WP, 12, 2025073112,   , BEST,   0, 308N, 1423E,  45,  982, TS, 
WP, 12, 2025073118,   , BEST,   0, 316N, 1420E,  45,  980, TS, 
WP, 12, 2025080100,   , BEST,   0, 329N, 1416E,  55,  974, TS,
WP, 12, 2025080106,   , BEST,   0, 337N, 1415E,  55,  977, TS,
WP, 12, 2025080106,   , BEST,   0, 337N, 1415E,  55,  977, TS,  
WP, 12, 2025080112,   , BEST,   0, 344N, 1413E,  60,  977, TS, 
WP, 12, 2025080118,   , BEST,   0, 353N, 1416E,  60,  973, TS, 
WP, 12, 2025080200,   , BEST,   0, 364N, 1425E,  60,  972, TS,
WP, 12, 2025080206,   , BEST,   0, 375N, 1440E,  55,  973, TS,
WP, 12, 2025080212,   , BEST,   0, 384N, 1458E,  55,  973, TS,
WP, 12, 2025080218,   , BEST,   0, 391N, 1484E,  55,  973, TS,
WP, 12, 2025080300,   , BEST,   0, 399N, 1513E,  55,  977, TS, 
WP, 12, 2025080306,   , BEST,   0, 405N, 1542E,  50,  978, TS, 
WP, 12, 2025080312,   , BEST,   0, 413N, 1575E,  50,  978, TS,  
WP, 12, 2025080318,   , BEST,   0, 420N, 1603E,  45,  983, TS, 
WP, 12, 2025080400,   , BEST,   0, 427N, 1630E,  40,  995, TS,  
WP, 12, 2025080406,   , BEST,   0, 434N, 1669E,  35,  995, EX,  
WP, 12, 2025080412,   , BEST,   0, 436N, 1696E,  35,  995, EX, 
